mutants,gene,fold_change
RMV8_T0,recA,2.005769542
RMV8_T0,recA,1.893488883
RMV8_T0,recA,1.889195539
RMV8_T0,rep,2.931095371
RMV8_T0,rep,2.789657306
RMV8_T0,rep,2.419527918
RMV8_T0,int,1.489027157
RMV8_T0,int,1.484614195
RMV8_T0,int,1.680711098
RMV8_T0,lytA,2.834787902
RMV8_T0,lytA,2.924278379
RMV8_T0,lytA,2.588003799
RMV8_T20,recA,1.642746616
RMV8_T20,recA,1.692982431
RMV8_T20,recA,1.613450199
RMV8_T20,rep,1.149763018
RMV8_T20,rep,1.052126127
RMV8_T20,rep,1.118178573
RMV8_T20,int,1.291220148
RMV8_T20,int,1.36130183
RMV8_T20,int,1.406275391
RMV8_T20,lytA,1.321407122
RMV8_T20,lytA,1.351469134
RMV8_T20,lytA,1.27693593
RMV8_T60,recA,1.495578333
RMV8_T60,recA,1.439574184
RMV8_T60,recA,1.510954935
RMV8_T60,rep,1.324408752
RMV8_T60,rep,1.281805896
RMV8_T60,rep,1.217310964
RMV8_T60,int,0.974376844
RMV8_T60,int,0.9916745
RMV8_T60,int,1.0225125
RMV8_T60,lytA,1.224202075
RMV8_T60,lytA,1.166988202
RMV8_T60,lytA,1.101296038
RMV8_T120,recA,1.178630729
RMV8_T120,recA,1.329305666
RMV8_T120,recA,1.001322768
RMV8_T120,rep,1.243696916
RMV8_T120,rep,1.183101139
RMV8_T120,rep,1.272897761
RMV8_T120,int,1.030336974
RMV8_T120,int,1.042709807
RMV8_T120,int,1.041329426
RMV8_T120,lytA,0.972862814
RMV8_T120,lytA,0.903981158
RMV8_T120,lytA,0.948236659
RMV8_T20_CSP,recA,11.38156214
RMV8_T20_CSP,recA,12.76051139
RMV8_T20_CSP,recA,13.96935241
RMV8_T20_CSP,rep,2.801913997
RMV8_T20_CSP,rep,2.100641569
RMV8_T20_CSP,rep,2.147860323
RMV8_T20_CSP,int,2.179880638
RMV8_T20_CSP,int,1.107738981
RMV8_T20_CSP,int,1.200134146
RMV8_T20_CSP,lytA,2.155702847
RMV8_T20_CSP,lytA,2.155566052
RMV8_T20_CSP,lytA,1.902424884
RMV8_T60_CSP,recA,3.883776403
RMV8_T60_CSP,recA,5.283845126
RMV8_T60_CSP,recA,3.740547577
RMV8_T60_CSP,rep,3.179401477
RMV8_T60_CSP,rep,3.305890992
RMV8_T60_CSP,rep,3.657674082
RMV8_T60_CSP,int,16.55464828
RMV8_T60_CSP,int,13.76283659
RMV8_T60_CSP,int,13.63984217
RMV8_T60_CSP,lytA,1.506109065
RMV8_T60_CSP,lytA,1.565477575
RMV8_T60_CSP,lytA,1.571405976
RMV8_T120_CSP,recA,2.294328825
RMV8_T120_CSP,recA,1.631500451
RMV8_T120_CSP,recA,1.855957882
RMV8_T120_CSP,rep,224.6432088
RMV8_T120_CSP,rep,202.5507427
RMV8_T120_CSP,rep,198.645714
RMV8_T120_CSP,int,7.868227189
RMV8_T120_CSP,int,7.83918548
RMV8_T120_CSP,int,8.012716102
RMV8_T120_CSP,lytA,17.24680842
RMV8_T120_CSP,lytA,16.04020149
RMV8_T120_CSP,lytA,16.45464107
RMV8_T20_MMC,recA,1.328910301
RMV8_T20_MMC,recA,1.344422353
RMV8_T20_MMC,recA,1.528779907
RMV8_T20_MMC,rep,1.155984721
RMV8_T20_MMC,rep,1.185974832
RMV8_T20_MMC,rep,0.989279449
RMV8_T20_MMC,int,1.448676395
RMV8_T20_MMC,int,1.373489921
RMV8_T20_MMC,int,1.385713852
RMV8_T20_MMC,lytA,1.120500133
RMV8_T20_MMC,lytA,1.140468742
RMV8_T20_MMC,lytA,1.120206858
RMV8_T60_MMC,recA,2.086874565
RMV8_T60_MMC,recA,2.06801698
RMV8_T60_MMC,recA,2.118439358
RMV8_T60_MMC,rep,2.755421965
RMV8_T60_MMC,rep,2.676840067
RMV8_T60_MMC,rep,2.995377003
RMV8_T60_MMC,int,4.383422757
RMV8_T60_MMC,int,4.094248252
RMV8_T60_MMC,int,4.246493147
RMV8_T60_MMC,lytA,2.130700593
RMV8_T60_MMC,lytA,2.032026072
