mutants,conditions,deletions
partial1,50ng,0.021153846
partial1,200ng,0.044201313
partial1,50ng,0.063934426
partial1,200ng,0.447619048
partial3,50ng,0.066428571
partial3,200ng,0.09374289
partial3,50ng,0.161818182
partial3,200ng,0.634
lytA,50ng,0.111388456
lytA,200ng,0.235959596
lytA,200ng,2.315789474
partial1,50ng,0.025
partial1,200ng,0.146153846
partial3,50ng,0.361904762
partial3,200ng,0.171428571
lytA,200ng,0.470588235
partial1,50ng,0.04
partial1,200ng,0.2
partial3,50ng,0.044444444
partial3,200ng,0.285714286
lytA,50ng,0.2
lytA,200ng,1.075
ssbB,50ng,0.042857143
ssbB,200ng,0.04
partial1,50ng,0.048543689
partial1,200ng,0.37
partial3,50ng,0.096491228
partial3,200ng,0.517857143
lytA,50ng,0.164285714
lytA,200ng,0.68372093
ssbB,50ng,0.01125
ssbB,200ng,0.054285714
partial1,50ng,0.041561713
partial1,200ng,0.075750577
partial3,50ng,0.063541667
partial3,200ng,0.154117647
lytA,50ng,0.211328125
lytA,200ng,0.155298013
ssbB,50ng,0.022222222
ssbB,200ng,0.053525641
partial1,200ng,0.063255814
partial3,200ng,0.050568182
lytA,200ng,0.24962406
ssbB,200ng,0.039808917
partial1,200ng,0.151111111
partial3,200ng,0.173913043
lytA,200ng,0.419298246
ssbB,200ng,0.062135922
partial1,200ng,0.202777778
lytA,200ng,0.732231405
lytA,50ng,0.546583851
lytA,200ng,2.032967033
partial1,50ng,0.06372549
partial1,200ng,0.132291667
partial3,50ng,0.080820771
partial3,200ng,0.183098592
lytA,50ng,0.347368421
lytA,200ng,0.407894737
ssbB,50ng,0.0140625
ssbB,200ng,0.033333333
partial1,50ng,0.096969697
partial3,50ng,0.130952381
lytA,50ng,0.366504854
ssbB,50ng,0.057761733
partial1,50ng,0.091216216
partial3,50ng,0.091772152
partial3,200ng,0.207100592
lytA,50ng,0.36875
lytA,200ng,1.048192771
ssbB,50ng,0.015853659
ssbB,200ng,0.064236111
