OD600, control, control, control, control_MMC, control_MMC, control_MMC, control_IPTG, control_IPTG, control_IPTG, control_MMC_IPTG, control_MMC_IPTG, control_MMC_IPTG,control_GD,control_GD,control_GD,control_MMC_GD,control_MMC_GD,control_MMC_GD,control_GD_IPTG,control_GD_IPTG,control_GD_IPTG,control_MMC_GD_IPTG,control_MMC_GD_IPTG,control_MMC_GD_IPTG
00:00:00,0.099,0.097,0.107,0.099,0.105,0.101,0.107,0.103,0.102,0.099,0.113,0.102,0.099,0.104,0.105,0.096,0.106,0.101,0.103,0.101,0.1,0.102,0.1,0.102
00:30:00,0.118,0.115,0.123,0.117,0.124,0.118,0.126,0.122,0.122,0.113,0.127,0.118,0.122,0.13,0.128,0.12,0.131,0.123,0.126,0.123,0.122,0.122,0.119,0.12
01:00:00,0.149,0.148,0.157,0.148,0.156,0.151,0.159,0.154,0.154,0.151,0.159,0.152,0.152,0.161,0.161,0.15,0.163,0.151,0.156,0.151,0.151,0.152,0.146,0.154
01:30:00,0.198,0.192,0.208,0.205,0.206,0.203,0.212,0.205,0.207,0.199,0.207,0.209,0.198,0.206,0.206,0.189,0.219,0.191,0.201,0.199,0.197,0.191,0.188,0.198
02:00:00,0.259,0.257,0.283,0.241,0.252,0.25,0.283,0.278,0.28,0.22,0.226,0.227,0.264,0.274,0.274,0.237,0.251,0.246,0.267,0.264,0.264,0.21,0.21,0.214
02:30:00,0.341,0.334,0.373,0.269,0.285,0.278,0.374,0.352,0.368,0.208,0.209,0.207,0.34,0.346,0.356,0.255,0.285,0.259,0.344,0.336,0.334,0.196,0.19,0.193
03:00:00,0.389,0.384,0.42,0.283,0.303,0.284,0.424,0.401,0.405,0.188,0.191,0.197,0.384,0.392,0.394,0.26,0.278,0.269,0.381,0.376,0.37,0.177,0.172,0.169
03:30:00,0.402,0.396,0.427,0.28,0.292,0.282,0.424,0.402,0.407,0.174,0.178,0.178,0.393,0.407,0.413,0.256,0.279,0.269,0.395,0.389,0.384,0.172,0.163,0.159
04:00:00,0.396,0.394,0.425,0.255,0.272,0.263,0.424,0.41,0.411,0.176,0.181,0.183,0.391,0.404,0.414,0.245,0.261,0.254,0.395,0.39,0.384,0.17,0.163,0.156
04:30:00,0.408,0.396,0.424,0.252,0.261,0.25,0.432,0.41,0.415,0.179,0.187,0.187,0.384,0.395,0.416,0.23,0.262,0.235,0.401,0.395,0.391,0.175,0.168,0.159
05:00:00,0.415,0.392,0.415,0.244,0.254,0.248,0.421,0.412,0.404,0.178,0.187,0.178,0.385,0.407,0.419,0.221,0.238,0.228,0.405,0.398,0.392,0.174,0.174,0.151
05:30:00,0.42,0.397,0.423,0.24,0.249,0.242,0.422,0.407,0.4,0.176,0.182,0.173,0.398,0.418,0.417,0.215,0.233,0.222,0.401,0.396,0.389,0.168,0.183,0.155
06:00:00,0.416,0.4,0.423,0.232,0.246,0.234,0.42,0.411,0.401,0.176,0.181,0.176,0.424,0.412,0.415,0.209,0.221,0.21,0.399,0.394,0.386,0.17,0.195,0.154
