mutants,gene,fold_change
recA_T0,rpoA,0.946257839
recA_T0,rpoA,0.940263244
recA_T0,rpoA,1.12393611
recA_T0,int,0.914988916
recA_T0,int,1.026707268
recA_T0,int,1.064481468
recA_T0,dnaC,1.042874785
recA_T0,dnaC,0.955880511
recA_T0,dnaC,1.003147511
recA_T0,lytA,0.965608696
recA_T0,lytA,0.970964814
recA_T0,lytA,1.066584675
recA_T0,comEA,1.054494403
recA_T0,comEA,0.9055061
recA_T0,comEA,1.047282308
recA_T0,reg,0.999933899
recA_T0,reg,0.930508646
recA_T0,reg,1.074752083
recA_T20,rpoA,0.954818292
recA_T20,rpoA,0.982653255
recA_T20,rpoA,1.0658094
recA_T20,int,1.534163902
recA_T20,int,1.578251479
recA_T20,int,1.545654315
recA_T20,dnaC,2.211628666
recA_T20,dnaC,2.195225121
recA_T20,dnaC,2.11576393
recA_T20,lytA,1.639988831
recA_T20,lytA,1.746952144
recA_T20,lytA,1.729402484
recA_T20,comEA,1.523179727
recA_T20,comEA,1.61347182
recA_T20,comEA,1.579531061
recA_T20,reg,1.476195632
recA_T20,reg,1.41950157
recA_T20,reg,1.372846654
recA_T60,rpoA,1.015054264
recA_T60,rpoA,1.005726368
recA_T60,rpoA,0.979559687
recA_T60,int,1.588139253
recA_T60,int,1.597672808
recA_T60,int,1.605543329
recA_T60,dnaC,2.210818885
recA_T60,dnaC,2.39173033
recA_T60,dnaC,2.258912929
recA_T60,lytA,1.984906283
recA_T60,lytA,2.001116141
recA_T60,lytA,1.931355271
recA_T60,comEA,1.619742572
recA_T60,comEA,1.601498424
recA_T60,comEA,1.53387997
recA_T60,reg,1.492092799
recA_T60,reg,1.471682549
recA_T60,reg,1.416513284
recA_T120,rpoA,1.009140026
recA_T120,rpoA,0.976096385
recA_T120,rpoA,1.015209945
recA_T120,int,2.115867429
recA_T120,int,2.096714592
recA_T120,int,2.045924619
recA_T120,dnaC,4.002888451
recA_T120,dnaC,3.994572608
recA_T120,dnaC,4.000375486
recA_T120,lytA,3.485742476
recA_T120,lytA,3.23968216
recA_T120,lytA,3.192913241
recA_T120,comEA,2.221193012
recA_T120,comEA,2.115324816
recA_T120,comEA,2.133547292
recA_T120,reg,1.99690874
recA_T120,reg,1.972136235
recA_T120,reg,1.974703496
recA_T20_CSP,rpoA,1.024539106
recA_T20_CSP,rpoA,0.983892115
