OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.094,0.115,0.099,0.1,0.098,0.096,0.109,0.113,0.112,0.098,0.095,0.096,0.099,0.099,0.101,0.1,0.101,0.1,0.098,0.095,0.098,0.096,0.096,0.104
00:30:00,0.117,0.133,0.121,0.12,0.12,0.121,0.128,0.13,0.126,0.122,0.116,0.12,0.121,0.121,0.122,0.123,0.123,0.122,0.12,0.119,0.121,0.118,0.118,0.127
01:00:00,0.153,0.174,0.163,0.166,0.167,0.166,0.16,0.164,0.16,0.16,0.157,0.16,0.161,0.163,0.164,0.166,0.169,0.172,0.153,0.153,0.16,0.159,0.163,0.167
01:30:00,0.227,0.243,0.237,0.243,0.244,0.241,0.215,0.22,0.211,0.231,0.226,0.234,0.217,0.232,0.235,0.235,0.243,0.24,0.202,0.202,0.207,0.225,0.226,0.239
02:00:00,0.335,0.35,0.351,0.361,0.357,0.36,0.296,0.291,0.307,0.348,0.333,0.338,0.33,0.341,0.347,0.33,0.317,0.324,0.283,0.278,0.283,0.321,0.325,0.334
02:30:00,0.408,0.427,0.42,0.43,0.432,0.435,0.382,0.403,0.399,0.421,0.406,0.41,0.418,0.421,0.427,0.395,0.383,0.381,0.383,0.378,0.389,0.39,0.394,0.406
03:00:00,0.423,0.447,0.451,0.453,0.455,0.45,0.418,0.425,0.42,0.449,0.433,0.429,0.435,0.446,0.449,0.417,0.396,0.392,0.419,0.41,0.422,0.412,0.408,0.415
03:30:00,0.428,0.462,0.467,0.466,0.464,0.46,0.428,0.435,0.432,0.463,0.431,0.426,0.432,0.465,0.47,0.434,0.418,0.411,0.434,0.429,0.442,0.431,0.409,0.42
04:00:00,0.437,0.488,0.47,0.468,0.465,0.465,0.436,0.446,0.438,0.474,0.428,0.427,0.429,0.481,0.474,0.422,0.408,0.395,0.434,0.427,0.44,0.438,0.414,0.419
04:30:00,0.464,0.489,0.478,0.477,0.474,0.471,0.443,0.451,0.442,0.485,0.429,0.426,0.438,0.48,0.478,0.424,0.402,0.396,0.44,0.436,0.449,0.446,0.407,0.412
05:00:00,0.482,0.49,0.479,0.478,0.475,0.479,0.449,0.459,0.445,0.494,0.449,0.424,0.462,0.473,0.475,0.404,0.379,0.371,0.435,0.432,0.444,0.447,0.411,0.406
05:30:00,0.521,0.493,0.49,0.488,0.484,0.482,0.454,0.458,0.451,0.493,0.495,0.418,0.492,0.473,0.476,0.394,0.367,0.354,0.431,0.428,0.441,0.448,0.444,0.407
06:00:00,0.514,0.497,0.494,0.494,0.493,0.492,0.461,0.463,0.458,0.502,0.513,0.433,0.502,0.475,0.48,0.397,0.364,0.349,0.436,0.436,0.45,0.456,0.477,0.408
06:30:00,0.517,0.498,0.497,0.501,0.497,0.497,0.465,0.47,0.461,0.51,0.52,0.443,0.503,0.47,0.481,0.387,0.353,0.334,0.434,0.437,0.451,0.456,0.487,0.419
07:00:00,0.518,0.502,0.5,0.507,0.505,0.501,0.469,0.474,0.465,0.516,0.527,0.442,0.507,0.474,0.485,0.38,0.342,0.326,0.433,0.437,0.453,0.461,0.498,0.418
07:30:00,0.516,0.504,0.503,0.511,0.508,0.505,0.474,0.477,0.468,0.518,0.525,0.452,0.508,0.469,0.483,0.372,0.336,0.317,0.433,0.434,0.454,0.461,0.5,0.431
08:00:00,0.513,0.506,0.506,0.514,0.51,0.508,0.474,0.482,0.466,0.522,0.529,0.438,0.502,0.472,0.483,0.366,0.327,0.31,0.433,0.435,0.454,0.465,0.498,0.424
08:30:00,0.521,0.51,0.51,0.52,0.516,0.513,0.479,0.485,0.471,0.523,0.532,0.433,0.508,0.472,0.484,0.359,0.317,0.3,0.432,0.434,0.456,0.465,0.502,0.407
09:00:00,0.517,0.509,0.51,0.517,0.518,0.517,0.48,0.486,0.471,0.526,0.533,0.436,0.511,0.464,0.486,0.351,0.308,0.292,0.431,0.438,0.458,0.468,0.501,0.415
09:30:00,0.52,0.507,0.511,0.521,0.518,0.517,0.482,0.489,0.473,0.529,0.54,0.432,0.518,0.458,0.486,0.343,0.296,0.279,0.428,0.432,0.457,0.467,0.502,0.41
10:00:00,0.515,0.505,0.508,0.517,0.515,0.518,0.484,0.493,0.472,0.534,0.544,0.443,0.506,0.454,0.48,0.328,0.285,0.269,0.427,0.431,0.459,0.471,0.503,0.406
10:30:00,0.516,0.504,0.512,0.52,0.517,0.514,0.484,0.492,0.473,0.53,0.545,0.436,0.511,0.451,0.489,0.328,0.28,0.262,0.428,0.432,0.456,0.473,0.502,0.406
11:00:00,0.513,0.505,0.51,0.522,0.517,0.515,0.484,0.49,0.474,0.529,0.541,0.431,0.512,0.452,0.487,0.317,0.271,0.252,0.42,0.427,0.45,0.47,0.498,0.404
11:30:00,0.522,0.503,0.512,0.522,0.521,0.521,0.489,0.494,0.476,0.53,0.541,0.44,0.517,0.454,0.485,0.309,0.259,0.24,0.414,0.419,0.447,0.468,0.499,0.408
12:00:00,0.513,0.503,0.508,0.524,0.521,0.515,0.489,0.496,0.477,0.533,0.548,0.444,0.499,0.454,0.484,0.3,0.252,0.234,0.413,0.418,0.446,0.468,0.505,0.42
12:30:00,0.521,0.506,0.509,0.522,0.519,0.521,0.491,0.498,0.479,0.531,0.543,0.445,0.507,0.448,0.477,0.288,0.238,0.22,0.401,0.409,0.437,0.463,0.502,0.425
13:00:00,0.516,0.503,0.51,0.524,0.52,0.519,0.493,0.5,0.479,0.536,0.546,0.46,0.513,0.448,0.476,0.282,0.232,0.215,0.402,0.409,0.44,0.467,0.502,0.428
13:30:00,0.509,0.503,0.506,0.521,0.516,0.515,0.49,0.501,0.481,0.536,0.546,0.465,0.504,0.452,0.471,0.272,0.224,0.208,0.396,0.402,0.434,0.465,0.502,0.44
14:00:00,0.508,0.506,0.503,0.52,0.52,0.519,0.493,0.499,0.48,0.533,0.544,0.479,0.506,0.448,0.473,0.264,0.219,0.2,0.39,0.396,0.428,0.462,0.505,0.452
14:30:00,0.507,0.502,0.502,0.518,0.515,0.514,0.491,0.498,0.479,0.535,0.548,0.477,0.495,0.444,0.463,0.255,0.211,0.193,0.383,0.39,0.421,0.46,0.507,0.445
15:00:00,0.513,0.499,0.497,0.515,0.51,0.511,0.491,0.5,0.479,0.531,0.543,0.484,0.503,0.443,0.455,0.246,0.204,0.187,0.372,0.379,0.41,0.453,0.508,0.439
15:30:00,0.512,0.502,0.495,0.516,0.512,0.512,0.491,0.496,0.479,0.527,0.54,0.479,0.505,0.444,0.452,0.24,0.198,0.181,0.366,0.374,0.407,0.454,0.509,0.444
16:00:00,0.506,0.5,0.488,0.511,0.508,0.509,0.49,0.497,0.478,0.527,0.543,0.481,0.499,0.439,0.446,0.234,0.192,0.178,0.358,0.366,0.398,0.448,0.509,0.462
16:30:00,0.51,0.495,0.484,0.509,0.504,0.504,0.489,0.497,0.475,0.527,0.541,0.481,0.508,0.432,0.436,0.228,0.187,0.171,0.349,0.355,0.392,0.444,0.508,0.449
17:00:00,0.503,0.497,0.479,0.508,0.503,0.502,0.49,0.494,0.477,0.521,0.54,0.479,0.493,0.429,0.426,0.219,0.179,0.167,0.339,0.346,0.379,0.437,0.509,0.452
17:30:00,0.504,0.491,0.472,0.502,0.499,0.5,0.488,0.494,0.476,0.518,0.54,0.482,0.488,0.42,0.418,0.214,0.174,0.163,0.329,0.338,0.372,0.432,0.507,0.445
18:00:00,0.501,0.488,0.462,0.498,0.495,0.496,0.487,0.495,0.474,0.513,0.54,0.482,0.473,0.411,0.403,0.206,0.17,0.159,0.318,0.324,0.361,0.428,0.504,0.468
18:30:00,0.501,0.485,0.454,0.496,0.492,0.492,0.486,0.492,0.472,0.513,0.536,0.496,0.483,0.404,0.402,0.201,0.165,0.155,0.309,0.316,0.351,0.422,0.502,0.454
19:00:00,0.49,0.479,0.442,0.491,0.489,0.488,0.485,0.489,0.471,0.505,0.535,0.486,0.478,0.396,0.393,0.194,0.163,0.152,0.299,0.308,0.343,0.418,0.501,0.446
19:30:00,0.499,0.474,0.433,0.482,0.481,0.48,0.48,0.489,0.47,0.502,0.534,0.481,0.449,0.383,0.377,0.187,0.159,0.147,0.288,0.295,0.332,0.408,0.5,0.449
20:00:00,0.496,0.467,0.426,0.481,0.475,0.474,0.481,0.487,0.467,0.497,0.534,0.483,0.445,0.372,0.373,0.183,0.154,0.145,0.28,0.286,0.32,0.4,0.501,0.443
20:30:00,0.482,0.46,0.416,0.475,0.47,0.471,0.479,0.486,0.466,0.493,0.529,0.499,0.4,0.357,0.363,0.177,0.151,0.141,0.268,0.276,0.311,0.392,0.496,0.461
