mutants,gene,fold_change
RMV8_T0,recA,1.039936665
RMV8_T0,recA,0.981722213
RMV8_T0,recA,0.979496231
RMV8_T20,recA,0.851719203
RMV8_T20,recA,0.8777651
RMV8_T20,recA,0.836529812
RMV8_T20_CSP,recA,5.901028768
RMV8_T20_CSP,recA,6.615976251
RMV8_T20_CSP,recA,7.24272727
RMV8_T0,recA,1.009100002
RMV8_T0,recA,0.997198492
RMV8_T0,recA,0.993763477
RMV8_T20,recA,1.196293698
RMV8_T20,recA,1.358934832
RMV8_T20,recA,1.313530576
RMV8_T20_CSP,recA,5.175240472
RMV8_T20_CSP,recA,5.790651761
RMV8_T20_CSP,recA,5.721289137
RMV8_T0,recA,1.024375223
RMV8_T0,recA,0.962260871
RMV8_T0,recA,1.01449079
RMV8_T20,recA,2.251363883
RMV8_T20,recA,2.198565246
RMV8_T20,recA,2.167573986
RMV8_T20_CSP,recA,18.70709269
RMV8_T20_CSP,recA,17.95368729
RMV8_T20_CSP,recA,19.62222081
RMV8_hybrid_T0,recA,1.005281036
RMV8_hybrid_T0,recA,1.003621089
RMV8_hybrid_T0,recA,0.991153706
RMV8_hybrid_T20,recA,1.267955841
RMV8_hybrid_T20,recA,1.257510304
RMV8_hybrid_T20,recA,1.088479663
RMV8_hybrid_T20_CSP,recA,4.425017892
RMV8_hybrid_T20_CSP,recA,4.522206113
RMV8_hybrid_T20_CSP,recA,4.906742194
RMV8_hybrid_T0,recA,1.015146864
RMV8_hybrid_T0,recA,0.991681929
RMV8_hybrid_T0,recA,0.993343141
RMV8_hybrid_T20,recA,1.106048273
RMV8_hybrid_T20,recA,1.087379347
RMV8_hybrid_T20,recA,1.037806422
RMV8_hybrid_T20_CSP,recA,15.70089077
RMV8_hybrid_T20_CSP,recA,15.69325378
RMV8_hybrid_T20_CSP,recA,15.48599636
RMV8_hybrid_T0,recA,0.989967214
RMV8_hybrid_T0,recA,0.999939186
RMV8_hybrid_T0,recA,1.01019189
RMV8_hybrid_T20,recA,0.754266037
RMV8_hybrid_T20,recA,0.835371575
RMV8_hybrid_T20,recA,0.844806527
RMV8_hybrid_T20_CSP,recA,1.883821091
RMV8_hybrid_T20_CSP,recA,2.034547262
RMV8_hybrid_T20_CSP,recA,2.003551595
