mutants,Extracellular_BC
comEA_T0,0.432452483
comEA_T0,0.437743455
comEA_T0,0.426860689
comEA_T20,0.303757866
comEA_T20,0.327276866
comEA_T20,0.32366714
comEA_T60,0.312508345
comEA_T60,0.289177698
comEA_T60,0.327389511
comEA_T120,0.357148288
comEA_T120,0.388002246
comEA_T120,0.412839674
comEA_T20_CSP,0.378305856
comEA_T20_CSP,0.374869655
comEA_T20_CSP,0.379297493
comEA_T0,0.111958746
comEA_T0,0.101442958
comEA_T0,0.100151032
comEA_T20,0.133901281
comEA_T20,0.137821669
comEA_T20,0.136178007
comEA_T60,0.132175411
comEA_T60,0.127023208
comEA_T60,0.102329332
comEA_T120,0.143463088
comEA_T120,0.164081311
comEA_T120,0.12119551
comEA_T20_CSP,0.125454846
comEA_T20_CSP,0.141172045
comEA_T20_CSP,0.121115455
comEA_T60_CSP,0.298763462
comEA_T60_CSP,0.26814958
comEA_T60_CSP,0.259862705
comEA_T60_CSP,0.116247462
comEA_T60_CSP,0.119166009
comEA_T60_CSP,0.110431207
comEA_T120_CSP,0.29079105
comEA_T120_CSP,0.200438537
comEA_T120_CSP,0.193993785
comEA_T120_CSP,0.142218614
comEA_T120_CSP,0.10487328
comEA_T120_CSP,0.118688252
comEA_T20_MMC,0.343083226
comEA_T20_MMC,0.32374059
comEA_T20_MMC,0.342353082
comEA_T20_MMC,0.109478814
comEA_T20_MMC,0.090207484
comEA_T20_MMC,0.101630837
comEA_T60_MMC,0.365766939
comEA_T60_MMC,0.361944812
comEA_T60_MMC,0.332778785
comEA_T60_MMC,0.106667875
comEA_T60_MMC,0.117157914
comEA_T60_MMC,0.11773567
comEA_T120_MMC,0.364956812
comEA_T120_MMC,0.294122834
comEA_T120_MMC,0.354218639
comEA_T120_MMC,0.152444148
comEA_T120_MMC,0.140764749
comEA_T120_MMC,0.149156077
comEA_T0,0.290388494
comEA_T0,0.320056646
comEA_T0,0.328474888
comEA_T20,0.265019142
comEA_T20,0.299425769
comEA_T20,0.269935418
comEA_T60,0.255454386
comEA_T60,0.286297219
comEA_T60,0.253072552
comEA_T120,0.314343564
comEA_T120,0.290589154
comEA_T120,0.303568727
comEA_T20_CSP,0.270544881
comEA_T20_CSP,0.26612999
comEA_T20_CSP,0.262559422
comEA_T60_CSP,0.21827303
comEA_T60_CSP,0.212670389
comEA_T60_CSP,0.206936563
comEA_T120_CSP,0.233336578
comEA_T120_CSP,0.237454212
comEA_T120_CSP,0.221927811
comEA_T20_MMC,0.303187826
comEA_T20_MMC,0.29562348
comEA_T20_MMC,0.29311007
comEA_T60_MMC,0.243318572
comEA_T60_MMC,0.245303933
comEA_T60_MMC,0.240349465
comEA_T120_MMC,0.421550737
comEA_T120_MMC,0.376330011
comEA_T120_MMC,0.38520682
