mutants,BCbyrpoA
comEA_T0,0.015320523
comEA_T0,0.013708402
comEA_T0,0.011457318
comEA_T120,0.023858562
comEA_T120,0.026622814
comEA_T120,0.026550572
comEA_T120_CSP,0.032418957
comEA_T120_CSP,0.031323235
comEA_T120_CSP,0.033517246
comEA_T120_MMC,0.146638145
comEA_T120_MMC,0.146937394
comEA_T120_MMC,0.088078866
comEA_T0,0.008360185
comEA_T0,0.009258868
comEA_T0,0.007636803
comEA_T120,0.008353615
comEA_T120,0.008478423
comEA_T120,0.007956073
comEA_T120_CSP,0.009867618
comEA_T120_CSP,0.007128146
comEA_T120_CSP,0.00670777
comEA_T120_MMC,0.159632194
comEA_T120_MMC,0.143680724
comEA_T120_MMC,0.098330259
comEA_T0,0.010227532
comEA_T0,0.010768117
comEA_T0,0.010403659
comEA_T20,0.008883208
comEA_T20,0.008395559
comEA_T20,0.008334396
comEA_T60,0.013237497
comEA_T60,0.012669981
comEA_T60,0.012733942
comEA_T120,0.023370573
comEA_T120,0.022584215
comEA_T120,0.021950231
comEA_T20_CSP,0.010502111
comEA_T20_CSP,0.010264673
comEA_T20_CSP,0.010239129
comEA_T60_CSP,0.010278275
comEA_T60_CSP,0.010757452
comEA_T60_CSP,0.010095012
comEA_T120_CSP,0.017039566
comEA_T120_CSP,0.017041974
comEA_T120_CSP,0.017212913
comEA_T20_MMC,0.011354977
comEA_T20_MMC,0.011055875
comEA_T20_MMC,0.011261199
comEA_T60_MMC,0.025956887
comEA_T60_MMC,0.025481122
comEA_T60_MMC,0.024964134
comEA_T120_MMC,0.148059355
comEA_T120_MMC,0.150396098
comEA_T120_MMC,0.145139603
comEA_T20,0.020180758
comEA_T20,0.021808014
comEA_T20,0.020339691
comEA_T60,0.026339496
comEA_T60,0.024475249
comEA_T60,0.026320781
comEA_T20_CSP,0.022815032
comEA_T20_CSP,0.023673941
comEA_T20_CSP,0.023465684
comEA_T60_CSP,0.043796581
comEA_T60_CSP,0.036981979
comEA_T60_CSP,0.038396103
comEA_T20_MMC,0.02385711
comEA_T20_MMC,0.023858759
comEA_T20_MMC,0.025222314
comEA_T60_MMC,0.041055431
comEA_T60_MMC,0.050804258
comEA_T60_MMC,0.048904368
