Lane.Id,Public.Name,Serotype,Strain
9789_2#1,D49793,18C,11
9789_2#2,1007374,5,8
9789_2#3,D7610,5,8
9789_2#4,D30686,10B,30
9789_2#6,C22318,5,8
9789_2#7,C22246,6A,62
9789_2#8,D56471,6A,30
9789_2#9,D26870,14,9
9789_2#11,D54582,5,8
9789_2#12,D26855,6B,183
9789_2#13,C23870,5,8
9789_2#15,D26805,1,2
9789_2#16,D57096,5,8
9789_2#17,1007130,1,2
9789_2#18,D25748,1,2
9789_2#19,C22380,19A,53
9789_2#20,D55333,6B,183
9789_2#21,C23361,23F,20
9789_2#22,D16771,6A,223
9789_2#23,D56382,5,8
9789_2#24,D51924,6A,120
9789_2#25,C19309,5,8
9789_2#26,D56178,18C,40
9789_2#27,D53427,6A,13
9789_2#28,D51814,14,9
9789_2#29,D44689,1,2
9789_2#30,1003082,23F,20
9789_2#31,D55280,19A,17
9789_2#33,C17490,18F,142
9789_2#34,1005787,5,8
9789_2#35,D50597,19A,53
9789_2#36,D34505,9V,22
9789_2#37,C16949,19A,116
9789_2#38,1005792,23F,176
9789_2#39,C3600,6B,120
9789_2#40,D32370,19A,17
9789_2#41,D43004,9V,54
9789_2#42,D2453,6A,223
9789_2#43,A60311,3,10
9789_2#45,C15358,5,8
9789_2#49,C20960,18F,142
9789_2#50,1004168,1,2
9789_2#51,C12139,19A,17
9789_2#53,D38165,46,26
9789_2#54,D17269,9V,61
9789_2#55,D51826,9V,54
9789_2#57,C13356,6A,13
9789_2#58,D13084,1,2
9789_2#60,D7661,6A,13
9789_2#61,D12791,23F,20
9789_2#63,D57286,19F,21
9789_2#64,C15155,6A,13
9789_2#65,D30625,23F,20
9789_2#66,D51832,4,86
9789_2#67,A54136,1,2
9789_2#68,D25235,1,2
9789_2#69,D56349,18C,40
9789_2#71,D27175,1,2
9789_2#72,A59815,18A,61
9789_2#74,D25736,19F,21
9789_2#75,B22581,14,9
9789_2#76,C22387,2,96
9789_2#77,A59776,4,86
9789_2#78,B22515,4,86
9789_2#79,1005015,5,8
9789_2#80,A59564,17F,61
9789_2#81,A57264,3,10
9789_2#82,D39297,16F,268
9789_2#83,D9236,14,9
9789_2#84,D38708,19F,21
9789_2#86,D27540,1,2
9789_2#88,D32101,9L,325
9789_2#90,D35045,19F,21
9789_2#91,C12270,6B,183
9789_3#1,C9909,6B,120
9789_3#4,D40872,1,2
9789_3#6,A59375,5,8
9789_3#7,D36663,23F,5
9789_3#8,C19211,18C,40
9789_3#9,C14508,19F,21
9789_3#10,A57152,5,8
9789_3#11,C16094,18C,40
9789_3#16,C12480,6A,13
9789_3#19,D26808,7F,56
9789_3#36,5542242_3253364_267,18C,40
9789_3#37,5543412_3271480_288,19F,21
9789_3#40,5545864_3271628_312,19F,21
9789_3#42,5547592_3271711_343,10B,30
9789_3#46,5547834_3255187_402,16F,114
9789_3#47,5542199_3255268_407,10B,30
9789_3#49,5547848_3292599_437,6A,190
9789_3#50,5545690_3255446_467,23F,20
9789_3#51,5545687_3255459_468,23F,20
9789_3#52,5544296_3254929_471,19A,53
9789_3#53,5549072_3323666_593,23F,91
9789_3#54,5549043_3294858_621,6A,13
9789_3#57,5550266_3323297_645,3,10
9789_3#58,5550949_3296971_661,4,86
9789_3#60,5547903_3328848_667,6B,227
9789_3#61,5547848_3325937_748,16F,33
9789_3#62,5544704_3297142_777,10A,145
9789_3#65,5549043_3346456_788,15A,22
9789_3#66,5549916_3346443_791,6B,280
9789_3#69,5547851_3360083_847,4,86
9789_3#70,5541726_3346512_851,6B,579
