OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.105,0.109,0.111,0.111,0.111,0.111,0.123,0.123,0.123,0.111,0.109,0.108,0.112,0.111,0.112,0.125,0.115,0.108,0.111,0.112,0.111,0.108,0.108,0.109
00:30:00,0.126,0.129,0.132,0.135,0.133,0.132,0.14,0.136,0.141,0.138,0.132,0.132,0.136,0.132,0.131,0.149,0.136,0.128,0.122,0.124,0.123,0.127,0.131,0.132
01:00:00,0.177,0.18,0.182,0.186,0.188,0.183,0.181,0.178,0.182,0.191,0.186,0.185,0.183,0.183,0.185,0.202,0.189,0.177,0.158,0.161,0.16,0.174,0.183,0.181
01:30:00,0.255,0.267,0.272,0.279,0.274,0.271,0.247,0.242,0.249,0.28,0.275,0.27,0.266,0.268,0.269,0.267,0.25,0.24,0.229,0.232,0.231,0.25,0.262,0.263
02:00:00,0.362,0.379,0.4,0.4,0.396,0.392,0.354,0.334,0.336,0.397,0.387,0.375,0.375,0.371,0.381,0.327,0.31,0.291,0.32,0.325,0.318,0.344,0.361,0.362
02:30:00,0.437,0.476,0.478,0.484,0.484,0.48,0.462,0.45,0.456,0.487,0.472,0.462,0.455,0.451,0.451,0.366,0.343,0.324,0.416,0.419,0.416,0.427,0.437,0.438
03:00:00,0.457,0.481,0.496,0.491,0.484,0.477,0.48,0.472,0.467,0.5,0.479,0.465,0.46,0.472,0.475,0.39,0.364,0.345,0.453,0.455,0.45,0.437,0.446,0.445
03:30:00,0.436,0.51,0.506,0.502,0.491,0.494,0.51,0.496,0.513,0.522,0.507,0.487,0.482,0.497,0.498,0.411,0.379,0.363,0.481,0.486,0.48,0.463,0.464,0.463
04:00:00,0.495,0.519,0.524,0.509,0.499,0.504,0.534,0.52,0.537,0.548,0.535,0.515,0.5,0.518,0.521,0.398,0.379,0.36,0.49,0.493,0.49,0.471,0.478,0.476
04:30:00,0.527,0.543,0.55,0.517,0.502,0.519,0.555,0.55,0.557,0.581,0.566,0.536,0.535,0.552,0.546,0.398,0.37,0.349,0.52,0.523,0.515,0.502,0.493,0.49
05:00:00,0.547,0.562,0.575,0.535,0.51,0.523,0.57,0.568,0.578,0.6,0.585,0.575,0.563,0.57,0.563,0.394,0.367,0.349,0.541,0.541,0.534,0.519,0.517,0.512
05:30:00,0.561,0.574,0.585,0.542,0.512,0.539,0.584,0.575,0.587,0.605,0.6,0.583,0.568,0.58,0.575,0.38,0.352,0.336,0.551,0.548,0.543,0.53,0.539,0.533
06:00:00,0.566,0.577,0.59,0.553,0.512,0.546,0.581,0.571,0.577,0.61,0.604,0.566,0.581,0.594,0.576,0.381,0.348,0.331,0.565,0.569,0.56,0.549,0.53,0.522
06:30:00,0.569,0.577,0.589,0.551,0.509,0.56,0.572,0.566,0.576,0.609,0.6,0.557,0.589,0.583,0.578,0.374,0.34,0.32,0.556,0.555,0.555,0.537,0.517,0.519
07:00:00,0.575,0.574,0.592,0.557,0.505,0.558,0.571,0.572,0.591,0.612,0.605,0.566,0.597,0.577,0.571,0.368,0.333,0.318,0.553,0.556,0.556,0.537,0.517,0.518
07:30:00,0.588,0.582,0.59,0.555,0.499,0.542,0.564,0.574,0.576,0.616,0.595,0.567,0.599,0.574,0.57,0.361,0.329,0.313,0.552,0.551,0.552,0.536,0.535,0.524
08:00:00,0.586,0.572,0.586,0.553,0.485,0.552,0.561,0.557,0.558,0.609,0.601,0.558,0.604,0.571,0.567,0.359,0.325,0.313,0.557,0.556,0.557,0.536,0.557,0.542
08:30:00,0.571,0.588,0.594,0.546,0.468,0.545,0.554,0.543,0.561,0.615,0.606,0.582,0.605,0.566,0.563,0.35,0.318,0.305,0.549,0.55,0.549,0.531,0.572,0.561
09:00:00,0.58,0.583,0.591,0.544,0.449,0.538,0.567,0.547,0.56,0.606,0.611,0.595,0.609,0.561,0.56,0.344,0.306,0.295,0.538,0.538,0.54,0.526,0.576,0.571
09:30:00,0.577,0.575,0.592,0.526,0.429,0.525,0.558,0.552,0.556,0.605,0.596,0.609,0.609,0.56,0.556,0.34,0.306,0.293,0.543,0.542,0.541,0.528,0.582,0.563
10:00:00,0.573,0.57,0.578,0.517,0.406,0.519,0.537,0.53,0.541,0.595,0.605,0.615,0.603,0.553,0.548,0.332,0.299,0.286,0.538,0.535,0.535,0.522,0.58,0.561
10:30:00,0.564,0.564,0.585,0.504,0.376,0.511,0.497,0.48,0.511,0.612,0.607,0.61,0.602,0.545,0.543,0.325,0.289,0.277,0.526,0.525,0.527,0.519,0.578,0.57
11:00:00,0.569,0.555,0.577,0.485,0.338,0.488,0.451,0.444,0.462,0.609,0.599,0.609,0.593,0.54,0.534,0.319,0.285,0.274,0.522,0.523,0.524,0.517,0.576,0.575
11:30:00,0.57,0.559,0.568,0.459,0.306,0.466,0.406,0.395,0.412,0.592,0.603,0.594,0.591,0.533,0.522,0.312,0.28,0.271,0.516,0.516,0.516,0.511,0.575,0.572
12:00:00,0.565,0.554,0.569,0.428,0.27,0.43,0.363,0.354,0.365,0.59,0.59,0.598,0.58,0.522,0.514,0.307,0.275,0.266,0.506,0.504,0.508,0.511,0.569,0.57
12:30:00,0.557,0.545,0.562,0.396,0.24,0.401,0.329,0.318,0.333,0.592,0.595,0.595,0.583,0.509,0.503,0.297,0.267,0.26,0.491,0.496,0.494,0.502,0.571,0.573
13:00:00,0.552,0.542,0.555,0.355,0.214,0.363,0.289,0.284,0.293,0.594,0.578,0.583,0.585,0.498,0.494,0.293,0.262,0.256,0.483,0.486,0.486,0.498,0.568,0.571
13:30:00,0.549,0.532,0.548,0.319,0.192,0.329,0.257,0.249,0.257,0.59,0.595,0.592,0.569,0.491,0.483,0.286,0.26,0.253,0.475,0.475,0.475,0.491,0.562,0.569
14:00:00,0.539,0.534,0.547,0.284,0.173,0.294,0.228,0.225,0.235,0.585,0.592,0.607,0.566,0.478,0.474,0.281,0.255,0.248,0.463,0.463,0.466,0.483,0.56,0.577
14:30:00,0.536,0.515,0.538,0.258,0.159,0.263,0.205,0.203,0.213,0.591,0.584,0.6,0.573,0.468,0.461,0.274,0.25,0.243,0.449,0.449,0.455,0.475,0.551,0.571
15:00:00,0.529,0.507,0.526,0.232,0.144,0.234,0.187,0.185,0.192,0.577,0.575,0.587,0.56,0.453,0.449,0.268,0.245,0.239,0.437,0.437,0.443,0.466,0.543,0.569
15:30:00,0.518,0.498,0.514,0.205,0.135,0.211,0.173,0.169,0.178,0.565,0.562,0.582,0.555,0.443,0.432,0.261,0.238,0.233,0.421,0.419,0.428,0.449,0.533,0.57
