OD600,RMV8_no_GD_Mitomycin,RMV8_no_GD_Mitomycin,RMV8_no_GD_Mitomycin,RMV8_GD_Mitomycin,RMV8_GD_Mitomycin,RMV8_GD_Mitomycin
00:00:00,0.127,0.128,0.138,0.13,0.123,0.127
00:30:00,0.144,0.145,0.152,0.147,0.144,0.149
01:00:00,0.161,0.165,0.167,0.167,0.16,0.166
01:30:00,0.181,0.18,0.181,0.182,0.171,0.18
02:00:00,0.199,0.194,0.191,0.196,0.174,0.181
02:30:00,0.225,0.206,0.21,0.198,0.165,0.171
03:00:00,0.258,0.217,0.226,0.209,0.164,0.17
03:30:00,0.273,0.236,0.241,0.222,0.173,0.173
04:00:00,0.279,0.241,0.247,0.234,0.178,0.18
04:30:00,0.276,0.232,0.239,0.227,0.18,0.178
05:00:00,0.274,0.232,0.251,0.232,0.186,0.192
05:30:00,0.276,0.231,0.256,0.228,0.193,0.188
06:00:00,0.267,0.224,0.267,0.221,0.19,0.19
06:30:00,0.267,0.22,0.28,0.218,0.187,0.188
07:00:00,0.262,0.216,0.279,0.215,0.187,0.192
07:30:00,0.259,0.214,0.275,0.209,0.185,0.194
08:00:00,0.258,0.209,0.286,0.209,0.188,0.192
08:30:00,0.255,0.209,0.286,0.209,0.186,0.193
09:00:00,0.254,0.211,0.283,0.209,0.187,0.194
09:30:00,0.251,0.209,0.294,0.209,0.19,0.198
10:00:00,0.253,0.212,0.294,0.212,0.195,0.206
10:30:00,0.257,0.211,0.293,0.215,0.197,0.207
11:00:00,0.258,0.215,0.304,0.22,0.199,0.21
11:30:00,0.26,0.219,0.306,0.22,0.203,0.214
12:00:00,0.27,0.223,0.311,0.228,0.205,0.217
12:30:00,0.276,0.228,0.305,0.229,0.205,0.222
13:00:00,0.278,0.229,0.306,0.233,0.205,0.223
13:30:00,0.278,0.229,0.3,0.231,0.203,0.228
14:00:00,0.28,0.231,0.296,0.234,0.204,0.226
14:30:00,0.278,0.229,0.291,0.232,0.203,0.231
15:00:00,0.277,0.227,0.285,0.23,0.207,0.227
15:30:00,0.276,0.224,0.279,0.226,0.218,0.224
16:00:00,0.268,0.221,0.272,0.225,0.214,0.229
16:30:00,0.268,0.22,0.265,0.22,0.211,0.231
17:00:00,0.262,0.216,0.266,0.218,0.206,0.227
17:30:00,0.262,0.213,0.256,0.214,0.205,0.226
18:00:00,0.258,0.21,0.248,0.214,0.203,0.224
18:30:00,0.256,0.209,0.245,0.21,0.2,0.223
19:00:00,0.252,0.208,0.238,0.208,0.2,0.221
