OD600,RMV8_phageJanus_no_GD,RMV8_phageJanus_no_GD,RMV8_phageJanus_no_GD,RMV8_phageJanus_GD,RMV8_phageJanus_GD,RMV8_phageJanus_GD
00:00:00,0.115,0.115,0.116,0.107,0.114,0.118
00:30:00,0.142,0.143,0.148,0.133,0.139,0.144
01:00:00,0.185,0.188,0.192,0.175,0.184,0.189
01:30:00,0.247,0.257,0.261,0.242,0.253,0.259
02:00:00,0.337,0.354,0.357,0.329,0.344,0.349
02:30:00,0.391,0.397,0.4,0.372,0.386,0.392
03:00:00,0.403,0.41,0.417,0.391,0.4,0.405
03:30:00,0.406,0.426,0.437,0.409,0.42,0.428
04:00:00,0.407,0.453,0.442,0.41,0.424,0.43
04:30:00,0.413,0.458,0.459,0.426,0.442,0.445
05:00:00,0.431,0.468,0.459,0.426,0.443,0.449
05:30:00,0.453,0.468,0.459,0.425,0.441,0.445
06:00:00,0.461,0.468,0.462,0.426,0.442,0.445
06:30:00,0.478,0.47,0.467,0.431,0.448,0.45
07:00:00,0.486,0.473,0.471,0.432,0.451,0.454
07:30:00,0.491,0.47,0.469,0.431,0.449,0.452
08:00:00,0.491,0.474,0.473,0.433,0.45,0.453
08:30:00,0.497,0.477,0.473,0.431,0.447,0.453
09:00:00,0.498,0.48,0.474,0.433,0.447,0.451
09:30:00,0.487,0.479,0.475,0.431,0.448,0.453
10:00:00,0.493,0.481,0.473,0.432,0.447,0.45
10:30:00,0.484,0.482,0.474,0.433,0.448,0.453
11:00:00,0.492,0.48,0.471,0.431,0.447,0.451
11:30:00,0.491,0.478,0.473,0.428,0.445,0.451
12:00:00,0.488,0.478,0.47,0.425,0.444,0.449
12:30:00,0.485,0.48,0.469,0.425,0.442,0.446
13:00:00,0.487,0.481,0.467,0.423,0.435,0.442
13:30:00,0.477,0.481,0.466,0.42,0.435,0.44
14:00:00,0.486,0.473,0.462,0.417,0.432,0.438
14:30:00,0.485,0.475,0.459,0.414,0.429,0.432
15:00:00,0.489,0.467,0.456,0.411,0.423,0.431
15:30:00,0.485,0.465,0.451,0.407,0.421,0.425
16:00:00,0.486,0.464,0.444,0.404,0.416,0.419
16:30:00,0.474,0.457,0.441,0.398,0.41,0.413
17:00:00,0.47,0.453,0.435,0.395,0.403,0.409
17:30:00,0.477,0.447,0.428,0.386,0.399,0.402
18:00:00,0.472,0.441,0.423,0.381,0.391,0.399
18:30:00,0.473,0.437,0.414,0.374,0.387,0.389
19:00:00,0.474,0.433,0.402,0.364,0.374,0.379
