OD600,RMV8_recAJanus_noGD_Mitomycin,RMV8_recAJanus_noGD_Mitomycin,RMV8_recAJanus_noGD_Mitomycin,RMV8_recAJanus_withGD_Mitomycin,RMV8_recAJanus_withGD_Mitomycin,RMV8_recAJanus_withGD_Mitomycin
00:00:00,0.157,0.154,0.154,0.151,0.149,0.147
00:30:00,0.181,0.177,0.178,0.175,0.176,0.171
01:00:00,0.218,0.223,0.219,0.217,0.217,0.215
01:30:00,0.27,0.269,0.271,0.265,0.271,0.265
02:00:00,0.322,0.317,0.326,0.323,0.324,0.322
02:30:00,0.383,0.354,0.368,0.365,0.362,0.361
03:00:00,0.4,0.376,0.38,0.377,0.377,0.368
03:30:00,0.398,0.393,0.408,0.396,0.396,0.377
04:00:00,0.398,0.406,0.401,0.389,0.389,0.391
04:30:00,0.394,0.397,0.409,0.39,0.395,0.397
05:00:00,0.414,0.395,0.399,0.383,0.392,0.399
05:30:00,0.44,0.397,0.406,0.385,0.394,0.405
06:00:00,0.459,0.398,0.414,0.385,0.396,0.4
06:30:00,0.463,0.396,0.408,0.377,0.392,0.401
07:00:00,0.466,0.398,0.416,0.384,0.4,0.407
07:30:00,0.458,0.392,0.411,0.374,0.394,0.403
08:00:00,0.445,0.393,0.411,0.372,0.392,0.401
08:30:00,0.462,0.387,0.41,0.372,0.394,0.405
09:00:00,0.449,0.39,0.411,0.367,0.388,0.399
09:30:00,0.451,0.382,0.403,0.363,0.384,0.398
10:00:00,0.444,0.386,0.406,0.359,0.383,0.394
10:30:00,0.45,0.385,0.405,0.357,0.382,0.39
11:00:00,0.461,0.38,0.401,0.353,0.378,0.39
11:30:00,0.454,0.381,0.399,0.354,0.381,0.39
12:00:00,0.454,0.378,0.397,0.346,0.373,0.387
12:30:00,0.459,0.375,0.393,0.341,0.371,0.384
13:00:00,0.463,0.372,0.389,0.341,0.371,0.386
13:30:00,0.442,0.371,0.388,0.338,0.365,0.376
14:00:00,0.455,0.363,0.383,0.334,0.363,0.377
14:30:00,0.451,0.362,0.381,0.334,0.364,0.377
15:00:00,0.443,0.357,0.381,0.332,0.363,0.377
15:30:00,0.451,0.353,0.378,0.328,0.359,0.372
16:00:00,0.447,0.355,0.373,0.322,0.356,0.371
16:30:00,0.44,0.353,0.371,0.319,0.354,0.368
17:00:00,0.434,0.352,0.37,0.321,0.354,0.367
17:30:00,0.426,0.349,0.367,0.316,0.35,0.365
18:00:00,0.425,0.348,0.364,0.313,0.347,0.362
