OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.247,0.272,0.28,0.21,0.241,0.256,0.187,0.201,0.241
00:30:00,0.553,0.566,0.59,0.495,0.515,0.536,0.474,0.485,0.529
01:00:00,0.741,0.755,0.778,0.635,0.655,0.675,0.594,0.611,0.654
01:30:00,0.824,0.848,0.858,0.768,0.788,0.783,0.675,0.686,0.734
02:00:00,0.829,0.848,0.876,0.793,0.819,0.828,0.753,0.774,0.801
02:30:00,0.836,0.86,0.874,0.815,0.834,0.835,0.782,0.792,0.836
03:00:00,0.836,0.849,0.87,0.83,0.832,0.837,0.774,0.783,0.83
03:30:00,0.847,0.863,0.881,0.828,0.847,0.847,0.762,0.774,0.818
04:00:00,0.838,0.861,0.894,0.82,0.853,0.86,0.771,0.77,0.832
04:30:00,0.846,0.875,0.89,0.821,0.855,0.878,0.76,0.764,0.81
05:00:00,0.837,0.848,0.9,0.81,0.844,0.862,0.761,0.765,0.804
05:30:00,0.835,0.853,0.881,0.807,0.843,0.857,0.765,0.771,0.8
06:00:00,0.84,0.865,0.876,0.805,0.841,0.852,0.756,0.759,0.805
06:30:00,0.82,0.846,0.868,0.802,0.836,0.851,0.747,0.745,0.785
07:00:00,0.834,0.847,0.873,0.792,0.828,0.84,0.74,0.736,0.78
07:30:00,0.801,0.843,0.868,0.78,0.814,0.829,0.731,0.721,0.763
08:00:00,0.819,0.835,0.858,0.772,0.808,0.827,0.723,0.709,0.761
08:30:00,0.813,0.809,0.863,0.767,0.798,0.816,0.722,0.708,0.762
09:00:00,0.797,0.802,0.851,0.758,0.787,0.814,0.708,0.689,0.761
09:30:00,0.8,0.8,0.849,0.749,0.775,0.799,0.695,0.675,0.753
10:00:00,0.797,0.803,0.842,0.738,0.76,0.777,0.686,0.663,0.748
10:30:00,0.79,0.795,0.83,0.721,0.743,0.768,0.672,0.648,0.738
11:00:00,0.769,0.785,0.823,0.718,0.736,0.758,0.662,0.634,0.711
11:30:00,0.766,0.775,0.816,0.702,0.727,0.75,0.653,0.62,0.702
12:00:00,0.755,0.758,0.804,0.689,0.713,0.745,0.644,0.613,0.701
12:30:00,0.749,0.738,0.79,0.678,0.701,0.734,0.625,0.587,0.687
13:00:00,0.738,0.742,0.78,0.668,0.695,0.717,0.613,0.581,0.666
13:30:00,0.721,0.722,0.776,0.657,0.68,0.703,0.605,0.567,0.652
14:00:00,0.707,0.708,0.752,0.644,0.667,0.691,0.595,0.556,0.632
14:30:00,0.69,0.703,0.749,0.63,0.657,0.68,0.584,0.545,0.62
15:00:00,0.682,0.686,0.735,0.619,0.645,0.664,0.568,0.538,0.61
15:30:00,0.672,0.67,0.712,0.604,0.63,0.645,0.557,0.519,0.603
16:00:00,0.658,0.658,0.701,0.591,0.614,0.631,0.544,0.508,0.587
16:30:00,0.643,0.636,0.69,0.572,0.601,0.615,0.534,0.498,0.58
17:00:00,0.619,0.619,0.673,0.561,0.585,0.597,0.52,0.487,0.559
17:30:00,0.6,0.608,0.649,0.548,0.568,0.584,0.51,0.475,0.543
18:00:00,0.585,0.591,0.633,0.534,0.553,0.564,0.499,0.466,0.525
18:30:00,0.566,0.576,0.617,0.521,0.537,0.543,0.491,0.455,0.515
