OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.169,0.179,0.179,0.261,0.274,0.268,0.249,0.266,0.273
00:30:00,0.261,0.278,0.28,0.38,0.394,0.393,0.361,0.377,0.388
01:00:00,0.24,0.308,0.312,0.401,0.438,0.449,0.42,0.437,0.465
01:30:00,0.386,0.398,0.399,0.502,0.522,0.521,0.472,0.494,0.5
02:00:00,0.52,0.55,0.545,0.614,0.632,0.638,0.561,0.585,0.593
02:30:00,0.576,0.588,0.587,0.624,0.651,0.652,0.61,0.632,0.639
03:00:00,0.58,0.59,0.583,0.616,0.644,0.65,0.602,0.63,0.637
03:30:00,0.585,0.586,0.578,0.604,0.632,0.638,0.592,0.613,0.623
04:00:00,0.597,0.574,0.572,0.598,0.615,0.617,0.565,0.608,0.615
04:30:00,0.62,0.577,0.567,0.589,0.606,0.616,0.562,0.594,0.602
05:00:00,0.633,0.588,0.562,0.582,0.593,0.612,0.551,0.584,0.599
05:30:00,0.65,0.622,0.564,0.587,0.592,0.621,0.55,0.575,0.602
06:00:00,0.649,0.654,0.569,0.6,0.584,0.635,0.55,0.578,0.608
06:30:00,0.653,0.647,0.578,0.619,0.591,0.652,0.561,0.582,0.626
07:00:00,0.655,0.66,0.582,0.616,0.601,0.663,0.584,0.588,0.643
07:30:00,0.666,0.656,0.574,0.627,0.601,0.656,0.588,0.59,0.651
08:00:00,0.639,0.651,0.578,0.624,0.589,0.666,0.6,0.58,0.645
08:30:00,0.659,0.647,0.57,0.629,0.585,0.646,0.582,0.572,0.626
09:00:00,0.655,0.652,0.551,0.625,0.592,0.652,0.563,0.56,0.615
09:30:00,0.651,0.644,0.583,0.627,0.57,0.652,0.56,0.547,0.608
10:00:00,0.65,0.639,0.561,0.616,0.557,0.651,0.547,0.532,0.604
10:30:00,0.646,0.639,0.567,0.618,0.564,0.657,0.544,0.528,0.591
11:00:00,0.635,0.64,0.562,0.607,0.55,0.647,0.551,0.52,0.596
11:30:00,0.635,0.636,0.586,0.607,0.556,0.645,0.546,0.512,0.589
12:00:00,0.647,0.635,0.605,0.61,0.567,0.652,0.544,0.509,0.597
12:30:00,0.643,0.636,0.596,0.615,0.557,0.662,0.547,0.502,0.589
13:00:00,0.638,0.634,0.595,0.612,0.566,0.647,0.539,0.499,0.589
13:30:00,0.635,0.618,0.605,0.606,0.572,0.645,0.537,0.501,0.591
14:00:00,0.627,0.623,0.6,0.597,0.57,0.644,0.535,0.494,0.571
14:30:00,0.62,0.615,0.602,0.596,0.574,0.641,0.535,0.498,0.572
15:00:00,0.62,0.627,0.608,0.6,0.566,0.644,0.538,0.496,0.564
15:30:00,0.619,0.616,0.604,0.601,0.575,0.635,0.542,0.497,0.558
16:00:00,0.609,0.624,0.605,0.597,0.576,0.642,0.542,0.495,0.557
16:30:00,0.613,0.621,0.604,0.595,0.576,0.638,0.543,0.5,0.565
17:00:00,0.598,0.613,0.594,0.587,0.568,0.621,0.525,0.494,0.558
17:30:00,0.599,0.611,0.578,0.584,0.569,0.627,0.526,0.498,0.559
18:00:00,0.577,0.604,0.579,0.58,0.568,0.605,0.534,0.508,0.558
18:30:00,0.571,0.601,0.585,0.58,0.555,0.612,0.534,0.518,0.559
19:00:00,0.558,0.593,0.586,0.566,0.553,0.601,0.533,0.526,0.554
19:30:00,0.542,0.588,0.578,0.558,0.545,0.591,0.532,0.519,0.547
