OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.232,0.237,0.235,0.194,0.205,0.214,0.198,0.209,0.203
00:30:00,0.298,0.328,0.342,0.251,0.265,0.27,0.237,0.25,0.246
01:00:00,0.428,0.449,0.468,0.322,0.344,0.352,0.283,0.296,0.291
01:30:00,0.575,0.582,0.616,0.394,0.408,0.423,0.311,0.327,0.316
02:00:00,0.624,0.644,0.688,0.47,0.503,0.522,0.373,0.384,0.382
02:30:00,0.642,0.675,0.717,0.566,0.582,0.617,0.426,0.457,0.445
03:00:00,0.634,0.686,0.734,0.585,0.611,0.627,0.483,0.52,0.504
03:30:00,0.643,0.682,0.74,0.608,0.627,0.655,0.528,0.558,0.544
04:00:00,0.684,0.699,0.742,0.611,0.637,0.66,0.546,0.582,0.548
04:30:00,0.693,0.687,0.727,0.604,0.635,0.661,0.56,0.59,0.563
05:00:00,0.686,0.677,0.722,0.599,0.628,0.656,0.554,0.581,0.578
05:30:00,0.696,0.672,0.718,0.598,0.629,0.646,0.553,0.585,0.571
06:00:00,0.689,0.661,0.712,0.591,0.62,0.639,0.542,0.576,0.565
06:30:00,0.691,0.655,0.708,0.58,0.61,0.631,0.536,0.568,0.565
07:00:00,0.689,0.649,0.7,0.569,0.598,0.624,0.529,0.561,0.555
07:30:00,0.68,0.645,0.697,0.562,0.59,0.613,0.519,0.552,0.548
08:00:00,0.687,0.635,0.69,0.551,0.578,0.606,0.509,0.542,0.536
08:30:00,0.68,0.633,0.691,0.544,0.57,0.596,0.501,0.534,0.53
09:00:00,0.672,0.629,0.685,0.539,0.564,0.589,0.491,0.523,0.522
09:30:00,0.662,0.622,0.68,0.529,0.554,0.58,0.482,0.511,0.513
10:00:00,0.664,0.617,0.677,0.521,0.547,0.573,0.475,0.503,0.505
10:30:00,0.668,0.611,0.671,0.513,0.536,0.563,0.468,0.493,0.501
11:00:00,0.663,0.607,0.667,0.505,0.527,0.555,0.461,0.487,0.49
11:30:00,0.663,0.6,0.663,0.496,0.519,0.545,0.45,0.477,0.48
12:00:00,0.655,0.593,0.657,0.488,0.511,0.537,0.439,0.466,0.472
12:30:00,0.648,0.588,0.65,0.478,0.502,0.525,0.432,0.457,0.46
13:00:00,0.654,0.58,0.646,0.471,0.49,0.517,0.422,0.448,0.449
13:30:00,0.646,0.578,0.637,0.461,0.481,0.506,0.412,0.438,0.44
14:00:00,0.627,0.567,0.629,0.45,0.472,0.499,0.403,0.426,0.433
14:30:00,0.634,0.555,0.619,0.442,0.461,0.488,0.394,0.417,0.424
15:00:00,0.61,0.547,0.613,0.431,0.451,0.478,0.385,0.407,0.417
15:30:00,0.625,0.536,0.602,0.422,0.441,0.468,0.375,0.399,0.408
16:00:00,0.61,0.534,0.592,0.408,0.43,0.456,0.366,0.388,0.397
16:30:00,0.571,0.52,0.584,0.399,0.42,0.446,0.358,0.38,0.389
17:00:00,0.571,0.509,0.571,0.389,0.409,0.437,0.348,0.37,0.381
17:30:00,0.564,0.5,0.559,0.377,0.399,0.424,0.338,0.362,0.373
18:00:00,0.546,0.487,0.548,0.363,0.388,0.413,0.329,0.351,0.363
