OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.111,0.114,0.111,0.114,0.115,0.117,0.129,0.128,0.127,0.116,0.114,0.117,0.118,0.111,0.108,0.117,0.118,0.111,0.112,0.114,0.108,0.108,0.107,0.105
00:30:00,0.122,0.127,0.122,0.123,0.125,0.124,0.135,0.133,0.131,0.129,0.127,0.128,0.126,0.123,0.118,0.126,0.128,0.13,0.132,0.137,0.131,0.127,0.123,0.121
01:00:00,0.136,0.148,0.146,0.144,0.146,0.146,0.149,0.147,0.144,0.156,0.154,0.158,0.142,0.14,0.139,0.15,0.157,0.153,0.154,0.159,0.15,0.151,0.148,0.142
01:30:00,0.16,0.176,0.174,0.172,0.169,0.171,0.169,0.166,0.163,0.18,0.176,0.186,0.157,0.163,0.154,0.172,0.176,0.176,0.175,0.178,0.171,0.17,0.169,0.168
02:00:00,0.152,0.178,0.177,0.182,0.175,0.175,0.174,0.171,0.171,0.189,0.181,0.193,0.157,0.159,0.157,0.151,0.153,0.15,0.184,0.186,0.18,0.172,0.169,0.169
02:30:00,0.162,0.174,0.174,0.176,0.174,0.177,0.168,0.162,0.166,0.184,0.181,0.185,0.148,0.15,0.146,0.106,0.107,0.107,0.179,0.183,0.173,0.167,0.166,0.165
03:00:00,0.172,0.186,0.19,0.191,0.188,0.188,0.166,0.159,0.16,0.199,0.192,0.195,0.159,0.152,0.148,0.092,0.095,0.096,0.188,0.194,0.185,0.182,0.178,0.174
03:30:00,0.197,0.21,0.21,0.22,0.21,0.206,0.18,0.183,0.173,0.222,0.212,0.212,0.166,0.165,0.159,0.089,0.093,0.09,0.21,0.212,0.202,0.205,0.2,0.194
04:00:00,0.221,0.235,0.236,0.242,0.23,0.229,0.205,0.205,0.201,0.251,0.239,0.229,0.179,0.178,0.175,0.085,0.088,0.086,0.228,0.231,0.222,0.229,0.223,0.216
04:30:00,0.217,0.249,0.24,0.262,0.258,0.253,0.232,0.236,0.226,0.26,0.239,0.233,0.186,0.199,0.191,0.084,0.084,0.085,0.252,0.253,0.243,0.234,0.23,0.224
05:00:00,0.209,0.247,0.235,0.248,0.232,0.233,0.249,0.247,0.248,0.265,0.229,0.218,0.22,0.222,0.21,0.08,0.085,0.084,0.245,0.246,0.235,0.222,0.215,0.213
05:30:00,0.192,0.255,0.23,0.234,0.191,0.191,0.249,0.246,0.25,0.263,0.249,0.208,0.207,0.23,0.239,0.08,0.084,0.08,0.251,0.255,0.236,0.22,0.21,0.202
06:00:00,0.203,0.245,0.227,0.211,0.162,0.159,0.251,0.249,0.249,0.259,0.268,0.207,0.197,0.245,0.239,0.08,0.085,0.078,0.268,0.272,0.261,0.247,0.207,0.201
06:30:00,0.226,0.238,0.222,0.194,0.135,0.134,0.251,0.249,0.248,0.259,0.27,0.213,0.192,0.247,0.234,0.08,0.083,0.075,0.262,0.267,0.26,0.264,0.217,0.201
07:00:00,0.252,0.238,0.226,0.179,0.121,0.119,0.251,0.244,0.247,0.265,0.269,0.236,0.211,0.235,0.22,0.079,0.081,0.072,0.252,0.256,0.248,0.274,0.247,0.209
07:30:00,0.265,0.244,0.23,0.165,0.111,0.108,0.256,0.251,0.25,0.274,0.271,0.257,0.24,0.225,0.213,0.077,0.078,0.069,0.251,0.255,0.247,0.281,0.272,0.227
08:00:00,0.277,0.254,0.234,0.151,0.101,0.098,0.261,0.257,0.252,0.28,0.273,0.278,0.249,0.219,0.217,0.074,0.073,0.066,0.258,0.261,0.251,0.283,0.289,0.251
08:30:00,0.279,0.257,0.24,0.14,0.093,0.091,0.269,0.262,0.26,0.287,0.277,0.285,0.253,0.22,0.219,0.072,0.07,0.064,0.265,0.269,0.255,0.287,0.297,0.276
09:00:00,0.285,0.261,0.241,0.127,0.085,0.085,0.274,0.268,0.262,0.293,0.283,0.296,0.252,0.224,0.219,0.069,0.066,0.06,0.272,0.274,0.262,0.295,0.307,0.298
09:30:00,0.299,0.268,0.246,0.118,0.081,0.079,0.278,0.273,0.268,0.293,0.288,0.306,0.265,0.228,0.226,0.066,0.064,0.058,0.28,0.28,0.268,0.304,0.317,0.311
10:00:00,0.308,0.269,0.246,0.111,0.076,0.076,0.284,0.276,0.269,0.291,0.286,0.318,0.268,0.231,0.226,0.061,0.06,0.055,0.283,0.284,0.271,0.308,0.334,0.307
10:30:00,0.318,0.264,0.242,0.102,0.073,0.072,0.283,0.277,0.27,0.29,0.286,0.327,0.274,0.233,0.228,0.058,0.058,0.053,0.281,0.284,0.269,0.309,0.342,0.312
11:00:00,0.307,0.26,0.239,0.096,0.069,0.069,0.282,0.273,0.267,0.285,0.283,0.325,0.276,0.235,0.232,0.055,0.054,0.051,0.279,0.281,0.268,0.311,0.342,0.324
11:30:00,0.322,0.257,0.237,0.091,0.066,0.066,0.278,0.27,0.266,0.278,0.278,0.312,0.285,0.235,0.233,0.052,0.051,0.049,0.273,0.277,0.26,0.326,0.331,0.292
12:00:00,0.31,0.251,0.229,0.086,0.064,0.064,0.276,0.269,0.263,0.276,0.276,0.294,0.288,0.236,0.234,0.047,0.049,0.046,0.268,0.272,0.256,0.342,0.323,0.277
12:30:00,0.329,0.248,0.226,0.081,0.062,0.061,0.272,0.266,0.26,0.273,0.279,0.276,0.29,0.233,0.229,0.045,0.046,0.043,0.264,0.268,0.253,0.35,0.31,0.257
13:00:00,0.316,0.245,0.223,0.077,0.06,0.06,0.265,0.259,0.251,0.266,0.284,0.263,0.303,0.23,0.229,0.044,0.045,0.041,0.261,0.265,0.249,0.354,0.301,0.246
13:30:00,0.316,0.244,0.222,0.075,0.06,0.062,0.264,0.256,0.251,0.266,0.289,0.249,0.304,0.232,0.228,0.041,0.043,0.041,0.258,0.261,0.247,0.364,0.288,0.24
14:00:00,0.31,0.24,0.216,0.071,0.059,0.058,0.262,0.252,0.245,0.263,0.297,0.241,0.294,0.227,0.223,0.038,0.039,0.037,0.254,0.257,0.244,0.366,0.276,0.239
14:30:00,0.278,0.238,0.213,0.069,0.058,0.058,0.253,0.247,0.24,0.258,0.308,0.23,0.29,0.223,0.22,0.037,0.037,0.035,0.252,0.254,0.241,0.367,0.261,0.234
15:00:00,0.261,0.234,0.214,0.069,0.058,0.057,0.248,0.242,0.236,0.256,0.316,0.22,0.288,0.222,0.217,0.035,0.036,0.035,0.249,0.253,0.237,0.363,0.246,0.232
15:30:00,0.261,0.235,0.213,0.066,0.057,0.055,0.243,0.237,0.231,0.253,0.324,0.215,0.266,0.217,0.212,0.033,0.034,0.032,0.246,0.247,0.235,0.352,0.238,0.228
16:00:00,0.251,0.233,0.21,0.064,0.057,0.055,0.238,0.232,0.227,0.249,0.327,0.211,0.25,0.217,0.212,0.031,0.033,0.031,0.243,0.244,0.231,0.343,0.233,0.226
16:30:00,0.229,0.236,0.208,0.065,0.056,0.055,0.235,0.228,0.22,0.248,0.332,0.206,0.235,0.216,0.209,0.032,0.032,0.031,0.242,0.244,0.231,0.327,0.229,0.223
17:00:00,0.217,0.236,0.208,0.062,0.055,0.053,0.228,0.222,0.217,0.244,0.328,0.201,0.22,0.21,0.205,0.029,0.029,0.028,0.238,0.238,0.226,0.307,0.225,0.215
17:30:00,0.222,0.238,0.205,0.061,0.054,0.053,0.22,0.215,0.209,0.24,0.321,0.196,0.213,0.209,0.203,0.027,0.028,0.027,0.235,0.238,0.223,0.288,0.221,0.215
18:00:00,0.211,0.245,0.206,0.06,0.054,0.053,0.22,0.212,0.207,0.236,0.313,0.192,0.206,0.208,0.2,0.026,0.027,0.026,0.232,0.234,0.22,0.265,0.219,0.213
18:30:00,0.204,0.246,0.204,0.059,0.053,0.053,0.215,0.209,0.202,0.235,0.302,0.189,0.196,0.208,0.198,0.024,0.025,0.025,0.23,0.232,0.217,0.242,0.215,0.208
19:00:00,0.182,0.25,0.202,0.058,0.052,0.052,0.209,0.203,0.199,0.233,0.286,0.184,0.194,0.207,0.195,0.023,0.025,0.024,0.226,0.229,0.216,0.228,0.211,0.204
19:30:00,0.192,0.249,0.201,0.057,0.052,0.052,0.207,0.2,0.194,0.229,0.267,0.18,0.187,0.211,0.192,0.022,0.024,0.023,0.224,0.226,0.212,0.217,0.207,0.202
20:00:00,0.19,0.253,0.201,0.059,0.054,0.054,0.203,0.197,0.194,0.228,0.249,0.178,0.184,0.214,0.191,0.023,0.024,0.023,0.222,0.226,0.21,0.213,0.206,0.2
20:30:00,0.184,0.256,0.2,0.057,0.052,0.052,0.199,0.193,0.188,0.224,0.227,0.175,0.174,0.213,0.188,0.021,0.022,0.021,0.22,0.224,0.209,0.208,0.202,0.198
