OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.066,0.069,0.069,0.067,0.07,0.066,0.091,0.091,0.089,0.067,0.064,0.062,0.064,0.068,0.069,0.069,0.067,0.065,0.066,0.064,0.072,0.065,0.065,0.068
00:30:00,0.089,0.093,0.089,0.092,0.091,0.089,0.116,0.116,0.115,0.09,0.085,0.083,0.09,0.096,0.093,0.096,0.098,0.09,0.091,0.087,0.093,0.087,0.088,0.087
01:00:00,0.093,0.098,0.095,0.095,0.092,0.094,0.11,0.109,0.112,0.096,0.093,0.091,0.087,0.1,0.094,0.095,0.099,0.091,0.086,0.083,0.09,0.089,0.095,0.098
01:30:00,0.106,0.113,0.112,0.106,0.112,0.102,0.114,0.114,0.115,0.112,0.11,0.105,0.1,0.115,0.113,0.108,0.108,0.102,0.083,0.082,0.089,0.104,0.103,0.111
02:00:00,0.151,0.152,0.149,0.149,0.144,0.148,0.137,0.131,0.134,0.16,0.158,0.149,0.144,0.152,0.151,0.121,0.126,0.116,0.086,0.088,0.097,0.138,0.139,0.148
02:30:00,0.203,0.217,0.213,0.201,0.199,0.205,0.165,0.16,0.163,0.222,0.215,0.201,0.199,0.212,0.208,0.129,0.131,0.116,0.102,0.097,0.11,0.188,0.187,0.194
03:00:00,0.286,0.289,0.296,0.28,0.269,0.28,0.218,0.208,0.22,0.308,0.301,0.277,0.279,0.288,0.286,0.12,0.124,0.104,0.116,0.114,0.125,0.263,0.254,0.257
03:30:00,0.369,0.378,0.381,0.367,0.35,0.357,0.283,0.272,0.283,0.405,0.388,0.368,0.365,0.38,0.378,0.116,0.116,0.097,0.138,0.136,0.147,0.342,0.328,0.329
04:00:00,0.416,0.425,0.423,0.426,0.414,0.43,0.36,0.341,0.362,0.449,0.44,0.423,0.405,0.426,0.422,0.118,0.122,0.097,0.183,0.178,0.191,0.38,0.368,0.377
04:30:00,0.428,0.439,0.429,0.419,0.401,0.403,0.426,0.415,0.43,0.446,0.431,0.427,0.406,0.45,0.451,0.119,0.125,0.096,0.241,0.228,0.241,0.401,0.378,0.381
05:00:00,0.448,0.464,0.453,0.42,0.39,0.384,0.437,0.435,0.45,0.472,0.452,0.465,0.441,0.459,0.464,0.122,0.127,0.093,0.309,0.289,0.302,0.414,0.393,0.404
05:30:00,0.502,0.492,0.48,0.415,0.361,0.354,0.472,0.477,0.468,0.501,0.496,0.516,0.476,0.487,0.479,0.126,0.13,0.095,0.362,0.347,0.354,0.452,0.418,0.435
06:00:00,0.512,0.519,0.508,0.432,0.342,0.329,0.495,0.487,0.497,0.516,0.523,0.543,0.505,0.513,0.502,0.138,0.14,0.102,0.379,0.36,0.37,0.482,0.459,0.479
06:30:00,0.543,0.521,0.511,0.441,0.328,0.298,0.498,0.499,0.504,0.528,0.516,0.552,0.526,0.535,0.518,0.148,0.151,0.107,0.398,0.387,0.393,0.503,0.472,0.478
07:00:00,0.524,0.528,0.519,0.451,0.32,0.285,0.505,0.502,0.506,0.527,0.521,0.553,0.54,0.531,0.515,0.157,0.164,0.113,0.433,0.412,0.429,0.515,0.48,0.484
07:30:00,0.52,0.522,0.51,0.452,0.305,0.265,0.508,0.511,0.526,0.536,0.539,0.568,0.538,0.524,0.509,0.167,0.171,0.121,0.449,0.429,0.443,0.509,0.48,0.488
08:00:00,0.545,0.524,0.508,0.451,0.292,0.24,0.509,0.501,0.511,0.536,0.532,0.549,0.551,0.528,0.508,0.181,0.191,0.134,0.48,0.463,0.471,0.514,0.495,0.481
08:30:00,0.544,0.523,0.507,0.441,0.265,0.219,0.498,0.484,0.508,0.521,0.526,0.549,0.554,0.517,0.503,0.193,0.207,0.15,0.481,0.465,0.477,0.511,0.498,0.478
09:00:00,0.543,0.528,0.499,0.437,0.243,0.191,0.491,0.496,0.5,0.535,0.537,0.557,0.557,0.506,0.496,0.219,0.23,0.161,0.471,0.454,0.469,0.503,0.507,0.483
09:30:00,0.546,0.533,0.506,0.429,0.222,0.171,0.497,0.505,0.511,0.54,0.55,0.571,0.558,0.497,0.489,0.229,0.237,0.174,0.462,0.447,0.46,0.503,0.516,0.475
10:00:00,0.537,0.555,0.52,0.42,0.201,0.155,0.498,0.489,0.504,0.541,0.545,0.552,0.554,0.49,0.484,0.232,0.236,0.182,0.454,0.439,0.457,0.496,0.52,0.476
10:30:00,0.542,0.55,0.52,0.408,0.186,0.138,0.497,0.501,0.517,0.528,0.542,0.561,0.546,0.485,0.476,0.238,0.243,0.224,0.449,0.435,0.451,0.488,0.526,0.479
11:00:00,0.534,0.535,0.528,0.399,0.169,0.126,0.498,0.504,0.502,0.544,0.534,0.559,0.537,0.478,0.469,0.243,0.25,0.25,0.441,0.428,0.441,0.484,0.53,0.478
11:30:00,0.534,0.547,0.525,0.388,0.156,0.117,0.503,0.506,0.514,0.532,0.534,0.551,0.533,0.465,0.462,0.249,0.254,0.246,0.438,0.421,0.435,0.479,0.528,0.475
12:00:00,0.528,0.53,0.532,0.379,0.143,0.107,0.515,0.511,0.493,0.531,0.534,0.546,0.52,0.458,0.45,0.25,0.255,0.248,0.429,0.409,0.429,0.471,0.523,0.472
12:30:00,0.526,0.524,0.526,0.363,0.135,0.103,0.506,0.529,0.51,0.539,0.529,0.552,0.525,0.451,0.442,0.256,0.259,0.256,0.429,0.415,0.43,0.468,0.534,0.469
13:00:00,0.517,0.513,0.527,0.353,0.124,0.095,0.521,0.51,0.517,0.532,0.523,0.541,0.516,0.437,0.43,0.252,0.258,0.259,0.423,0.409,0.422,0.461,0.53,0.467
13:30:00,0.52,0.512,0.526,0.336,0.12,0.094,0.506,0.514,0.501,0.531,0.518,0.546,0.51,0.423,0.416,0.25,0.25,0.261,0.416,0.397,0.416,0.45,0.53,0.462
14:00:00,0.512,0.503,0.513,0.317,0.114,0.093,0.499,0.483,0.478,0.523,0.499,0.54,0.513,0.414,0.402,0.243,0.247,0.265,0.407,0.392,0.408,0.446,0.527,0.455
14:30:00,0.507,0.498,0.509,0.297,0.106,0.092,0.457,0.449,0.456,0.523,0.492,0.54,0.514,0.404,0.39,0.239,0.241,0.261,0.398,0.384,0.4,0.44,0.523,0.454
15:00:00,0.502,0.493,0.501,0.282,0.103,0.089,0.438,0.426,0.428,0.518,0.502,0.532,0.514,0.393,0.381,0.236,0.238,0.258,0.387,0.374,0.394,0.43,0.512,0.457
15:30:00,0.49,0.482,0.502,0.27,0.105,0.09,0.403,0.398,0.404,0.509,0.491,0.539,0.514,0.384,0.37,0.234,0.234,0.254,0.377,0.362,0.382,0.421,0.506,0.456
16:00:00,0.492,0.477,0.498,0.254,0.102,0.088,0.387,0.376,0.381,0.504,0.491,0.535,0.505,0.38,0.359,0.227,0.23,0.25,0.367,0.358,0.377,0.413,0.499,0.464
16:30:00,0.479,0.471,0.495,0.24,0.098,0.088,0.365,0.351,0.357,0.504,0.473,0.522,0.498,0.371,0.35,0.224,0.224,0.245,0.356,0.347,0.366,0.403,0.489,0.468
17:00:00,0.477,0.46,0.476,0.225,0.096,0.092,0.339,0.33,0.334,0.495,0.461,0.503,0.475,0.365,0.342,0.221,0.223,0.242,0.348,0.339,0.36,0.397,0.48,0.466
17:30:00,0.463,0.448,0.457,0.214,0.097,0.09,0.323,0.307,0.315,0.48,0.456,0.491,0.479,0.36,0.332,0.22,0.22,0.239,0.342,0.337,0.353,0.384,0.469,0.477
18:00:00,0.447,0.438,0.448,0.201,0.093,0.087,0.299,0.29,0.294,0.466,0.442,0.482,0.477,0.351,0.324,0.214,0.215,0.235,0.335,0.328,0.345,0.373,0.455,0.482
18:30:00,0.442,0.429,0.421,0.189,0.089,0.083,0.284,0.273,0.275,0.456,0.427,0.479,0.46,0.342,0.315,0.209,0.212,0.229,0.325,0.323,0.34,0.363,0.442,0.481
19:00:00,0.425,0.412,0.408,0.185,0.087,0.081,0.265,0.255,0.264,0.442,0.416,0.461,0.455,0.336,0.307,0.207,0.206,0.223,0.318,0.314,0.332,0.345,0.427,0.476
19:30:00,0.421,0.404,0.387,0.181,0.084,0.079,0.25,0.244,0.245,0.422,0.413,0.449,0.438,0.329,0.298,0.203,0.203,0.22,0.31,0.308,0.327,0.332,0.412,0.482
20:00:00,0.405,0.386,0.381,0.175,0.083,0.078,0.24,0.233,0.237,0.406,0.394,0.432,0.426,0.323,0.289,0.199,0.2,0.217,0.305,0.302,0.319,0.322,0.398,0.469
