OD600,control,control,control,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.054,0.061,0.061,0.066,0.066,0.064
00:30:00,0.066,0.072,0.071,0.078,0.074,0.074
01:00:00,0.088,0.097,0.096,0.101,0.098,0.096
01:30:00,0.119,0.134,0.134,0.122,0.113,0.113
02:00:00,0.186,0.204,0.189,0.116,0.102,0.11
02:30:00,0.278,0.306,0.304,0.084,0.077,0.078
03:00:00,0.409,0.458,0.423,0.068,0.062,0.064
03:30:00,0.472,0.522,0.507,0.059,0.056,0.056
04:00:00,0.489,0.535,0.516,0.057,0.052,0.056
04:30:00,0.486,0.531,0.52,0.055,0.053,0.052
05:00:00,0.492,0.528,0.52,0.058,0.051,0.051
05:30:00,0.503,0.542,0.532,0.06,0.05,0.049
06:00:00,0.506,0.548,0.537,0.061,0.049,0.049
06:30:00,0.506,0.552,0.543,0.061,0.047,0.049
07:00:00,0.513,0.559,0.551,0.062,0.044,0.047
07:30:00,0.514,0.563,0.554,0.063,0.044,0.046
08:00:00,0.504,0.552,0.544,0.062,0.041,0.043
08:30:00,0.5,0.546,0.537,0.065,0.039,0.042
09:00:00,0.49,0.533,0.524,0.065,0.036,0.039
09:30:00,0.474,0.514,0.509,0.065,0.034,0.037
10:00:00,0.455,0.49,0.487,0.065,0.033,0.036
10:30:00,0.434,0.468,0.469,0.063,0.032,0.035
11:00:00,0.413,0.446,0.447,0.061,0.03,0.033
11:30:00,0.393,0.425,0.427,0.057,0.029,0.032
12:00:00,0.377,0.406,0.408,0.053,0.029,0.033
12:30:00,0.361,0.389,0.39,0.051,0.028,0.031
13:00:00,0.345,0.374,0.373,0.047,0.028,0.031
13:30:00,0.332,0.359,0.358,0.046,0.026,0.028
14:00:00,0.322,0.346,0.348,0.045,0.026,0.028
14:30:00,0.312,0.337,0.333,0.043,0.025,0.027
15:00:00,0.299,0.324,0.324,0.04,0.024,0.026
15:30:00,0.288,0.312,0.311,0.038,0.024,0.025
16:00:00,0.276,0.301,0.298,0.036,0.023,0.025
16:30:00,0.267,0.291,0.287,0.035,0.023,0.024
17:00:00,0.257,0.279,0.277,0.033,0.022,0.023
17:30:00,0.248,0.272,0.267,0.031,0.021,0.022
18:00:00,0.239,0.262,0.258,0.03,0.021,0.022
18:30:00,0.231,0.252,0.25,0.028,0.021,0.021
19:00:00,0.223,0.241,0.24,0.028,0.021,0.021
19:30:00,0.216,0.235,0.235,0.026,0.019,0.02
20:00:00,0.209,0.229,0.226,0.026,0.02,0.02
20:30:00,0.202,0.222,0.218,0.025,0.02,0.02
