OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.135,0.136,0.136,0.14,0.14,0.135,0.152,0.152,0.158,0.135,0.142,0.133,0.144,0.145,0.149,0.143,0.148,0.143,0.144,0.14,0.139,0.131,0.129,0.126
00:30:00,0.159,0.159,0.16,0.16,0.161,0.16,0.17,0.173,0.172,0.166,0.17,0.155,0.172,0.171,0.168,0.175,0.173,0.169,0.168,0.163,0.165,0.157,0.151,0.147
01:00:00,0.216,0.22,0.224,0.223,0.222,0.22,0.21,0.211,0.216,0.235,0.246,0.231,0.228,0.227,0.225,0.227,0.224,0.224,0.214,0.213,0.215,0.212,0.215,0.214
01:30:00,0.305,0.309,0.309,0.307,0.305,0.304,0.267,0.276,0.281,0.328,0.331,0.312,0.316,0.316,0.315,0.303,0.3,0.296,0.29,0.286,0.288,0.298,0.291,0.288
02:00:00,0.411,0.414,0.422,0.417,0.418,0.415,0.365,0.371,0.381,0.446,0.455,0.428,0.425,0.415,0.423,0.362,0.363,0.356,0.379,0.379,0.39,0.401,0.383,0.386
02:30:00,0.476,0.493,0.496,0.495,0.502,0.501,0.471,0.457,0.474,0.523,0.546,0.503,0.513,0.5,0.504,0.429,0.413,0.414,0.484,0.483,0.489,0.467,0.451,0.449
03:00:00,0.485,0.507,0.488,0.487,0.471,0.47,0.458,0.475,0.496,0.538,0.543,0.506,0.524,0.519,0.525,0.453,0.464,0.447,0.507,0.494,0.496,0.477,0.462,0.441
03:30:00,0.519,0.52,0.512,0.477,0.452,0.467,0.504,0.495,0.505,0.551,0.567,0.537,0.522,0.531,0.533,0.452,0.443,0.442,0.521,0.514,0.514,0.497,0.485,0.467
04:00:00,0.545,0.53,0.542,0.493,0.435,0.453,0.512,0.513,0.527,0.575,0.593,0.544,0.548,0.552,0.552,0.466,0.458,0.453,0.544,0.536,0.536,0.521,0.518,0.485
04:30:00,0.545,0.54,0.552,0.492,0.421,0.433,0.514,0.518,0.542,0.574,0.613,0.567,0.556,0.558,0.558,0.458,0.453,0.449,0.548,0.539,0.546,0.533,0.525,0.487
05:00:00,0.576,0.552,0.554,0.499,0.403,0.423,0.526,0.52,0.547,0.593,0.627,0.584,0.57,0.56,0.56,0.463,0.453,0.451,0.553,0.545,0.55,0.535,0.531,0.502
