OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.106,0.11,0.109,0.112,0.119,0.113,0.122,0.121,0.126,0.113,0.113,0.114,0.113,0.11,0.112,0.115,0.112,0.108,0.117,0.118,0.126,0.116,0.111,0.112
00:30:00,0.138,0.14,0.134,0.141,0.147,0.137,0.143,0.143,0.145,0.137,0.137,0.139,0.141,0.135,0.138,0.144,0.144,0.137,0.141,0.139,0.143,0.141,0.139,0.136
01:00:00,0.204,0.213,0.205,0.21,0.211,0.203,0.19,0.189,0.196,0.21,0.21,0.211,0.205,0.199,0.197,0.211,0.213,0.204,0.162,0.159,0.164,0.213,0.208,0.207
01:30:00,0.3,0.317,0.309,0.31,0.31,0.304,0.257,0.256,0.267,0.314,0.316,0.317,0.306,0.296,0.304,0.288,0.289,0.277,0.185,0.184,0.188,0.318,0.313,0.313
02:00:00,0.419,0.444,0.433,0.412,0.434,0.428,0.329,0.352,0.34,0.44,0.432,0.43,0.421,0.409,0.417,0.351,0.348,0.343,0.216,0.213,0.21,0.44,0.424,0.42
02:30:00,0.455,0.48,0.471,0.469,0.478,0.469,0.428,0.464,0.457,0.489,0.485,0.474,0.46,0.471,0.465,0.394,0.39,0.384,0.262,0.251,0.254,0.487,0.47,0.462
03:00:00,0.468,0.494,0.486,0.464,0.477,0.471,0.454,0.469,0.476,0.503,0.494,0.482,0.469,0.476,0.482,0.415,0.408,0.4,0.313,0.29,0.295,0.497,0.476,0.461
03:30:00,0.468,0.511,0.508,0.453,0.473,0.468,0.475,0.483,0.488,0.519,0.5,0.486,0.469,0.487,0.5,0.431,0.422,0.415,0.382,0.353,0.354,0.515,0.478,0.463
04:00:00,0.476,0.53,0.521,0.434,0.458,0.453,0.483,0.49,0.499,0.536,0.514,0.495,0.472,0.502,0.511,0.418,0.418,0.409,0.395,0.379,0.385,0.528,0.487,0.47
04:30:00,0.495,0.548,0.536,0.409,0.442,0.435,0.492,0.497,0.504,0.548,0.54,0.494,0.468,0.516,0.519,0.402,0.398,0.395,0.411,0.39,0.386,0.537,0.496,0.47
05:00:00,0.524,0.557,0.551,0.376,0.42,0.414,0.503,0.508,0.511,0.553,0.549,0.502,0.48,0.522,0.531,0.392,0.386,0.386,0.415,0.396,0.385,0.537,0.526,0.474
05:30:00,0.523,0.572,0.558,0.334,0.389,0.392,0.519,0.524,0.528,0.564,0.565,0.511,0.467,0.524,0.535,0.382,0.38,0.378,0.43,0.406,0.402,0.552,0.539,0.489
06:00:00,0.525,0.572,0.559,0.291,0.364,0.362,0.518,0.525,0.528,0.564,0.571,0.502,0.5,0.526,0.535,0.375,0.368,0.368,0.437,0.414,0.405,0.557,0.538,0.485
06:30:00,0.535,0.564,0.555,0.249,0.333,0.331,0.516,0.522,0.52,0.56,0.556,0.495,0.52,0.524,0.533,0.363,0.358,0.358,0.439,0.415,0.404,0.555,0.532,0.477
07:00:00,0.544,0.558,0.553,0.212,0.298,0.299,0.515,0.521,0.518,0.559,0.536,0.496,0.502,0.519,0.529,0.352,0.346,0.349,0.443,0.417,0.411,0.556,0.516,0.477
07:30:00,0.548,0.555,0.547,0.181,0.269,0.268,0.511,0.52,0.514,0.555,0.517,0.49,0.498,0.512,0.524,0.343,0.338,0.339,0.44,0.411,0.404,0.552,0.513,0.469
08:00:00,0.548,0.547,0.54,0.157,0.24,0.238,0.499,0.505,0.501,0.551,0.512,0.495,0.48,0.504,0.516,0.33,0.325,0.332,0.439,0.411,0.405,0.551,0.533,0.478
08:30:00,0.545,0.539,0.535,0.136,0.211,0.213,0.485,0.492,0.488,0.547,0.516,0.485,0.514,0.496,0.51,0.322,0.318,0.322,0.434,0.408,0.397,0.546,0.555,0.474
09:00:00,0.546,0.53,0.528,0.121,0.189,0.187,0.465,0.471,0.462,0.536,0.513,0.486,0.499,0.485,0.498,0.309,0.302,0.306,0.421,0.396,0.386,0.537,0.559,0.478
09:30:00,0.534,0.522,0.517,0.11,0.168,0.166,0.44,0.449,0.443,0.528,0.536,0.496,0.502,0.467,0.491,0.297,0.294,0.297,0.411,0.388,0.383,0.533,0.557,0.482
10:00:00,0.559,0.514,0.504,0.104,0.15,0.15,0.419,0.425,0.423,0.523,0.544,0.491,0.509,0.453,0.48,0.289,0.283,0.288,0.404,0.378,0.375,0.529,0.556,0.457
10:30:00,0.541,0.503,0.495,0.098,0.139,0.137,0.39,0.394,0.392,0.508,0.539,0.493,0.49,0.446,0.467,0.275,0.273,0.278,0.391,0.367,0.362,0.519,0.553,0.471
11:00:00,0.539,0.49,0.484,0.094,0.127,0.124,0.367,0.371,0.372,0.497,0.536,0.488,0.488,0.436,0.454,0.267,0.264,0.271,0.378,0.361,0.354,0.512,0.549,0.493
11:30:00,0.54,0.48,0.467,0.091,0.114,0.118,0.342,0.347,0.347,0.487,0.53,0.505,0.49,0.422,0.441,0.259,0.257,0.263,0.37,0.35,0.348,0.501,0.542,0.487
12:00:00,0.542,0.466,0.455,0.09,0.107,0.108,0.318,0.324,0.325,0.476,0.525,0.499,0.469,0.406,0.429,0.247,0.247,0.253,0.361,0.343,0.338,0.492,0.538,0.472
12:30:00,0.534,0.454,0.44,0.09,0.11,0.105,0.296,0.302,0.304,0.462,0.515,0.512,0.456,0.394,0.415,0.24,0.238,0.244,0.35,0.332,0.328,0.483,0.529,0.478
13:00:00,0.526,0.43,0.422,0.089,0.108,0.101,0.278,0.283,0.287,0.443,0.503,0.5,0.469,0.383,0.401,0.232,0.23,0.235,0.334,0.32,0.314,0.467,0.517,0.476
13:30:00,0.521,0.42,0.403,0.087,0.106,0.099,0.263,0.267,0.269,0.422,0.486,0.495,0.469,0.371,0.387,0.226,0.225,0.23,0.325,0.311,0.302,0.456,0.509,0.463
14:00:00,0.507,0.407,0.384,0.087,0.104,0.098,0.251,0.256,0.258,0.402,0.47,0.499,0.449,0.356,0.373,0.218,0.216,0.221,0.315,0.3,0.295,0.439,0.501,0.471
14:30:00,0.501,0.388,0.364,0.089,0.103,0.096,0.24,0.247,0.247,0.383,0.453,0.494,0.447,0.338,0.353,0.21,0.211,0.215,0.306,0.29,0.289,0.423,0.482,0.476
15:00:00,0.486,0.375,0.346,0.088,0.1,0.095,0.234,0.239,0.24,0.36,0.434,0.504,0.447,0.327,0.34,0.206,0.203,0.208,0.293,0.282,0.277,0.408,0.468,0.499
15:30:00,0.462,0.358,0.326,0.088,0.101,0.095,0.228,0.233,0.234,0.343,0.411,0.495,0.416,0.312,0.325,0.197,0.197,0.201,0.282,0.271,0.269,0.388,0.449,0.49
16:00:00,0.442,0.342,0.31,0.088,0.1,0.095,0.223,0.226,0.228,0.325,0.394,0.48,0.406,0.298,0.311,0.193,0.192,0.195,0.274,0.265,0.26,0.373,0.433,0.494
16:30:00,0.433,0.325,0.291,0.09,0.095,0.093,0.22,0.223,0.227,0.307,0.374,0.47,0.392,0.289,0.3,0.188,0.188,0.19,0.267,0.255,0.249,0.354,0.417,0.485
17:00:00,0.408,0.309,0.274,0.088,0.1,0.092,0.213,0.216,0.22,0.287,0.353,0.45,0.382,0.275,0.283,0.182,0.182,0.184,0.253,0.246,0.243,0.336,0.395,0.473
17:30:00,0.393,0.295,0.26,0.089,0.1,0.093,0.209,0.213,0.215,0.271,0.337,0.433,0.363,0.264,0.271,0.176,0.178,0.178,0.246,0.236,0.235,0.322,0.381,0.463
18:00:00,0.376,0.28,0.245,0.089,0.1,0.092,0.203,0.207,0.21,0.256,0.319,0.414,0.348,0.252,0.259,0.171,0.172,0.172,0.237,0.229,0.226,0.305,0.363,0.445
18:30:00,0.351,0.266,0.233,0.089,0.094,0.093,0.2,0.202,0.207,0.242,0.303,0.396,0.339,0.242,0.247,0.166,0.166,0.167,0.227,0.221,0.217,0.289,0.348,0.43
19:00:00,0.349,0.252,0.222,0.089,0.099,0.093,0.195,0.199,0.204,0.229,0.288,0.38,0.319,0.231,0.238,0.161,0.162,0.162,0.221,0.213,0.211,0.276,0.331,0.422
19:30:00,0.331,0.237,0.212,0.089,0.1,0.091,0.192,0.195,0.199,0.218,0.272,0.367,0.308,0.222,0.226,0.158,0.158,0.16,0.213,0.209,0.205,0.262,0.318,0.412
