OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.122,0.129,0.125,0.13,0.122,0.12,0.136,0.134,0.135,0.119,0.129,0.123,0.206,0.131,0.132,0.13,0.13,0.126,0.123,0.124,0.123,0.12,0.123,0.128
00:30:00,0.147,0.15,0.15,0.155,0.149,0.148,0.152,0.157,0.15,0.147,0.154,0.145,0.158,0.15,0.148,0.154,0.152,0.15,0.146,0.146,0.146,0.14,0.144,0.151
01:00:00,0.203,0.206,0.202,0.203,0.2,0.203,0.193,0.188,0.182,0.192,0.201,0.197,0.211,0.209,0.21,0.209,0.207,0.204,0.194,0.193,0.194,0.195,0.201,0.199
01:30:00,0.279,0.299,0.295,0.308,0.292,0.283,0.265,0.254,0.241,0.288,0.284,0.289,0.296,0.284,0.293,0.272,0.255,0.261,0.259,0.257,0.259,0.271,0.275,0.284
02:00:00,0.399,0.418,0.42,0.441,0.418,0.411,0.377,0.338,0.321,0.415,0.393,0.406,0.398,0.398,0.396,0.327,0.299,0.303,0.357,0.358,0.354,0.371,0.371,0.38
02:30:00,0.481,0.496,0.499,0.503,0.486,0.477,0.466,0.444,0.398,0.472,0.471,0.459,0.487,0.484,0.487,0.357,0.297,0.309,0.484,0.476,0.461,0.447,0.449,0.442
03:00:00,0.483,0.509,0.497,0.503,0.474,0.471,0.501,0.472,0.439,0.481,0.495,0.478,0.496,0.496,0.498,0.342,0.261,0.282,0.483,0.479,0.47,0.449,0.458,0.45
03:30:00,0.513,0.531,0.501,0.508,0.483,0.469,0.508,0.478,0.447,0.491,0.51,0.51,0.519,0.519,0.529,0.328,0.251,0.27,0.508,0.506,0.497,0.475,0.47,0.466
04:00:00,0.544,0.565,0.53,0.523,0.485,0.469,0.529,0.515,0.488,0.518,0.544,0.544,0.556,0.536,0.546,0.314,0.252,0.257,0.526,0.528,0.517,0.499,0.507,0.504
04:30:00,0.567,0.582,0.55,0.525,0.493,0.466,0.548,0.545,0.502,0.538,0.568,0.578,0.586,0.555,0.563,0.31,0.24,0.246,0.545,0.544,0.536,0.524,0.537,0.524
05:00:00,0.568,0.604,0.574,0.534,0.492,0.472,0.561,0.539,0.511,0.55,0.581,0.58,0.59,0.564,0.571,0.305,0.228,0.241,0.552,0.552,0.544,0.541,0.545,0.527
