OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.163,0.168,0.171,0.171,0.164,0.168,0.167,0.165,0.162,0.153,0.156,0.155,0.153,0.155,0.153,0.151,0.158,0.153,0.148,0.15,0.15,0.15,0.152,0.151
00:30:00,0.189,0.191,0.198,0.19,0.188,0.197,0.186,0.188,0.184,0.186,0.187,0.183,0.19,0.185,0.186,0.19,0.188,0.19,0.177,0.18,0.176,0.185,0.184,0.185
01:00:00,0.264,0.265,0.27,0.251,0.257,0.265,0.251,0.246,0.242,0.258,0.258,0.257,0.252,0.253,0.258,0.26,0.258,0.262,0.228,0.231,0.225,0.26,0.267,0.26
01:30:00,0.35,0.349,0.356,0.336,0.342,0.35,0.334,0.336,0.317,0.34,0.332,0.345,0.346,0.338,0.342,0.316,0.298,0.303,0.296,0.304,0.303,0.36,0.349,0.36
02:00:00,0.444,0.451,0.462,0.448,0.448,0.458,0.456,0.46,0.438,0.461,0.44,0.468,0.448,0.434,0.438,0.379,0.342,0.356,0.391,0.402,0.399,0.445,0.437,0.438
02:30:00,0.463,0.46,0.477,0.455,0.462,0.468,0.473,0.467,0.457,0.466,0.456,0.486,0.458,0.447,0.451,0.4,0.375,0.398,0.425,0.432,0.427,0.459,0.453,0.449
03:00:00,0.469,0.465,0.486,0.459,0.46,0.465,0.482,0.475,0.451,0.475,0.464,0.491,0.465,0.464,0.466,0.411,0.381,0.394,0.444,0.449,0.449,0.473,0.459,0.448
03:30:00,0.481,0.473,0.495,0.475,0.467,0.464,0.49,0.481,0.469,0.489,0.488,0.512,0.471,0.476,0.481,0.418,0.378,0.395,0.455,0.46,0.459,0.489,0.476,0.466
04:00:00,0.501,0.489,0.521,0.485,0.468,0.449,0.509,0.502,0.477,0.49,0.497,0.516,0.491,0.499,0.508,0.433,0.391,0.405,0.484,0.483,0.48,0.515,0.503,0.478
04:30:00,0.525,0.517,0.535,0.498,0.475,0.451,0.54,0.53,0.507,0.513,0.519,0.541,0.516,0.515,0.515,0.435,0.392,0.408,0.491,0.496,0.492,0.531,0.532,0.52
05:00:00,0.543,0.515,0.535,0.5,0.489,0.444,0.551,0.545,0.516,0.515,0.536,0.553,0.527,0.528,0.531,0.447,0.398,0.417,0.507,0.512,0.509,0.549,0.536,0.514
05:30:00,0.539,0.527,0.551,0.499,0.489,0.437,0.547,0.549,0.52,0.518,0.542,0.552,0.531,0.551,0.551,0.46,0.407,0.428,0.526,0.528,0.527,0.563,0.548,0.511
06:00:00,0.557,0.525,0.555,0.513,0.489,0.427,0.559,0.539,0.515,0.511,0.55,0.56,0.559,0.555,0.554,0.466,0.412,0.43,0.519,0.53,0.527,0.559,0.552,0.522
