OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.122,0.127,0.126,0.128,0.123,0.122,0.147,0.143,0.141,0.13,0.122,0.124,0.141,0.133,0.13,0.134,0.138,0.13,0.131,0.13,0.12,0.119,0.123,0.118
00:30:00,0.16,0.164,0.16,0.161,0.158,0.157,0.182,0.186,0.18,0.168,0.163,0.161,0.156,0.154,0.162,0.162,0.172,0.158,0.164,0.165,0.157,0.159,0.146,0.156
01:00:00,0.196,0.21,0.205,0.204,0.2,0.193,0.204,0.211,0.203,0.203,0.208,0.208,0.188,0.175,0.191,0.198,0.207,0.189,0.189,0.19,0.184,0.196,0.191,0.197
01:30:00,0.254,0.28,0.277,0.27,0.269,0.267,0.262,0.26,0.256,0.28,0.276,0.274,0.243,0.254,0.252,0.258,0.269,0.254,0.261,0.254,0.254,0.266,0.261,0.261
02:00:00,0.348,0.373,0.375,0.36,0.351,0.35,0.323,0.316,0.302,0.373,0.363,0.366,0.332,0.334,0.332,0.31,0.309,0.304,0.328,0.328,0.32,0.35,0.342,0.339
02:30:00,0.455,0.46,0.472,0.44,0.44,0.433,0.406,0.415,0.402,0.497,0.483,0.481,0.44,0.432,0.431,0.36,0.356,0.34,0.417,0.414,0.409,0.445,0.442,0.431
03:00:00,0.475,0.484,0.477,0.457,0.45,0.445,0.463,0.469,0.457,0.499,0.493,0.479,0.464,0.463,0.465,0.391,0.389,0.369,0.474,0.477,0.465,0.451,0.45,0.438
03:30:00,0.486,0.511,0.507,0.472,0.461,0.456,0.492,0.5,0.488,0.534,0.519,0.483,0.47,0.473,0.484,0.412,0.405,0.386,0.484,0.481,0.471,0.475,0.45,0.437
04:00:00,0.518,0.547,0.539,0.484,0.471,0.462,0.511,0.516,0.508,0.553,0.555,0.523,0.506,0.516,0.505,0.419,0.412,0.395,0.505,0.506,0.499,0.512,0.481,0.471
04:30:00,0.53,0.555,0.544,0.468,0.458,0.452,0.531,0.537,0.529,0.58,0.58,0.538,0.521,0.533,0.528,0.427,0.419,0.406,0.531,0.526,0.529,0.54,0.508,0.506
05:00:00,0.557,0.587,0.572,0.476,0.46,0.454,0.567,0.568,0.558,0.594,0.609,0.544,0.507,0.563,0.552,0.427,0.426,0.408,0.552,0.55,0.53,0.56,0.523,0.52
05:30:00,0.573,0.579,0.572,0.464,0.443,0.44,0.562,0.561,0.56,0.596,0.615,0.563,0.537,0.561,0.556,0.432,0.419,0.411,0.558,0.558,0.542,0.567,0.545,0.56
06:00:00,0.587,0.579,0.564,0.445,0.423,0.419,0.559,0.559,0.551,0.591,0.611,0.571,0.566,0.56,0.555,0.434,0.418,0.409,0.554,0.554,0.541,0.572,0.574,0.572
06:30:00,0.606,0.574,0.565,0.429,0.406,0.402,0.565,0.561,0.559,0.593,0.613,0.583,0.562,0.553,0.552,0.44,0.424,0.409,0.559,0.558,0.538,0.57,0.577,0.578
07:00:00,0.616,0.565,0.558,0.405,0.38,0.375,0.557,0.555,0.552,0.586,0.615,0.592,0.564,0.55,0.549,0.437,0.427,0.41,0.559,0.555,0.542,0.568,0.587,0.577
07:30:00,0.615,0.561,0.555,0.383,0.353,0.354,0.572,0.57,0.564,0.592,0.613,0.611,0.581,0.542,0.548,0.438,0.429,0.407,0.553,0.553,0.53,0.571,0.576,0.595
08:00:00,0.62,0.554,0.548,0.353,0.323,0.325,0.572,0.566,0.567,0.588,0.607,0.603,0.579,0.536,0.539,0.434,0.428,0.405,0.549,0.551,0.529,0.567,0.592,0.603
08:30:00,0.622,0.535,0.534,0.316,0.288,0.29,0.565,0.558,0.558,0.578,0.602,0.608,0.585,0.533,0.534,0.432,0.423,0.401,0.549,0.552,0.533,0.563,0.602,0.607
09:00:00,0.621,0.542,0.533,0.287,0.258,0.261,0.563,0.555,0.559,0.575,0.602,0.61,0.579,0.519,0.526,0.42,0.42,0.393,0.542,0.544,0.52,0.559,0.593,0.609
09:30:00,0.613,0.526,0.516,0.255,0.227,0.228,0.555,0.548,0.551,0.561,0.599,0.618,0.59,0.513,0.517,0.413,0.411,0.384,0.533,0.536,0.513,0.554,0.591,0.598
