OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.166,0.168,0.168,0.163,0.167,0.159,0.17,0.172,0.162,0.161,0.162,0.151,0.177,0.184,0.18,0.173,0.18,0.165,0.181,0.17,0.156,0.164,0.146,0.152
00:30:00,0.202,0.2,0.206,0.194,0.2,0.195,0.191,0.196,0.188,0.194,0.2,0.198,0.205,0.197,0.201,0.195,0.201,0.194,0.204,0.199,0.199,0.194,0.183,0.193
01:00:00,0.244,0.269,0.275,0.25,0.247,0.247,0.237,0.243,0.23,0.268,0.266,0.259,0.245,0.26,0.253,0.258,0.269,0.259,0.265,0.263,0.255,0.252,0.24,0.243
01:30:00,0.311,0.327,0.334,0.311,0.305,0.314,0.302,0.306,0.298,0.34,0.339,0.339,0.308,0.318,0.322,0.32,0.329,0.327,0.33,0.326,0.323,0.326,0.317,0.321
02:00:00,0.379,0.391,0.4,0.366,0.351,0.369,0.349,0.354,0.351,0.416,0.404,0.399,0.346,0.372,0.377,0.362,0.367,0.371,0.393,0.392,0.389,0.402,0.38,0.385
02:30:00,0.391,0.414,0.413,0.395,0.378,0.396,0.399,0.395,0.392,0.43,0.408,0.404,0.376,0.389,0.399,0.328,0.335,0.328,0.419,0.419,0.418,0.41,0.387,0.397
03:00:00,0.359,0.402,0.408,0.368,0.349,0.382,0.4,0.397,0.389,0.416,0.39,0.379,0.344,0.363,0.376,0.25,0.251,0.242,0.403,0.403,0.398,0.383,0.369,0.382
03:30:00,0.342,0.396,0.404,0.321,0.288,0.35,0.384,0.392,0.38,0.403,0.362,0.353,0.302,0.35,0.35,0.197,0.203,0.201,0.383,0.387,0.382,0.368,0.346,0.375
04:00:00,0.324,0.382,0.4,0.255,0.217,0.308,0.386,0.384,0.374,0.396,0.346,0.333,0.29,0.331,0.322,0.171,0.173,0.172,0.381,0.381,0.373,0.371,0.344,0.367
04:30:00,0.337,0.4,0.383,0.207,0.167,0.28,0.368,0.368,0.362,0.39,0.355,0.322,0.292,0.307,0.301,0.159,0.161,0.161,0.389,0.385,0.38,0.372,0.356,0.37
05:00:00,0.347,0.381,0.371,0.172,0.132,0.244,0.363,0.364,0.36,0.38,0.373,0.316,0.285,0.289,0.285,0.151,0.153,0.15,0.376,0.375,0.383,0.375,0.359,0.367
05:30:00,0.353,0.354,0.359,0.148,0.11,0.215,0.361,0.36,0.358,0.362,0.377,0.34,0.275,0.275,0.268,0.142,0.147,0.144,0.361,0.363,0.371,0.368,0.354,0.368
06:00:00,0.348,0.333,0.343,0.132,0.096,0.19,0.353,0.352,0.349,0.341,0.361,0.359,0.26,0.261,0.257,0.138,0.14,0.136,0.346,0.348,0.353,0.373,0.358,0.359
06:30:00,0.334,0.317,0.322,0.118,0.086,0.165,0.346,0.341,0.342,0.322,0.347,0.344,0.256,0.251,0.245,0.132,0.135,0.132,0.332,0.334,0.341,0.363,0.356,0.355
07:00:00,0.32,0.3,0.308,0.108,0.077,0.147,0.338,0.333,0.335,0.306,0.331,0.356,0.241,0.24,0.232,0.125,0.129,0.126,0.318,0.32,0.327,0.36,0.349,0.351
07:30:00,0.309,0.286,0.293,0.1,0.073,0.133,0.331,0.329,0.329,0.297,0.319,0.353,0.238,0.232,0.219,0.121,0.122,0.121,0.309,0.308,0.316,0.358,0.346,0.348
08:00:00,0.292,0.279,0.275,0.094,0.068,0.121,0.313,0.312,0.313,0.285,0.309,0.338,0.231,0.221,0.213,0.116,0.118,0.119,0.295,0.302,0.307,0.352,0.336,0.345
