OD600,control,control,control,MMC,MMC,MMC
00:00:00,0.129,0.134,0.142,0.133,0.137,0.139
00:30:00,0.147,0.157,0.166,0.163,0.16,0.163
01:00:00,0.206,0.208,0.22,0.214,0.212,0.223
01:30:00,0.283,0.285,0.309,0.268,0.28,0.295
02:00:00,0.386,0.387,0.425,0.337,0.346,0.357
02:30:00,0.44,0.449,0.486,0.37,0.374,0.38
03:00:00,0.452,0.465,0.495,0.357,0.356,0.357
03:30:00,0.468,0.484,0.501,0.332,0.316,0.315
04:00:00,0.497,0.495,0.52,0.325,0.311,0.297
04:30:00,0.505,0.501,0.528,0.314,0.298,0.294
05:00:00,0.512,0.507,0.54,0.308,0.292,0.29
05:30:00,0.523,0.507,0.536,0.312,0.283,0.281
06:00:00,0.531,0.51,0.538,0.3,0.276,0.27
06:30:00,0.53,0.517,0.543,0.288,0.264,0.261
07:00:00,0.526,0.521,0.546,0.278,0.259,0.254
07:30:00,0.522,0.516,0.537,0.262,0.247,0.246
08:00:00,0.526,0.52,0.541,0.245,0.235,0.233
08:30:00,0.522,0.503,0.535,0.228,0.218,0.216
09:00:00,0.511,0.503,0.529,0.217,0.202,0.202
09:30:00,0.513,0.488,0.531,0.205,0.187,0.193
10:00:00,0.514,0.494,0.524,0.196,0.187,0.184
10:30:00,0.509,0.503,0.521,0.188,0.177,0.176
11:00:00,0.511,0.491,0.516,0.184,0.169,0.168
11:30:00,0.499,0.493,0.518,0.179,0.166,0.166
12:00:00,0.499,0.485,0.513,0.172,0.159,0.158
12:30:00,0.501,0.481,0.505,0.173,0.16,0.156
13:00:00,0.488,0.47,0.502,0.172,0.158,0.154
13:30:00,0.489,0.473,0.501,0.17,0.163,0.152
14:00:00,0.481,0.457,0.497,0.173,0.168,0.155
14:30:00,0.474,0.456,0.48,0.18,0.17,0.161
15:00:00,0.471,0.446,0.472,0.182,0.171,0.159
15:30:00,0.457,0.419,0.466,0.172,0.166,0.157
16:00:00,0.451,0.421,0.453,0.164,0.163,0.159
16:30:00,0.438,0.407,0.436,0.156,0.156,0.153
17:00:00,0.426,0.396,0.412,0.152,0.151,0.149
17:30:00,0.412,0.374,0.409,0.147,0.148,0.143
18:00:00,0.401,0.366,0.394,0.142,0.139,0.138
18:30:00,0.387,0.357,0.382,0.138,0.139,0.134
19:00:00,0.373,0.332,0.368,0.133,0.133,0.129
19:30:00,0.359,0.325,0.353,0.129,0.128,0.126
20:00:00,0.351,0.314,0.34,0.127,0.125,0.123
20:30:00,0.335,0.304,0.326,0.123,0.121,0.122
