OD600,RMV8,RMV8,RMV8,RMV8,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC
00:00:00,0.455,0.442,0.457,0.455,0.315,0.335,0.359,0.341,0.217,0.198,0.19,0.188,0.386,0.422,0.407,0.414,0.344,0.352,0.346,0.349,0.22,0.221,0.223,0.226
00:30:00,0.553,0.55,0.569,0.568,0.321,0.336,0.366,0.344,0.178,0.154,0.151,0.145,0.489,0.532,0.511,0.523,0.381,0.392,0.397,0.39,0.225,0.226,0.229,0.233
01:00:00,0.679,0.667,0.7,0.688,0.356,0.375,0.405,0.387,0.168,0.143,0.14,0.138,0.619,0.659,0.647,0.657,0.443,0.46,0.456,0.439,0.237,0.244,0.251,0.255
01:30:00,0.69,0.685,0.709,0.702,0.416,0.441,0.472,0.45,0.176,0.149,0.148,0.145,0.657,0.709,0.695,0.708,0.523,0.542,0.543,0.516,0.26,0.27,0.271,0.276
02:00:00,0.69,0.693,0.72,0.712,0.476,0.501,0.512,0.493,0.197,0.174,0.168,0.163,0.669,0.713,0.703,0.711,0.601,0.614,0.612,0.583,0.286,0.29,0.298,0.301
02:30:00,0.68,0.701,0.725,0.718,0.484,0.51,0.528,0.507,0.244,0.222,0.215,0.201,0.674,0.714,0.71,0.719,0.624,0.626,0.615,0.613,0.325,0.328,0.336,0.347
03:00:00,0.688,0.705,0.724,0.718,0.486,0.516,0.531,0.514,0.321,0.3,0.29,0.263,0.685,0.724,0.709,0.723,0.604,0.624,0.625,0.614,0.361,0.372,0.38,0.406
03:30:00,0.696,0.694,0.72,0.713,0.485,0.514,0.533,0.514,0.409,0.394,0.385,0.346,0.689,0.723,0.72,0.727,0.608,0.63,0.632,0.609,0.413,0.424,0.427,0.463
04:00:00,0.699,0.685,0.716,0.707,0.476,0.504,0.521,0.506,0.436,0.424,0.419,0.377,0.683,0.733,0.717,0.728,0.602,0.593,0.615,0.592,0.457,0.461,0.474,0.497
04:30:00,0.682,0.67,0.704,0.698,0.472,0.497,0.512,0.497,0.449,0.443,0.426,0.382,0.684,0.731,0.702,0.714,0.572,0.594,0.597,0.577,0.464,0.458,0.47,0.496
05:00:00,0.698,0.665,0.701,0.691,0.469,0.492,0.511,0.496,0.476,0.47,0.424,0.387,0.683,0.726,0.699,0.71,0.564,0.576,0.585,0.563,0.462,0.48,0.497,0.495
05:30:00,0.673,0.658,0.692,0.685,0.463,0.484,0.5,0.486,0.484,0.482,0.419,0.389,0.676,0.715,0.695,0.709,0.555,0.571,0.572,0.558,0.449,0.468,0.483,0.486
06:00:00,0.683,0.654,0.686,0.678,0.457,0.479,0.492,0.478,0.479,0.486,0.418,0.4,0.665,0.709,0.686,0.702,0.536,0.553,0.558,0.545,0.435,0.458,0.468,0.468
06:30:00,0.667,0.642,0.678,0.672,0.451,0.47,0.484,0.473,0.471,0.483,0.424,0.399,0.666,0.704,0.683,0.701,0.523,0.542,0.543,0.531,0.423,0.44,0.458,0.451
