OD600,RMV8_no_GD_mitomycin,RMV8_no_GD_mitomycin,RMV8_no_GD_mitomycin,RMV8_prophage::Janus_GD_mitomycin,RMV8_prophage::Janus_GD_mitomycin,RMV8_prophage::Janus_GD_mitomycin,RMV8_Znregcat_no_GD_mitomycin,RMV8_Znregcat_no_GD_mitomycin,RMV8_Znregcat_no_GD_mitomycin,RMV8_Znregcat_prophage::Janus_GD_mitomycin,RMV8_Znregcat_prophage::Janus_GD_mitomycin,RMV8_Znregcat_prophage::Janus_GD_mitomycin
00:00:00,0.169,0.169,0.177,0.154,0.172,0.184,0.118,0.115,0.115,0.103,0.108,0.111
00:30:00,0.19,0.191,0.197,0.168,0.192,0.2,0.134,0.133,0.135,0.12,0.124,0.128
01:00:00,0.213,0.223,0.229,0.194,0.22,0.23,0.159,0.156,0.161,0.138,0.147,0.148
01:30:00,0.249,0.255,0.274,0.218,0.249,0.258,0.144,0.166,0.176,0.152,0.161,0.159
02:00:00,0.269,0.266,0.274,0.211,0.245,0.254,0.194,0.172,0.188,0.159,0.167,0.17
02:30:00,0.264,0.262,0.266,0.18,0.214,0.23,0.208,0.184,0.195,0.166,0.177,0.179
03:00:00,0.266,0.259,0.264,0.168,0.203,0.221,0.219,0.201,0.21,0.183,0.194,0.191
03:30:00,0.255,0.246,0.257,0.153,0.195,0.205,0.24,0.213,0.221,0.19,0.203,0.208
04:00:00,0.249,0.236,0.238,0.144,0.177,0.19,0.254,0.232,0.247,0.203,0.222,0.22
04:30:00,0.253,0.228,0.234,0.135,0.169,0.179,0.274,0.25,0.268,0.213,0.234,0.234
05:00:00,0.243,0.222,0.225,0.131,0.165,0.176,0.274,0.283,0.287,0.236,0.253,0.248
05:30:00,0.24,0.218,0.227,0.129,0.159,0.173,0.264,0.283,0.285,0.257,0.265,0.26
06:00:00,0.234,0.214,0.224,0.126,0.157,0.169,0.291,0.284,0.286,0.256,0.289,0.285
06:30:00,0.234,0.213,0.219,0.127,0.157,0.17,0.3,0.273,0.273,0.251,0.282,0.284
07:00:00,0.231,0.208,0.207,0.124,0.156,0.168,0.3,0.266,0.272,0.25,0.274,0.277
07:30:00,0.225,0.205,0.22,0.123,0.156,0.166,0.295,0.262,0.272,0.253,0.271,0.271
08:00:00,0.226,0.205,0.212,0.126,0.156,0.171,0.29,0.254,0.266,0.248,0.271,0.269
08:30:00,0.224,0.201,0.215,0.124,0.155,0.168,0.287,0.258,0.269,0.246,0.267,0.267
09:00:00,0.225,0.202,0.205,0.126,0.157,0.165,0.283,0.257,0.266,0.247,0.266,0.266
09:30:00,0.226,0.197,0.209,0.125,0.154,0.165,0.278,0.251,0.269,0.247,0.268,0.267
10:00:00,0.226,0.191,0.204,0.127,0.155,0.167,0.268,0.256,0.266,0.247,0.267,0.265
10:30:00,0.225,0.191,0.189,0.127,0.154,0.162,0.265,0.252,0.266,0.248,0.268,0.267
11:00:00,0.231,0.189,0.194,0.129,0.153,0.162,0.276,0.257,0.267,0.249,0.267,0.266
11:30:00,0.235,0.184,0.19,0.129,0.153,0.16,0.277,0.252,0.267,0.248,0.268,0.265
12:00:00,0.239,0.183,0.193,0.13,0.151,0.162,0.279,0.253,0.265,0.245,0.267,0.263
12:30:00,0.249,0.18,0.185,0.13,0.152,0.162,0.28,0.251,0.264,0.242,0.266,0.264
13:00:00,0.251,0.178,0.182,0.131,0.153,0.161,0.282,0.246,0.262,0.244,0.264,0.261
13:30:00,0.254,0.174,0.185,0.131,0.151,0.161,0.294,0.242,0.258,0.242,0.26,0.259
14:00:00,0.264,0.171,0.183,0.133,0.152,0.159,0.297,0.24,0.256,0.242,0.26,0.259
14:30:00,0.264,0.172,0.178,0.132,0.151,0.159,0.3,0.239,0.254,0.237,0.255,0.255
15:00:00,0.263,0.169,0.178,0.133,0.151,0.157,0.305,0.231,0.249,0.237,0.251,0.25
15:30:00,0.261,0.168,0.177,0.133,0.151,0.156,0.319,0.228,0.244,0.235,0.249,0.25
16:00:00,0.251,0.164,0.175,0.135,0.15,0.157,0.321,0.225,0.239,0.23,0.245,0.246
16:30:00,0.246,0.164,0.171,0.135,0.149,0.157,0.322,0.22,0.232,0.227,0.241,0.242
17:00:00,0.236,0.16,0.169,0.133,0.15,0.154,0.31,0.218,0.23,0.224,0.238,0.239
17:30:00,0.233,0.159,0.164,0.134,0.148,0.153,0.308,0.211,0.226,0.22,0.234,0.234
18:00:00,0.222,0.158,0.169,0.133,0.147,0.153,0.29,0.208,0.22,0.217,0.23,0.231
18:30:00,0.217,0.154,0.166,0.132,0.145,0.152,0.278,0.205,0.217,0.217,0.229,0.231
19:00:00,0.215,0.152,0.161,0.13,0.145,0.15,0.27,0.199,0.213,0.214,0.223,0.224
19:30:00,0.209,0.148,0.166,0.131,0.143,0.15,0.253,0.195,0.209,0.21,0.22,0.223
20:00:00,0.205,0.148,0.165,0.129,0.142,0.148,0.252,0.193,0.206,0.207,0.217,0.22
20:30:00,0.198,0.146,0.161,0.128,0.14,0.148,0.102,0.102,0.102,0.096,0.096,0.096
