OD600,RMV8_no_GD,RMV8_no_GD,RMV8_no_GD,RMV8_no_GD_mitomycin,RMV8_no_GD_mitomycin,RMV8_ProphageKO_GD,RMV8_ProphageKO_GD,RMV8_ProphageKO_GD,RMV8_ProphageKO_GD_mitomycin,RMV8_ProphageKO_GD_mitomycin,RMV8_ProphageKO_GD_mitomycin,RMV8_Znregcat_no_GD,RMV8_Znregcat_no_GD,RMV8_Znregcat_no_GD,RMV8_Znregcat_no_GD_mitomycin,RMV8_Znregcat_no_GD_mitomycin,RMV8_Znregcat_no_GD_mitomycin,RMV8_Znregcat_GD,RMV8_Znregcat_GD,RMV8_Znregcat_GD,RMV8_Znregcat_GD_mitomycin,RMV8_Znregcat_GD_mitomycin,RMV8_Znregcat_GD_mitomycin,RMV8_prophage_KO_no_GD,RMV8_prophage_KO_no_GD,RMV8_prophage_KO_no_GD,RMV8_prophage_KO_no_GD_mitomycin,RMV8_prophage_KO_no_GD_mitomycin,RMV8_prophage_KO_no_GD_mitomycin,RMV8_prophage_KO_GD,RMV8_prophage_KO_GD,RMV8_prophage_KO_GD,RMV8_prophage_KO_GD_mitomycin,RMV8_prophage_KO_GD_mitomycin,RMV8_prophage_KO_GD_mitomycin
00:00:00,0.073,0.096,0.079,0.08,0.08,0.075,0.085,0.081,0.082,0.083,0.08,0.152,0.166,0.161,0.162,0.158,0.17,0.16,0.169,0.162,0.169,0.164,0.169,0.112,0.106,0.119,0.117,0.121,0.118,0.11,0.117,0.112,0.117,0.119,0.123
00:30:00,0.077,0.1,0.085,0.088,0.087,0.08,0.09,0.087,0.091,0.094,0.09,0.176,0.188,0.185,0.183,0.18,0.192,0.174,0.192,0.183,0.188,0.186,0.19,0.125,0.121,0.135,0.134,0.14,0.136,0.125,0.131,0.126,0.136,0.138,0.139
01:00:00,0.091,0.111,0.1,0.101,0.099,0.09,0.1,0.097,0.102,0.105,0.1,0.205,0.219,0.219,0.214,0.21,0.223,0.206,0.222,0.215,0.219,0.218,0.222,0.15,0.148,0.164,0.162,0.169,0.169,0.155,0.16,0.158,0.165,0.167,0.172
01:30:00,0.115,0.139,0.128,0.121,0.116,0.108,0.124,0.122,0.111,0.112,0.108,0.241,0.266,0.264,0.208,0.219,0.219,0.239,0.263,0.254,0.208,0.207,0.209,0.185,0.186,0.209,0.194,0.211,0.21,0.196,0.204,0.201,0.21,0.213,0.216
02:00:00,0.154,0.18,0.168,0.139,0.121,0.134,0.15,0.15,0.109,0.111,0.105,0.301,0.318,0.317,0.179,0.218,0.201,0.287,0.31,0.308,0.19,0.191,0.184,0.253,0.238,0.277,0.252,0.262,0.264,0.258,0.272,0.265,0.259,0.266,0.263
02:30:00,0.213,0.24,0.231,0.146,0.117,0.172,0.188,0.194,0.097,0.097,0.088,0.316,0.332,0.331,0.158,0.226,0.177,0.306,0.322,0.315,0.173,0.171,0.168,0.326,0.312,0.36,0.297,0.314,0.326,0.335,0.341,0.342,0.322,0.328,0.332
03:00:00,0.279,0.319,0.308,0.162,0.108,0.235,0.252,0.256,0.085,0.083,0.073,0.321,0.341,0.344,0.137,0.219,0.169,0.313,0.332,0.325,0.163,0.165,0.158,0.355,0.347,0.395,0.359,0.366,0.37,0.364,0.374,0.373,0.36,0.372,0.356
03:30:00,0.335,0.385,0.379,0.177,0.1,0.303,0.33,0.338,0.082,0.078,0.069,0.326,0.355,0.35,0.133,0.22,0.165,0.326,0.338,0.336,0.161,0.165,0.161,0.364,0.36,0.404,0.392,0.395,0.41,0.382,0.395,0.391,0.402,0.407,0.392
04:00:00,0.342,0.387,0.377,0.181,0.094,0.319,0.35,0.352,0.081,0.073,0.065,0.322,0.368,0.353,0.125,0.226,0.157,0.328,0.342,0.34,0.154,0.158,0.153,0.366,0.369,0.419,0.393,0.401,0.403,0.398,0.4,0.396,0.407,0.392,0.392
04:30:00,0.34,0.394,0.378,0.202,0.093,0.323,0.353,0.363,0.078,0.073,0.062,0.321,0.368,0.353,0.119,0.216,0.154,0.326,0.341,0.337,0.151,0.153,0.146,0.372,0.392,0.426,0.389,0.395,0.407,0.402,0.406,0.402,0.401,0.403,0.397
05:00:00,0.353,0.389,0.388,0.226,0.092,0.328,0.357,0.366,0.08,0.07,0.06,0.325,0.369,0.356,0.103,0.209,0.156,0.328,0.345,0.34,0.154,0.155,0.151,0.375,0.404,0.431,0.381,0.417,0.415,0.409,0.412,0.408,0.408,0.395,0.386
05:30:00,0.362,0.398,0.39,0.231,0.097,0.331,0.365,0.373,0.083,0.071,0.06,0.338,0.371,0.359,0.113,0.208,0.152,0.332,0.349,0.345,0.15,0.152,0.145,0.383,0.402,0.439,0.378,0.432,0.412,0.415,0.42,0.414,0.423,0.411,0.394
06:00:00,0.366,0.402,0.393,0.218,0.099,0.337,0.364,0.372,0.084,0.069,0.056,0.348,0.37,0.361,0.101,0.206,0.151,0.341,0.357,0.352,0.149,0.149,0.143,0.404,0.402,0.442,0.362,0.446,0.409,0.42,0.42,0.416,0.434,0.412,0.415
06:30:00,0.374,0.406,0.394,0.221,0.104,0.34,0.366,0.38,0.087,0.068,0.056,0.356,0.369,0.363,0.108,0.211,0.15,0.345,0.359,0.354,0.149,0.153,0.146,0.414,0.403,0.443,0.366,0.44,0.407,0.423,0.423,0.417,0.428,0.41,0.411
07:00:00,0.381,0.407,0.398,0.227,0.107,0.349,0.369,0.381,0.092,0.069,0.056,0.363,0.371,0.362,0.108,0.208,0.149,0.345,0.36,0.357,0.146,0.148,0.144,0.436,0.405,0.443,0.352,0.429,0.411,0.423,0.425,0.422,0.404,0.41,0.405
07:30:00,0.393,0.405,0.403,0.237,0.113,0.35,0.375,0.382,0.094,0.07,0.054,0.368,0.369,0.362,0.107,0.206,0.149,0.345,0.361,0.354,0.149,0.151,0.145,0.44,0.403,0.444,0.349,0.426,0.403,0.425,0.422,0.42,0.396,0.404,0.399
08:00:00,0.39,0.414,0.409,0.25,0.121,0.359,0.372,0.385,0.099,0.071,0.055,0.372,0.374,0.359,0.102,0.206,0.146,0.345,0.361,0.355,0.148,0.151,0.146,0.443,0.406,0.444,0.368,0.422,0.413,0.428,0.425,0.424,0.408,0.411,0.406
08:30:00,0.394,0.425,0.412,0.251,0.128,0.358,0.372,0.386,0.105,0.073,0.055,0.37,0.37,0.357,0.103,0.202,0.147,0.341,0.358,0.355,0.146,0.149,0.143,0.451,0.408,0.449,0.381,0.421,0.402,0.431,0.425,0.423,0.397,0.401,0.393
09:00:00,0.397,0.429,0.412,0.259,0.136,0.36,0.379,0.386,0.11,0.075,0.055,0.363,0.368,0.35,0.103,0.201,0.143,0.336,0.352,0.347,0.145,0.148,0.141,0.456,0.403,0.445,0.373,0.411,0.402,0.426,0.426,0.424,0.393,0.403,0.397
09:30:00,0.406,0.423,0.405,0.26,0.142,0.354,0.381,0.387,0.12,0.079,0.054,0.356,0.368,0.346,0.101,0.198,0.142,0.333,0.351,0.346,0.142,0.144,0.141,0.464,0.409,0.448,0.375,0.405,0.396,0.432,0.427,0.426,0.389,0.395,0.392
10:00:00,0.405,0.421,0.411,0.257,0.148,0.358,0.379,0.39,0.127,0.082,0.054,0.358,0.366,0.341,0.099,0.194,0.137,0.327,0.347,0.34,0.138,0.141,0.138,0.461,0.409,0.451,0.382,0.401,0.393,0.432,0.426,0.426,0.384,0.392,0.384
10:30:00,0.397,0.437,0.413,0.257,0.167,0.37,0.371,0.391,0.137,0.085,0.054,0.351,0.362,0.337,0.101,0.19,0.137,0.325,0.342,0.337,0.138,0.138,0.138,0.449,0.407,0.45,0.384,0.403,0.394,0.434,0.427,0.425,0.384,0.395,0.384
11:00:00,0.409,0.433,0.421,0.256,0.176,0.362,0.381,0.388,0.141,0.091,0.059,0.348,0.36,0.332,0.098,0.186,0.132,0.319,0.334,0.333,0.133,0.134,0.132,0.458,0.409,0.452,0.38,0.395,0.392,0.434,0.429,0.427,0.382,0.391,0.384
11:30:00,0.395,0.426,0.409,0.26,0.172,0.355,0.382,0.389,0.141,0.097,0.059,0.346,0.353,0.326,0.098,0.18,0.132,0.313,0.33,0.326,0.131,0.131,0.129,0.456,0.405,0.452,0.379,0.388,0.389,0.438,0.426,0.427,0.373,0.387,0.377
12:00:00,0.407,0.425,0.418,0.257,0.169,0.358,0.378,0.389,0.15,0.107,0.062,0.342,0.348,0.32,0.097,0.173,0.129,0.31,0.327,0.324,0.129,0.13,0.128,0.457,0.401,0.447,0.389,0.383,0.388,0.434,0.422,0.425,0.374,0.385,0.374
12:30:00,0.408,0.44,0.421,0.246,0.165,0.354,0.376,0.391,0.163,0.115,0.064,0.334,0.344,0.317,0.094,0.163,0.126,0.305,0.323,0.317,0.124,0.126,0.125,0.454,0.402,0.451,0.392,0.378,0.384,0.436,0.425,0.424,0.37,0.38,0.369
13:00:00,0.406,0.442,0.423,0.24,0.168,0.346,0.376,0.388,0.182,0.121,0.069,0.33,0.34,0.31,0.092,0.157,0.123,0.299,0.316,0.312,0.12,0.12,0.12,0.452,0.402,0.451,0.382,0.371,0.383,0.437,0.425,0.424,0.364,0.377,0.366
13:30:00,0.401,0.43,0.423,0.235,0.164,0.366,0.371,0.386,0.201,0.131,0.075,0.323,0.338,0.305,0.085,0.15,0.12,0.294,0.31,0.305,0.12,0.12,0.12,0.453,0.403,0.447,0.385,0.368,0.38,0.435,0.423,0.424,0.363,0.376,0.363
14:00:00,0.401,0.435,0.418,0.226,0.165,0.362,0.369,0.386,0.203,0.149,0.08,0.316,0.336,0.297,0.08,0.144,0.116,0.288,0.303,0.3,0.114,0.114,0.114,0.455,0.406,0.45,0.371,0.363,0.375,0.434,0.424,0.423,0.358,0.371,0.356
14:30:00,0.406,0.439,0.415,0.217,0.165,0.357,0.372,0.386,0.198,0.171,0.085,0.309,0.332,0.292,0.082,0.138,0.113,0.284,0.298,0.294,0.111,0.111,0.112,0.459,0.409,0.448,0.367,0.366,0.373,0.435,0.423,0.422,0.353,0.367,0.352
15:00:00,0.402,0.438,0.419,0.207,0.165,0.365,0.37,0.38,0.191,0.188,0.09,0.3,0.328,0.285,0.083,0.134,0.11,0.278,0.287,0.288,0.108,0.109,0.11,0.465,0.411,0.447,0.358,0.376,0.37,0.432,0.421,0.421,0.352,0.363,0.352
15:30:00,0.399,0.433,0.41,0.201,0.165,0.36,0.366,0.368,0.192,0.204,0.095,0.301,0.328,0.279,0.083,0.131,0.107,0.272,0.284,0.28,0.107,0.107,0.106,0.458,0.417,0.45,0.357,0.372,0.366,0.433,0.422,0.422,0.347,0.36,0.344
16:00:00,0.393,0.43,0.406,0.192,0.164,0.36,0.359,0.371,0.19,0.216,0.113,0.294,0.323,0.273,0.071,0.129,0.104,0.267,0.278,0.274,0.103,0.106,0.105,0.46,0.419,0.445,0.345,0.374,0.362,0.431,0.418,0.419,0.346,0.357,0.341
16:30:00,0.39,0.432,0.401,0.189,0.163,0.358,0.354,0.367,0.192,0.216,0.14,0.296,0.32,0.264,0.074,0.126,0.102,0.257,0.27,0.268,0.1,0.104,0.103,0.456,0.427,0.444,0.35,0.374,0.357,0.434,0.417,0.415,0.342,0.349,0.337
17:00:00,0.378,0.418,0.401,0.183,0.165,0.345,0.357,0.36,0.192,0.208,0.169,0.287,0.314,0.256,0.074,0.124,0.101,0.251,0.262,0.259,0.099,0.102,0.102,0.463,0.424,0.445,0.343,0.374,0.353,0.434,0.416,0.416,0.339,0.346,0.331
17:30:00,0.373,0.407,0.397,0.179,0.163,0.342,0.345,0.355,0.192,0.203,0.192,0.272,0.308,0.249,0.069,0.121,0.099,0.242,0.253,0.25,0.099,0.101,0.101,0.465,0.425,0.444,0.337,0.372,0.347,0.43,0.414,0.415,0.334,0.342,0.324
