Time,R6x,R6x,R6x,R6x,R6x_modified_RNA_with_comBox,R6x_modified_RNA_with_comBox,R6x_modified_RNA_with_comBox,R6x_modified_RNA_with_comBox,R6x_modified_RNA_no_comBox,R6x_modified_RNA_no_comBox,R6x_modified_RNA_no_comBox,R6x_modified_RNA_no_comBox,R6x_dut_up_KO_comBox_intact,R6x_dut_up_KO_comBox_intact,R6x_dut_up_KO_comBox_intact,R6x_dut_up_KO_comBox_intact,R6x_restored_intact_comBox,R6x_restored_intact_comBox,R6x_restored_intact_comBox,R6x_restored_intact_comBox,R6x_11930_phage,R6x_11930_phage,R6x_11930_phage,R6x_11930_phage,dut_gene_KO,dut_gene_KO,dut_gene_KO,dut_gene_KO
0:00,0.000175,0.000475,-0.00093,-0.002,-0.003,-0.003,-0.002,-0.003,-0.002,0.009,0.000375,-0.002,-0.002,0.005,-0.00023,-0.001,0.002,-0.00033,0.000475,-0.000025,0.000675,0.001,-0.002,-0.00083,-0.00083,0.000575,0.002,0.002
0:30,0.008,0.002,-0.00073,-0.002,-0.002,-0.003,-0.002,-0.003,-0.002,0.004,0.000175,-0.002,-0.002,-0.00033,-0.00043,-0.002,0.003,0.001,-0.001,-0.001,0.000375,0.001,-0.003,-0.002,-0.00053,-0.000025,0.000875,0.000475
1:00,0.004,0.002,-0.001,-0.002,-0.003,-0.003,-0.002,-0.002,-0.002,0.001,0.00085,-0.001,-0.002,0.007,-0.00035,-0.001,0.004,0.00075,-0.00095,-0.001,0.00065,0.002,-0.002,-0.002,-0.00005,0.00055,0.001,0.00065
1:30,0.004,0.002,-0.0003,-0.001,-0.003,-0.003,-0.002,-0.003,-0.0002,0.006,0.0007,-0.0006,-0.0009,0.0005,-0.0003,-0.002,0.005,0.001,-1.4E-17,-0.0008,0.001,0.002,-0.002,-0.002,0.0002,0.001,0.002,0.001
2:00,0.004,0.003,-0.00023,-0.00093,-0.001,-0.001,-0.001,-0.001,-0.00013,0.003,0.001,0.000675,-0.00073,0.000075,-0.00063,-0.001,0.005,0.002,0.001,0.000675,0.002,0.004,-0.00033,-0.00093,-0.00053,0.000675,0.001,0.000975
2:30,0.005,0.003,0.000875,0.000675,-0.00053,-0.001,0.000875,0.000475,0.002,0.005,0.003,0.003,-0.00063,0.000575,-0.000025,-0.00073,0.006,0.003,0.003,0.002,0.004,0.006,0.000575,0.000575,-0.00043,0.002,0.002,0.002
3:00,0.006,0.006,0.004,0.003,0.001,0.002,0.004,0.003,0.004,0.008,0.005,0.007,0.000225,0.002,0.001,0.000225,0.01,0.006,0.005,0.005,0.008,0.011,0.003,0.003,0.000725,0.002,0.003,0.002
3:30,0.009,0.012,0.007,0.006,0.006,0.005,0.008,0.009,0.009,0.018,0.011,0.014,0.002,0.003,0.002,0.001,0.012,0.009,0.01,0.009,0.013,0.015,0.006,0.006,0.000675,0.002,0.003,0.003
4:00,0.015,0.022,0.015,0.015,0.012,0.014,0.016,0.022,0.019,0.023,0.021,0.029,0.004,0.005,0.005,0.003,0.021,0.019,0.021,0.019,0.025,0.029,0.014,0.016,0.002,0.004,0.005,0.004
4:30,0.028,0.042,0.03,0.028,0.028,0.03,0.036,0.042,0.035,0.039,0.037,0.051,0.007,0.015,0.007,0.007,0.034,0.034,0.039,0.035,0.048,0.051,0.029,0.031,0.004,0.005,0.007,0.007
5:00,0.051,0.078,0.057,0.059,0.056,0.059,0.071,0.083,0.065,0.072,0.07,0.096,0.012,0.012,0.014,0.013,0.06,0.064,0.075,0.068,0.086,0.09,0.055,0.058,0.006,0.008,0.012,0.012
5:30,0.099,0.148,0.107,0.117,0.109,0.125,0.141,0.158,0.116,0.132,0.126,0.166,0.021,0.024,0.023,0.023,0.104,0.114,0.137,0.12,0.152,0.157,0.104,0.113,0.01,0.014,0.019,0.018
6:00,0.193,0.236,0.174,0.195,0.17,0.203,0.217,0.234,0.192,0.211,0.207,0.265,0.035,0.034,0.037,0.039,0.172,0.199,0.228,0.189,0.231,0.241,0.183,0.19,0.019,0.024,0.031,0.031
6:30,0.301,0.358,0.284,0.303,0.274,0.321,0.333,0.351,0.304,0.33,0.313,0.393,0.057,0.059,0.058,0.061,0.273,0.312,0.346,0.302,0.353,0.361,0.293,0.294,0.033,0.039,0.05,0.05
7:00,0.419,0.44,0.4,0.421,0.382,0.429,0.428,0.414,0.404,0.425,0.42,0.456,0.088,0.081,0.09,0.093,0.386,0.401,0.4,0.397,0.434,0.419,0.407,0.414,0.055,0.061,0.078,0.082
7:30,0.447,0.445,0.416,0.464,0.4,0.44,0.432,0.41,0.413,0.432,0.422,0.457,0.122,0.126,0.131,0.134,0.419,0.401,0.402,0.396,0.429,0.416,0.431,0.425,0.088,0.096,0.119,0.125
8:00,0.451,0.452,0.434,0.466,0.379,0.452,0.441,0.403,0.386,0.439,0.424,0.466,0.177,0.173,0.192,0.202,0.406,0.403,0.4,0.392,0.425,0.406,0.428,0.423,0.13,0.142,0.174,0.182
8:30,0.424,0.43,0.426,0.465,0.398,0.449,0.433,0.406,0.388,0.439,0.428,0.467,0.246,0.236,0.263,0.252,0.41,0.406,0.409,0.397,0.428,0.416,0.429,0.417,0.181,0.207,0.246,0.259
9:00,0.432,0.441,0.43,0.448,0.391,0.437,0.428,0.406,0.395,0.454,0.436,0.468,0.289,0.305,0.314,0.308,0.377,0.407,0.415,0.402,0.437,0.42,0.439,0.415,0.253,0.281,0.317,0.333
9:30,0.437,0.43,0.429,0.446,0.39,0.43,0.424,0.4,0.405,0.452,0.432,0.463,0.296,0.324,0.313,0.306,0.408,0.411,0.406,0.403,0.436,0.416,0.434,0.418,0.323,0.331,0.343,0.361
10:00,0.431,0.409,0.414,0.419,0.382,0.411,0.418,0.397,0.401,0.444,0.426,0.461,0.295,0.323,0.311,0.303,0.396,0.407,0.402,0.394,0.425,0.41,0.428,0.414,0.334,0.335,0.341,0.362
10:30,0.427,0.426,0.415,0.434,0.387,0.425,0.41,0.397,0.398,0.432,0.415,0.454,0.292,0.317,0.311,0.286,0.388,0.405,0.4,0.39,0.421,0.408,0.428,0.411,0.324,0.328,0.333,0.352
11:00,0.428,0.41,0.413,0.436,0.382,0.41,0.413,0.401,0.389,0.432,0.419,0.454,0.302,0.32,0.309,0.28,0.396,0.401,0.396,0.387,0.419,0.405,0.424,0.41,0.319,0.324,0.333,0.349
11:30,0.408,0.422,0.405,0.436,0.383,0.418,0.408,0.4,0.392,0.433,0.418,0.453,0.298,0.33,0.316,0.286,0.39,0.399,0.396,0.386,0.419,0.404,0.421,0.409,0.288,0.321,0.335,0.358
12:00,0.424,0.416,0.411,0.432,0.377,0.416,0.414,0.397,0.39,0.424,0.411,0.446,0.301,0.321,0.313,0.296,0.383,0.396,0.396,0.385,0.417,0.402,0.42,0.402,0.303,0.321,0.327,0.348
12:30,0.416,0.423,0.406,0.433,0.374,0.412,0.413,0.396,0.385,0.428,0.414,0.449,0.299,0.326,0.31,0.297,0.386,0.397,0.394,0.382,0.415,0.401,0.418,0.399,0.296,0.31,0.324,0.343
13:00,0.424,0.418,0.405,0.434,0.379,0.417,0.415,0.408,0.386,0.425,0.41,0.446,0.297,0.333,0.308,0.283,0.383,0.395,0.391,0.381,0.413,0.399,0.417,0.397,0.295,0.303,0.318,0.336
13:30,0.413,0.422,0.406,0.428,0.373,0.418,0.415,0.402,0.377,0.42,0.408,0.442,0.29,0.32,0.304,0.285,0.385,0.395,0.39,0.38,0.412,0.399,0.415,0.394,0.276,0.301,0.311,0.331
14:00,0.424,0.421,0.405,0.43,0.376,0.416,0.416,0.41,0.374,0.418,0.405,0.441,0.292,0.321,0.301,0.285,0.382,0.391,0.388,0.377,0.409,0.394,0.412,0.391,0.266,0.298,0.306,0.325
14:30,0.42,0.416,0.409,0.429,0.375,0.422,0.418,0.417,0.378,0.418,0.405,0.44,0.291,0.317,0.295,0.289,0.378,0.393,0.386,0.376,0.409,0.394,0.411,0.394,0.259,0.296,0.301,0.322
15:00,0.426,0.417,0.408,0.433,0.378,0.421,0.419,0.419,0.381,0.413,0.401,0.437,0.287,0.311,0.293,0.289,0.38,0.39,0.385,0.376,0.409,0.396,0.411,0.39,0.266,0.295,0.297,0.318
15:30,0.428,0.418,0.406,0.432,0.385,0.424,0.406,0.416,0.38,0.408,0.399,0.434,0.284,0.318,0.291,0.285,0.379,0.396,0.387,0.375,0.407,0.392,0.41,0.39,0.26,0.293,0.293,0.313
16:00,0.428,0.419,0.409,0.435,0.382,0.424,0.421,0.423,0.375,0.415,0.398,0.432,0.281,0.314,0.292,0.286,0.379,0.387,0.386,0.375,0.406,0.391,0.409,0.389,0.256,0.289,0.286,0.307
