OD600,R6x,R6x,R6x,R6x,R6x_11930gd,R6x_11930gd,R6x_11930gd,R6x_11930gd,R6x_modified,R6x_modified,R6x_modified,R6x_modified,R6x_complemented,R6x_complemented,R6x_complemented,R6x_complemented,R6x_dut_phage_KO,R6x_dut_phage_KO,R6x_dut_phage_KO,R6x_dut_phage_KO
00:00:00,-0.001,0.001,-0.000466667,0.000533333,0.001,0.001,0.000033333,-0.000966667,-0.001,-0.002,-0.000866667,-0.000666667,-0.000466667,0.000833333,0.000133333,0.001,-0.002,-0.001,-0.000666667,-0.000966667
00:30:00,-0.001,-0.002,0.001,-0.001,-0.000966667,0.002,-0.001,0.000233333,-0.000366667,-0.001,-0.002,-0.002,0.000133333,-0.000166667,-0.000766667,0.002,-0.001,-0.001,0.000433333,-0.000766667
01:00:00,-0.001,-0.001,0.0004,-0.0009,-0.001,0.001,-0.0007,0.0003,-0.0007,-0.001,0.0008,-0.001,0.0007,0.0008,-0.0004,0.0007,-0.0007,-0.001,0.0001,-0.0005
01:30:00,-0.0002,-0.001,0.003,0.0001,0.002,0.002,0.0007,1.3878E-17,0.0003,-0.0001,-0.0005,-0.0001,0.002,0.0006,-0.0008,0.002,-0.0006,-0.0002,0.0002,0.0001
02:00:00,0.004,0.002,0.005,0.004,0.004,0.005,0.004,0.003,0.004,0.002,0.003,0.003,0.004,0.002,0.000833333,0.006,0.000433333,0.001,0.000633333,0.002
02:30:00,0.009,0.005,0.011,0.009,0.009,0.01,0.01,0.008,0.008,0.008,0.007,0.009,0.01,0.005,0.004,0.007,0.002,0.002,0.001,0.002
03:00:00,0.021,0.013,0.023,0.017,0.02,0.023,0.02,0.016,0.018,0.017,0.018,0.017,0.019,0.012,0.01,0.013,0.004,0.006,0.004,0.004
03:30:00,0.039,0.023,0.038,0.038,0.038,0.043,0.04,0.027,0.036,0.032,0.033,0.032,0.034,0.023,0.017,0.022,0.008,0.01,0.007,0.007
04:00:00,0.073,0.047,0.072,0.075,0.063,0.079,0.072,0.054,0.062,0.059,0.061,0.065,0.063,0.042,0.035,0.043,0.016,0.018,0.013,0.011
04:30:00,0.121,0.093,0.129,0.124,0.116,0.141,0.128,0.098,0.114,0.108,0.111,0.119,0.109,0.075,0.065,0.077,0.023,0.03,0.018,0.019
05:00:00,0.197,0.162,0.21,0.199,0.185,0.215,0.204,0.166,0.18,0.186,0.193,0.193,0.179,0.134,0.116,0.135,0.038,0.045,0.028,0.031
05:30:00,0.288,0.246,0.31,0.29,0.281,0.31,0.292,0.244,0.29,0.288,0.297,0.295,0.272,0.208,0.19,0.21,0.057,0.072,0.041,0.05
06:00:00,0.353,0.331,0.383,0.357,0.364,0.381,0.359,0.318,0.377,0.381,0.383,0.385,0.37,0.301,0.283,0.319,0.087,0.104,0.066,0.076
06:30:00,0.399,0.383,0.445,0.396,0.416,0.413,0.412,0.376,0.427,0.437,0.447,0.453,0.394,0.365,0.377,0.41,0.123,0.155,0.094,0.106
07:00:00,0.413,0.41,0.467,0.424,0.421,0.431,0.423,0.403,0.439,0.469,0.458,0.463,0.425,0.414,0.43,0.454,0.175,0.216,0.132,0.156
07:30:00,0.402,0.424,0.475,0.421,0.413,0.439,0.431,0.416,0.449,0.468,0.482,0.469,0.45,0.423,0.444,0.467,0.228,0.276,0.177,0.206
08:00:00,0.397,0.428,0.473,0.423,0.403,0.442,0.441,0.422,0.433,0.475,0.486,0.48,0.416,0.424,0.453,0.48,0.279,0.327,0.222,0.255
08:30:00,0.403,0.43,0.484,0.436,0.417,0.437,0.443,0.419,0.44,0.474,0.487,0.465,0.432,0.434,0.468,0.477,0.306,0.361,0.251,0.295
09:00:00,0.382,0.436,0.477,0.437,0.408,0.44,0.43,0.416,0.416,0.469,0.471,0.465,0.416,0.425,0.456,0.469,0.326,0.378,0.262,0.31
09:30:00,0.386,0.425,0.468,0.422,0.407,0.442,0.431,0.419,0.418,0.476,0.473,0.465,0.421,0.425,0.456,0.471,0.338,0.388,0.271,0.318
10:00:00,0.387,0.427,0.466,0.421,0.395,0.441,0.431,0.413,0.427,0.473,0.469,0.464,0.405,0.431,0.458,0.478,0.334,0.391,0.27,0.317
10:30:00,0.39,0.416,0.463,0.42,0.397,0.434,0.422,0.408,0.428,0.456,0.457,0.455,0.415,0.424,0.446,0.464,0.334,0.391,0.269,0.315
11:00:00,0.386,0.411,0.46,0.416,0.385,0.432,0.418,0.406,0.421,0.451,0.454,0.451,0.416,0.421,0.442,0.46,0.327,0.39,0.268,0.309
11:30:00,0.379,0.409,0.457,0.415,0.391,0.431,0.419,0.406,0.418,0.449,0.455,0.455,0.402,0.417,0.442,0.46,0.324,0.387,0.265,0.308
12:00:00,0.377,0.403,0.456,0.412,0.388,0.424,0.418,0.407,0.419,0.444,0.453,0.452,0.396,0.409,0.443,0.462,0.317,0.382,0.265,0.306
12:30:00,0.38,0.399,0.455,0.412,0.393,0.417,0.416,0.404,0.392,0.44,0.45,0.45,0.402,0.406,0.438,0.456,0.321,0.379,0.265,0.304
13:00:00,0.379,0.399,0.454,0.41,0.372,0.418,0.415,0.403,0.402,0.439,0.448,0.449,0.409,0.399,0.438,0.456,0.315,0.38,0.264,0.303
13:30:00,0.378,0.399,0.451,0.41,0.385,0.416,0.413,0.4,0.417,0.436,0.448,0.448,0.402,0.398,0.436,0.457,0.308,0.377,0.263,0.298
14:00:00,0.376,0.402,0.45,0.41,0.388,0.414,0.413,0.4,0.423,0.436,0.447,0.45,0.406,0.398,0.435,0.459,0.318,0.378,0.265,0.3
14:30:00,0.38,0.397,0.448,0.41,0.388,0.416,0.411,0.4,0.406,0.435,0.446,0.45,0.39,0.394,0.431,0.459,0.309,0.376,0.264,0.299
15:00:00,0.379,0.405,0.45,0.409,0.381,0.415,0.409,0.398,0.419,0.436,0.443,0.447,0.405,0.392,0.439,0.46,0.314,0.374,0.264,0.295
15:30:00,0.378,0.395,0.447,0.409,0.39,0.416,0.409,0.399,0.404,0.448,0.445,0.447,0.4,0.391,0.445,0.453,0.309,0.373,0.263,0.296
16:00:00,0.376,0.394,0.448,0.409,0.386,0.422,0.407,0.399,0.409,0.432,0.444,0.447,0.4,0.388,0.442,0.447,0.313,0.372,0.261,0.294
16:30:00,0.379,0.39,0.446,0.407,0.374,0.415,0.407,0.394,0.412,0.433,0.44,0.446,0.401,0.388,0.437,0.455,0.31,0.371,0.262,0.293
17:00:00,0.379,0.394,0.446,0.409,0.389,0.412,0.406,0.397,0.422,0.439,0.443,0.446,0.393,0.392,0.424,0.439,0.306,0.37,0.258,0.293
17:30:00,0.375,0.395,0.443,0.406,0.38,0.414,0.406,0.397,0.411,0.437,0.442,0.447,0.393,0.392,0.417,0.432,0.304,0.37,0.259,0.29
18:00:00,0.374,0.398,0.442,0.402,0.383,0.412,0.402,0.391,0.416,0.435,0.439,0.446,0.388,0.388,0.414,0.429,0.305,0.367,0.257,0.289
18:30:00,0.373,0.394,0.436,0.401,0.373,0.41,0.399,0.39,0.42,0.431,0.436,0.436,0.376,0.381,0.414,0.425,0.298,0.365,0.257,0.287
19:00:00,0.371,0.39,0.433,0.395,0.375,0.407,0.396,0.387,0.405,0.429,0.433,0.429,0.371,0.378,0.406,0.418,0.302,0.363,0.256,0.286
19:30:00,0.368,0.386,0.427,0.391,0.371,0.403,0.39,0.384,0.414,0.424,0.428,0.425,0.359,0.369,0.4,0.413,0.295,0.362,0.254,0.284
20:00:00,0.365,0.379,0.423,0.389,0.372,0.397,0.385,0.379,0.408,0.417,0.423,0.42,0.345,0.361,0.392,0.405,0.292,0.358,0.254,0.282
20:30:00,0.357,0.374,0.419,0.383,0.363,0.392,0.382,0.375,0.402,0.412,0.417,0.417,0.322,0.352,0.387,0.397,0.289,0.357,0.251,0.281
