OD600,R6x,R6x,R6x,R6x_dutKO,R6x_dutKO,R6x_dutKO,R6x_modified,R6x_modified,R6x_modified,R6x_complemented,R6x_complemented,R6x_complemented
00:00:00,-0.000633333,0.000566667,0.000166667,0.002,0.002,0.000866667,0.001,0.000466667,0.001,0.002,0.002,0.002
00:30:00,-0.000666667,-0.001,-0.000266667,0.002,0.002,0.002,0.003,0.002,0.002,0.004,0.003,0.003
01:00:00,-0.001,-0.0008,-0.0007,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003
01:30:00,-0.000633333,-0.001,-0.000433333,0.000666667,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002
02:00:00,-0.000033333,-0.000333333,0.000366667,0.000666667,0.001,0.001,0.003,0.003,0.002,0.003,0.002,0.003
02:30:00,0.001,0.000566667,0.001,0.001,0.001,0.002,0.004,0.003,0.003,0.005,0.004,0.004
03:00:00,0.003,0.003,0.004,0.001,0.002,0.002,0.007,0.006,0.005,0.006,0.006,0.006
03:30:00,0.007,0.007,0.008,0.002,0.002,0.002,0.01,0.009,0.008,0.009,0.01,0.009
04:00:00,0.014,0.015,0.017,0.002,0.003,0.003,0.016,0.017,0.015,0.017,0.017,0.015
04:30:00,0.028,0.029,0.032,0.003,0.004,0.004,0.028,0.029,0.027,0.029,0.03,0.028
05:00:00,0.05,0.056,0.06,0.006,0.007,0.007,0.051,0.052,0.048,0.053,0.054,0.05
05:30:00,0.091,0.106,0.11,0.01,0.01,0.012,0.096,0.097,0.091,0.096,0.096,0.086
06:00:00,0.162,0.176,0.192,0.017,0.018,0.018,0.163,0.169,0.157,0.176,0.17,0.148
06:30:00,0.263,0.291,0.319,0.027,0.029,0.029,0.263,0.268,0.234,0.285,0.27,0.233
07:00:00,0.371,0.419,0.439,0.043,0.046,0.046,0.393,0.377,0.34,0.4,0.38,0.348
07:30:00,0.44,0.494,0.494,0.074,0.077,0.077,0.485,0.464,0.436,0.472,0.463,0.44
08:00:00,0.446,0.511,0.501,0.127,0.127,0.128,0.49,0.479,0.446,0.492,0.482,0.45
08:30:00,0.44,0.506,0.512,0.191,0.186,0.191,0.494,0.482,0.449,0.498,0.484,0.448
09:00:00,0.43,0.507,0.521,0.284,0.279,0.281,0.5,0.49,0.45,0.495,0.481,0.438
09:30:00,0.426,0.507,0.517,0.365,0.351,0.355,0.502,0.489,0.454,0.496,0.478,0.432
10:00:00,0.403,0.513,0.515,0.408,0.391,0.393,0.489,0.474,0.445,0.486,0.47,0.425
10:30:00,0.416,0.498,0.489,0.41,0.392,0.401,0.477,0.464,0.43,0.471,0.458,0.422
11:00:00,0.402,0.501,0.5,0.429,0.402,0.411,0.483,0.472,0.44,0.48,0.46,0.414
11:30:00,0.388,0.497,0.498,0.439,0.416,0.416,0.481,0.467,0.431,0.475,0.456,0.413
12:00:00,0.4,0.488,0.49,0.432,0.413,0.415,0.476,0.461,0.426,0.462,0.454,0.411
12:30:00,0.4,0.484,0.485,0.424,0.403,0.408,0.472,0.46,0.424,0.462,0.45,0.41
13:00:00,0.391,0.484,0.484,0.429,0.407,0.414,0.472,0.46,0.426,0.459,0.446,0.401
13:30:00,0.384,0.488,0.483,0.426,0.404,0.407,0.468,0.455,0.422,0.458,0.444,0.404
14:00:00,0.384,0.476,0.478,0.413,0.395,0.395,0.463,0.451,0.418,0.455,0.442,0.396
14:30:00,0.369,0.458,0.477,0.414,0.396,0.401,0.464,0.452,0.42,0.456,0.441,0.4
15:00:00,0.395,0.45,0.471,0.4,0.384,0.391,0.46,0.445,0.413,0.451,0.439,0.392
15:30:00,0.368,0.453,0.485,0.409,0.394,0.398,0.466,0.452,0.415,0.454,0.436,0.396
16:00:00,0.393,0.451,0.476,0.403,0.388,0.392,0.459,0.449,0.416,0.454,0.437,0.393
16:30:00,0.394,0.453,0.468,0.403,0.389,0.393,0.459,0.449,0.417,0.456,0.434,0.396
17:00:00,0.388,0.457,0.457,0.401,0.386,0.391,0.451,0.444,0.409,0.452,0.437,0.398
17:30:00,0.375,0.448,0.45,0.397,0.38,0.384,0.445,0.435,0.398,0.455,0.437,0.396
18:00:00,0.377,0.444,0.441,0.397,0.384,0.385,0.435,0.427,0.391,0.455,0.435,0.397
18:30:00,0.378,0.435,0.43,0.394,0.381,0.384,0.419,0.408,0.378,0.452,0.431,0.393
19:00:00,0.375,0.424,0.416,0.387,0.376,0.379,0.397,0.391,0.359,0.45,0.429,0.389
19:30:00,0.369,0.407,0.393,0.381,0.369,0.371,0.384,0.372,0.346,0.452,0.431,0.389
20:00:00,0.361,0.384,0.377,0.373,0.359,0.365,0.372,0.359,0.331,0.449,0.427,0.39
20:30:00,0.348,0.358,0.363,0.361,0.347,0.353,0.36,0.346,0.318,0.449,0.427,0.386
