OD600,control,control,control,5ng_µl_MMC,5ng_µl_MMC,5ng_µl_MMC,10ng_µl_MMC,10ng_µl_MMC,10ng_µl_MMC
00:00:00,0.234,0.252,0.261,0.22,0.23,0.198,0.185,0.211,0.167
00:30:00,0.442,0.456,0.458,0.387,0.408,0.404,0.379,0.393,0.39
00:41:00,0.6,0.633,0.628,0.522,0.536,0.53,0.453,0.468,0.47
01:11:00,0.71,0.741,0.748,0.637,0.669,0.649,0.509,0.529,0.524
01:41:00,0.737,0.766,0.776,0.663,0.7,0.677,0.553,0.562,0.567
02:11:00,0.732,0.788,0.804,0.701,0.726,0.709,0.575,0.589,0.58
02:41:00,0.668,0.799,0.813,0.693,0.721,0.705,0.569,0.583,0.584
03:11:00,0.712,0.803,0.81,0.681,0.709,0.689,0.553,0.563,0.561
03:41:00,0.741,0.798,0.798,0.663,0.693,0.676,0.537,0.545,0.539
04:11:00,0.751,0.797,0.792,0.644,0.679,0.663,0.518,0.528,0.521
04:41:00,0.744,0.788,0.785,0.625,0.659,0.648,0.499,0.513,0.505
05:11:00,0.735,0.784,0.782,0.604,0.642,0.632,0.49,0.503,0.491
05:41:00,0.719,0.772,0.772,0.576,0.611,0.607,0.469,0.48,0.463
06:11:00,0.727,0.765,0.767,0.556,0.59,0.587,0.447,0.46,0.443
06:41:00,0.725,0.753,0.758,0.535,0.567,0.567,0.421,0.437,0.421
07:11:00,0.729,0.748,0.753,0.521,0.555,0.557,0.405,0.42,0.409
07:41:00,0.718,0.738,0.743,0.501,0.535,0.54,0.383,0.394,0.392
08:11:00,0.716,0.73,0.736,0.486,0.523,0.528,0.369,0.381,0.378
08:41:00,0.685,0.718,0.725,0.469,0.506,0.515,0.351,0.367,0.361
09:11:00,0.694,0.706,0.716,0.455,0.493,0.502,0.341,0.352,0.349
09:41:00,0.679,0.699,0.706,0.441,0.484,0.493,0.33,0.342,0.336
10:11:00,0.683,0.689,0.701,0.431,0.473,0.486,0.322,0.336,0.325
10:41:00,0.678,0.673,0.684,0.415,0.457,0.467,0.308,0.318,0.31
11:11:00,0.672,0.661,0.669,0.402,0.444,0.455,0.298,0.31,0.302
11:41:00,0.661,0.646,0.655,0.387,0.432,0.444,0.292,0.302,0.293
12:11:00,0.626,0.636,0.645,0.377,0.421,0.435,0.281,0.293,0.284
12:41:00,0.619,0.619,0.629,0.367,0.41,0.422,0.275,0.286,0.272
13:11:00,0.6,0.604,0.614,0.357,0.402,0.411,0.269,0.279,0.268
13:41:00,0.578,0.587,0.601,0.344,0.388,0.398,0.261,0.272,0.259
14:11:00,0.568,0.564,0.583,0.334,0.375,0.389,0.255,0.266,0.254
14:41:00,0.527,0.542,0.566,0.324,0.364,0.376,0.247,0.259,0.249
15:11:00,0.515,0.524,0.544,0.311,0.353,0.365,0.244,0.253,0.241
15:41:00,0.484,0.503,0.523,0.303,0.343,0.354,0.238,0.251,0.237
16:11:00,0.45,0.483,0.502,0.292,0.33,0.342,0.233,0.245,0.231
16:41:00,0.421,0.461,0.48,0.28,0.322,0.333,0.228,0.241,0.226
17:11:00,0.388,0.443,0.455,0.273,0.312,0.321,0.224,0.234,0.221
17:41:00,0.356,0.418,0.43,0.264,0.301,0.312,0.219,0.23,0.216
18:11:00,0.338,0.399,0.407,0.254,0.293,0.303,0.213,0.224,0.212
