OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.124,0.134,0.133,0.133,0.126,0.135,0.129,0.126,0.127,0.133,0.13,0.135,0.13,0.132,0.132,0.128,0.126,0.134,0.129,0.131,0.129,0.136,0.125,0.13
00:30:00,0.152,0.162,0.167,0.165,0.156,0.163,0.151,0.146,0.147,0.161,0.157,0.167,0.16,0.162,0.163,0.158,0.155,0.164,0.16,0.164,0.159,0.163,0.147,0.155
01:00:00,0.22,0.235,0.233,0.228,0.216,0.231,0.199,0.196,0.194,0.218,0.214,0.228,0.223,0.23,0.226,0.228,0.221,0.237,0.213,0.218,0.215,0.231,0.207,0.218
01:30:00,0.311,0.33,0.334,0.333,0.321,0.336,0.279,0.283,0.276,0.312,0.31,0.327,0.311,0.315,0.322,0.321,0.322,0.335,0.279,0.286,0.276,0.321,0.293,0.299
02:00:00,0.391,0.42,0.418,0.435,0.422,0.444,0.368,0.386,0.373,0.409,0.406,0.417,0.404,0.41,0.419,0.415,0.416,0.436,0.359,0.362,0.35,0.415,0.373,0.373
02:30:00,0.454,0.471,0.481,0.489,0.486,0.517,0.454,0.462,0.471,0.484,0.468,0.482,0.465,0.482,0.492,0.479,0.477,0.502,0.431,0.446,0.423,0.486,0.427,0.436
03:00:00,0.471,0.498,0.524,0.526,0.515,0.545,0.466,0.465,0.473,0.489,0.472,0.484,0.461,0.492,0.521,0.514,0.513,0.537,0.484,0.512,0.48,0.497,0.437,0.437
03:30:00,0.46,0.503,0.527,0.527,0.515,0.536,0.49,0.48,0.486,0.494,0.47,0.477,0.474,0.502,0.529,0.521,0.519,0.534,0.512,0.523,0.494,0.503,0.437,0.434
04:00:00,0.458,0.498,0.53,0.529,0.521,0.54,0.49,0.485,0.488,0.51,0.463,0.475,0.467,0.501,0.53,0.518,0.516,0.532,0.523,0.529,0.509,0.519,0.432,0.428
04:30:00,0.444,0.508,0.529,0.53,0.524,0.546,0.489,0.482,0.48,0.508,0.459,0.47,0.457,0.509,0.526,0.516,0.516,0.534,0.523,0.531,0.511,0.527,0.425,0.421
05:00:00,0.459,0.516,0.528,0.53,0.528,0.548,0.493,0.488,0.482,0.512,0.445,0.463,0.472,0.527,0.519,0.512,0.514,0.529,0.521,0.531,0.504,0.522,0.429,0.42
05:30:00,0.478,0.508,0.524,0.523,0.523,0.546,0.489,0.484,0.478,0.511,0.445,0.46,0.471,0.516,0.509,0.493,0.497,0.506,0.509,0.519,0.499,0.515,0.439,0.408
06:00:00,0.481,0.502,0.518,0.519,0.524,0.551,0.492,0.487,0.484,0.518,0.456,0.481,0.499,0.507,0.506,0.492,0.501,0.509,0.515,0.522,0.501,0.518,0.47,0.411
06:30:00,0.497,0.499,0.516,0.517,0.523,0.547,0.489,0.483,0.476,0.512,0.463,0.487,0.492,0.502,0.501,0.482,0.487,0.493,0.513,0.524,0.504,0.523,0.489,0.426
07:00:00,0.509,0.493,0.509,0.514,0.521,0.544,0.485,0.482,0.474,0.508,0.472,0.485,0.515,0.5,0.493,0.473,0.479,0.484,0.514,0.519,0.499,0.522,0.489,0.442
07:30:00,0.498,0.489,0.498,0.508,0.516,0.542,0.484,0.481,0.475,0.507,0.479,0.493,0.502,0.491,0.485,0.46,0.463,0.467,0.504,0.513,0.492,0.514,0.489,0.456
08:00:00,0.496,0.482,0.493,0.502,0.511,0.533,0.478,0.476,0.471,0.506,0.474,0.491,0.502,0.492,0.478,0.446,0.45,0.453,0.499,0.513,0.491,0.512,0.487,0.436
08:30:00,0.493,0.474,0.487,0.499,0.511,0.534,0.475,0.473,0.462,0.495,0.486,0.48,0.498,0.481,0.472,0.434,0.44,0.44,0.498,0.513,0.492,0.515,0.484,0.42
09:00:00,0.493,0.466,0.477,0.49,0.502,0.526,0.469,0.468,0.455,0.485,0.484,0.473,0.494,0.469,0.464,0.419,0.424,0.421,0.488,0.498,0.475,0.505,0.463,0.44
09:30:00,0.494,0.462,0.469,0.484,0.499,0.523,0.468,0.467,0.458,0.481,0.487,0.473,0.502,0.457,0.455,0.406,0.411,0.409,0.482,0.494,0.472,0.504,0.454,0.414
10:00:00,0.494,0.447,0.459,0.477,0.49,0.518,0.463,0.465,0.453,0.474,0.483,0.482,0.495,0.448,0.445,0.393,0.399,0.398,0.482,0.492,0.475,0.504,0.459,0.413
10:30:00,0.479,0.431,0.448,0.468,0.484,0.51,0.461,0.461,0.452,0.47,0.477,0.475,0.488,0.435,0.434,0.378,0.381,0.381,0.467,0.478,0.461,0.497,0.458,0.404
11:00:00,0.471,0.417,0.438,0.459,0.478,0.504,0.456,0.457,0.446,0.458,0.469,0.467,0.473,0.426,0.425,0.367,0.374,0.372,0.467,0.481,0.461,0.498,0.462,0.422
11:30:00,0.461,0.407,0.427,0.45,0.468,0.496,0.453,0.456,0.442,0.453,0.466,0.467,0.488,0.416,0.415,0.357,0.363,0.362,0.46,0.474,0.454,0.496,0.473,0.418
12:00:00,0.469,0.395,0.416,0.438,0.461,0.486,0.445,0.448,0.435,0.444,0.455,0.463,0.454,0.41,0.403,0.343,0.349,0.347,0.45,0.463,0.445,0.489,0.479,0.434
12:30:00,0.458,0.386,0.405,0.431,0.452,0.478,0.441,0.446,0.432,0.439,0.447,0.459,0.469,0.404,0.392,0.332,0.339,0.336,0.441,0.454,0.435,0.486,0.48,0.451
13:00:00,0.465,0.366,0.394,0.423,0.443,0.47,0.433,0.44,0.427,0.428,0.438,0.455,0.467,0.392,0.381,0.321,0.327,0.324,0.434,0.447,0.429,0.483,0.475,0.458
13:30:00,0.444,0.357,0.38,0.412,0.433,0.459,0.428,0.433,0.417,0.415,0.43,0.456,0.46,0.387,0.374,0.31,0.317,0.314,0.421,0.435,0.418,0.475,0.475,0.445
14:00:00,0.447,0.347,0.368,0.403,0.424,0.45,0.422,0.429,0.414,0.408,0.421,0.457,0.468,0.383,0.358,0.3,0.305,0.304,0.41,0.424,0.407,0.471,0.476,0.423
14:30:00,0.445,0.335,0.356,0.391,0.412,0.437,0.415,0.421,0.408,0.397,0.411,0.45,0.46,0.373,0.345,0.29,0.298,0.296,0.399,0.411,0.395,0.464,0.472,0.417
15:00:00,0.443,0.326,0.343,0.381,0.401,0.431,0.411,0.421,0.404,0.391,0.406,0.45,0.449,0.363,0.336,0.28,0.287,0.288,0.388,0.404,0.388,0.463,0.474,0.413
15:30:00,0.436,0.314,0.33,0.37,0.393,0.42,0.407,0.414,0.398,0.379,0.392,0.445,0.46,0.356,0.324,0.272,0.28,0.278,0.374,0.389,0.376,0.456,0.468,0.419
16:00:00,0.423,0.306,0.32,0.358,0.381,0.409,0.398,0.404,0.391,0.366,0.378,0.438,0.437,0.344,0.311,0.263,0.27,0.271,0.361,0.375,0.362,0.445,0.461,0.449
16:30:00,0.408,0.296,0.308,0.348,0.371,0.398,0.393,0.401,0.386,0.357,0.369,0.444,0.426,0.333,0.299,0.255,0.262,0.263,0.348,0.363,0.351,0.443,0.459,0.458
17:00:00,0.397,0.286,0.297,0.336,0.359,0.387,0.388,0.396,0.38,0.346,0.354,0.437,0.409,0.322,0.289,0.247,0.255,0.254,0.334,0.348,0.338,0.436,0.449,0.456
17:30:00,0.372,0.276,0.282,0.324,0.348,0.374,0.38,0.389,0.375,0.332,0.339,0.43,0.398,0.306,0.277,0.239,0.247,0.247,0.318,0.333,0.321,0.429,0.443,0.454
18:00:00,0.353,0.265,0.273,0.312,0.336,0.362,0.373,0.382,0.366,0.317,0.323,0.418,0.368,0.293,0.267,0.232,0.24,0.241,0.303,0.318,0.308,0.418,0.437,0.458
18:30:00,0.33,0.253,0.262,0.3,0.321,0.347,0.369,0.375,0.364,0.308,0.307,0.402,0.35,0.28,0.255,0.225,0.234,0.234,0.29,0.306,0.295,0.412,0.429,0.457
19:00:00,0.309,0.243,0.251,0.286,0.308,0.333,0.363,0.369,0.36,0.294,0.292,0.386,0.324,0.266,0.245,0.218,0.228,0.229,0.278,0.292,0.281,0.405,0.418,0.453
19:30:00,0.288,0.233,0.239,0.274,0.291,0.318,0.359,0.364,0.354,0.28,0.276,0.368,0.306,0.252,0.234,0.211,0.219,0.22,0.266,0.28,0.268,0.397,0.408,0.446
20:00:00,0.27,0.225,0.231,0.26,0.277,0.302,0.353,0.361,0.347,0.267,0.262,0.343,0.284,0.241,0.225,0.206,0.214,0.217,0.254,0.268,0.257,0.388,0.398,0.44
20:30:00,0.251,0.212,0.221,0.247,0.26,0.286,0.346,0.353,0.343,0.252,0.248,0.324,0.252,0.23,0.215,0.2,0.207,0.209,0.243,0.257,0.245,0.377,0.386,0.442
