OD600,control,control,control,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.148,0.154,0.157,0.153,0.153,0.156
00:30:00,0.178,0.18,0.181,0.179,0.18,0.18
01:00:00,0.225,0.239,0.241,0.236,0.241,0.241
01:30:00,0.309,0.342,0.344,0.338,0.351,0.354
02:00:00,0.417,0.433,0.433,0.39,0.418,0.398
02:30:00,0.458,0.492,0.492,0.447,0.447,0.448
03:00:00,0.476,0.498,0.516,0.469,0.486,0.472
03:30:00,0.467,0.505,0.511,0.47,0.481,0.467
04:00:00,0.461,0.496,0.507,0.457,0.469,0.454
04:30:00,0.452,0.48,0.503,0.44,0.455,0.443
05:00:00,0.445,0.5,0.507,0.443,0.454,0.443
05:30:00,0.434,0.491,0.5,0.429,0.444,0.432
06:00:00,0.442,0.487,0.497,0.42,0.431,0.423
06:30:00,0.445,0.478,0.489,0.406,0.416,0.411
07:00:00,0.45,0.475,0.484,0.398,0.406,0.4
07:30:00,0.448,0.476,0.478,0.388,0.396,0.392
08:00:00,0.448,0.458,0.468,0.369,0.38,0.375
08:30:00,0.433,0.451,0.457,0.355,0.366,0.364
09:00:00,0.441,0.439,0.446,0.343,0.355,0.352
09:30:00,0.436,0.436,0.435,0.331,0.345,0.343
10:00:00,0.436,0.43,0.423,0.319,0.331,0.331
10:30:00,0.431,0.415,0.414,0.312,0.322,0.325
11:00:00,0.435,0.407,0.404,0.3,0.315,0.315
11:30:00,0.434,0.38,0.393,0.291,0.304,0.303
12:00:00,0.441,0.361,0.38,0.28,0.296,0.298
12:30:00,0.43,0.346,0.368,0.271,0.285,0.288
13:00:00,0.42,0.33,0.355,0.26,0.276,0.278
13:30:00,0.416,0.319,0.346,0.251,0.27,0.273
14:00:00,0.416,0.31,0.337,0.246,0.263,0.265
14:30:00,0.414,0.297,0.327,0.237,0.256,0.261
15:00:00,0.399,0.289,0.316,0.231,0.248,0.252
15:30:00,0.376,0.283,0.306,0.221,0.243,0.246
16:00:00,0.354,0.276,0.297,0.216,0.235,0.238
16:30:00,0.324,0.27,0.287,0.211,0.229,0.233
17:00:00,0.308,0.262,0.277,0.204,0.223,0.226
17:30:00,0.287,0.254,0.268,0.199,0.218,0.222
18:00:00,0.278,0.244,0.259,0.194,0.212,0.216
18:30:00,0.261,0.236,0.251,0.188,0.207,0.21
19:00:00,0.246,0.228,0.242,0.183,0.2,0.204
19:30:00,0.235,0.219,0.234,0.178,0.196,0.199
20:00:00,0.22,0.211,0.225,0.173,0.191,0.193
20:30:00,0.213,0.204,0.217,0.167,0.186,0.189
