OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.056,0.063,0.071,0.065,0.067,0.067,0.091,0.098,0.091,0.068,0.069,0.07,0.067,0.067,0.068,0.069,0.065,0.067,0.068,0.07,0.072,0.07,0.072,0.072
00:30:00,0.084,0.092,0.107,0.094,0.093,0.093,0.116,0.123,0.115,0.095,0.093,0.095,0.093,0.091,0.091,0.095,0.093,0.095,0.094,0.097,0.097,0.094,0.094,0.094
01:00:00,0.108,0.122,0.137,0.12,0.121,0.121,0.139,0.146,0.137,0.125,0.125,0.128,0.114,0.111,0.109,0.124,0.119,0.122,0.112,0.116,0.113,0.119,0.123,0.123
01:30:00,0.145,0.172,0.188,0.17,0.17,0.169,0.175,0.183,0.173,0.175,0.171,0.179,0.149,0.153,0.143,0.17,0.166,0.17,0.15,0.155,0.156,0.165,0.17,0.171
02:00:00,0.22,0.242,0.264,0.242,0.24,0.245,0.223,0.232,0.221,0.25,0.243,0.248,0.195,0.208,0.203,0.237,0.232,0.238,0.208,0.221,0.216,0.239,0.24,0.238
02:30:00,0.31,0.332,0.363,0.343,0.336,0.34,0.293,0.302,0.284,0.343,0.338,0.338,0.279,0.277,0.273,0.287,0.289,0.295,0.287,0.305,0.29,0.319,0.323,0.323
03:00:00,0.405,0.417,0.467,0.453,0.455,0.46,0.366,0.397,0.377,0.44,0.429,0.43,0.362,0.366,0.348,0.328,0.33,0.333,0.374,0.392,0.374,0.412,0.412,0.407
03:30:00,0.432,0.452,0.486,0.489,0.485,0.484,0.44,0.468,0.449,0.463,0.453,0.453,0.446,0.441,0.431,0.376,0.372,0.373,0.447,0.47,0.456,0.437,0.437,0.425
04:00:00,0.431,0.459,0.519,0.513,0.502,0.499,0.462,0.485,0.466,0.472,0.465,0.459,0.444,0.457,0.448,0.383,0.385,0.389,0.459,0.477,0.472,0.443,0.441,0.434
04:30:00,0.428,0.458,0.506,0.512,0.508,0.505,0.467,0.487,0.465,0.475,0.455,0.453,0.436,0.466,0.473,0.395,0.387,0.388,0.482,0.492,0.487,0.443,0.44,0.433
05:00:00,0.417,0.454,0.5,0.505,0.505,0.499,0.462,0.482,0.46,0.487,0.449,0.446,0.433,0.465,0.471,0.372,0.38,0.376,0.473,0.486,0.482,0.457,0.427,0.424
05:30:00,0.409,0.458,0.492,0.501,0.501,0.498,0.457,0.476,0.453,0.478,0.432,0.433,0.428,0.474,0.464,0.366,0.371,0.368,0.471,0.477,0.478,0.454,0.416,0.415
06:00:00,0.417,0.457,0.483,0.498,0.497,0.495,0.452,0.472,0.447,0.477,0.424,0.425,0.412,0.486,0.461,0.358,0.363,0.363,0.467,0.475,0.474,0.449,0.41,0.41
06:30:00,0.432,0.445,0.471,0.49,0.494,0.495,0.448,0.467,0.438,0.47,0.416,0.417,0.428,0.49,0.455,0.344,0.35,0.346,0.455,0.463,0.461,0.445,0.406,0.399
07:00:00,0.435,0.435,0.458,0.486,0.493,0.493,0.442,0.463,0.435,0.468,0.417,0.412,0.432,0.474,0.448,0.336,0.342,0.339,0.447,0.452,0.451,0.44,0.412,0.395
07:30:00,0.442,0.431,0.449,0.483,0.489,0.488,0.437,0.458,0.429,0.464,0.426,0.403,0.446,0.463,0.441,0.321,0.329,0.328,0.438,0.445,0.44,0.435,0.43,0.39
08:00:00,0.439,0.423,0.439,0.475,0.484,0.483,0.428,0.451,0.422,0.457,0.432,0.393,0.433,0.454,0.429,0.303,0.311,0.31,0.426,0.432,0.429,0.428,0.448,0.379
08:30:00,0.439,0.414,0.43,0.47,0.48,0.48,0.425,0.447,0.416,0.45,0.447,0.385,0.443,0.449,0.423,0.29,0.297,0.296,0.42,0.425,0.424,0.421,0.462,0.373
09:00:00,0.441,0.409,0.425,0.466,0.476,0.476,0.419,0.447,0.415,0.447,0.455,0.382,0.428,0.437,0.416,0.274,0.28,0.28,0.409,0.416,0.413,0.418,0.467,0.368
09:30:00,0.439,0.396,0.42,0.461,0.472,0.472,0.417,0.442,0.408,0.443,0.461,0.372,0.441,0.425,0.405,0.262,0.268,0.267,0.401,0.409,0.406,0.414,0.47,0.36
10:00:00,0.432,0.38,0.411,0.456,0.464,0.466,0.411,0.44,0.405,0.438,0.461,0.367,0.427,0.414,0.396,0.25,0.258,0.254,0.394,0.401,0.398,0.411,0.465,0.354
10:30:00,0.432,0.367,0.403,0.448,0.457,0.461,0.406,0.436,0.397,0.428,0.455,0.354,0.438,0.404,0.384,0.241,0.248,0.246,0.386,0.393,0.39,0.406,0.464,0.347
11:00:00,0.435,0.363,0.394,0.443,0.454,0.455,0.402,0.431,0.391,0.419,0.455,0.349,0.446,0.395,0.379,0.235,0.243,0.238,0.376,0.384,0.383,0.401,0.466,0.342
11:30:00,0.437,0.353,0.386,0.437,0.449,0.45,0.394,0.424,0.386,0.409,0.448,0.337,0.444,0.385,0.368,0.224,0.229,0.226,0.36,0.369,0.37,0.394,0.462,0.333
12:00:00,0.43,0.345,0.377,0.431,0.441,0.444,0.39,0.42,0.381,0.406,0.442,0.332,0.426,0.371,0.356,0.214,0.221,0.219,0.354,0.362,0.359,0.39,0.458,0.33
