OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.108,0.119,0.119,0.12,0.122,0.116,0.117,0.116,0.115,0.121,0.115,0.11,0.123,0.123,0.123,0.121,0.12,0.118,0.119,0.121,0.117,0.116,0.111,0.113
00:30:00,0.13,0.14,0.139,0.139,0.14,0.137,0.133,0.134,0.132,0.141,0.134,0.132,0.143,0.141,0.144,0.146,0.141,0.143,0.145,0.145,0.143,0.138,0.132,0.135
01:00:00,0.17,0.18,0.181,0.177,0.176,0.173,0.165,0.166,0.167,0.174,0.171,0.169,0.162,0.167,0.169,0.184,0.183,0.178,0.169,0.167,0.163,0.174,0.167,0.172
01:30:00,0.225,0.24,0.245,0.236,0.241,0.231,0.219,0.22,0.22,0.233,0.228,0.232,0.207,0.211,0.219,0.245,0.242,0.244,0.213,0.215,0.21,0.227,0.225,0.231
02:00:00,0.293,0.32,0.321,0.321,0.316,0.309,0.273,0.279,0.281,0.322,0.315,0.31,0.256,0.259,0.269,0.311,0.304,0.293,0.253,0.251,0.254,0.313,0.307,0.313
02:30:00,0.367,0.406,0.412,0.394,0.405,0.399,0.37,0.354,0.379,0.406,0.396,0.386,0.327,0.32,0.344,0.379,0.361,0.351,0.332,0.327,0.329,0.4,0.39,0.388
03:00:00,0.447,0.459,0.46,0.465,0.466,0.469,0.447,0.451,0.459,0.463,0.449,0.447,0.383,0.394,0.404,0.428,0.405,0.396,0.39,0.384,0.387,0.428,0.413,0.415
03:30:00,0.45,0.48,0.494,0.484,0.481,0.469,0.45,0.462,0.46,0.495,0.46,0.453,0.447,0.44,0.446,0.445,0.422,0.408,0.435,0.439,0.443,0.436,0.413,0.417
04:00:00,0.427,0.483,0.496,0.482,0.486,0.474,0.454,0.455,0.454,0.492,0.457,0.442,0.454,0.458,0.484,0.474,0.455,0.439,0.482,0.481,0.477,0.44,0.408,0.406
04:30:00,0.436,0.479,0.486,0.479,0.481,0.47,0.44,0.44,0.434,0.474,0.428,0.428,0.442,0.455,0.482,0.459,0.442,0.43,0.485,0.483,0.471,0.448,0.391,0.393
05:00:00,0.426,0.491,0.488,0.477,0.484,0.479,0.44,0.445,0.431,0.486,0.433,0.428,0.43,0.455,0.468,0.438,0.421,0.413,0.476,0.476,0.466,0.451,0.387,0.387
05:30:00,0.433,0.483,0.486,0.475,0.483,0.477,0.438,0.44,0.424,0.495,0.443,0.45,0.422,0.468,0.473,0.445,0.431,0.426,0.492,0.495,0.485,0.455,0.387,0.39
06:00:00,0.428,0.474,0.481,0.469,0.476,0.467,0.425,0.428,0.406,0.486,0.423,0.426,0.414,0.456,0.465,0.425,0.41,0.401,0.474,0.472,0.466,0.447,0.383,0.377
06:30:00,0.413,0.467,0.474,0.457,0.468,0.462,0.418,0.42,0.402,0.479,0.409,0.417,0.411,0.45,0.46,0.422,0.411,0.399,0.473,0.474,0.465,0.444,0.397,0.369
07:00:00,0.411,0.457,0.466,0.448,0.459,0.455,0.41,0.416,0.394,0.474,0.403,0.413,0.398,0.436,0.455,0.41,0.4,0.394,0.473,0.47,0.46,0.441,0.415,0.368
07:30:00,0.408,0.454,0.461,0.44,0.449,0.443,0.402,0.406,0.383,0.468,0.391,0.406,0.389,0.427,0.453,0.397,0.385,0.38,0.46,0.461,0.45,0.437,0.428,0.357
08:00:00,0.403,0.441,0.451,0.43,0.438,0.434,0.394,0.398,0.372,0.457,0.377,0.389,0.376,0.419,0.441,0.384,0.377,0.372,0.459,0.452,0.441,0.434,0.432,0.349
08:30:00,0.396,0.43,0.442,0.415,0.423,0.423,0.386,0.39,0.364,0.446,0.371,0.371,0.37,0.4,0.431,0.373,0.36,0.358,0.444,0.438,0.425,0.426,0.437,0.339
09:00:00,0.388,0.407,0.431,0.402,0.413,0.411,0.377,0.383,0.353,0.433,0.375,0.363,0.367,0.381,0.421,0.358,0.351,0.35,0.436,0.433,0.419,0.424,0.448,0.338
09:30:00,0.395,0.388,0.42,0.39,0.4,0.399,0.37,0.378,0.35,0.423,0.385,0.361,0.345,0.352,0.408,0.347,0.343,0.342,0.424,0.415,0.404,0.415,0.451,0.334
10:00:00,0.394,0.366,0.406,0.375,0.387,0.386,0.363,0.365,0.336,0.409,0.393,0.349,0.347,0.34,0.398,0.337,0.33,0.333,0.415,0.407,0.393,0.413,0.45,0.331
10:30:00,0.388,0.351,0.392,0.363,0.374,0.373,0.354,0.358,0.328,0.396,0.403,0.337,0.358,0.326,0.382,0.326,0.32,0.325,0.401,0.393,0.381,0.407,0.452,0.34
11:00:00,0.389,0.336,0.381,0.348,0.359,0.357,0.345,0.352,0.322,0.385,0.399,0.334,0.363,0.314,0.365,0.314,0.307,0.315,0.388,0.377,0.364,0.403,0.448,0.344
11:30:00,0.376,0.321,0.367,0.333,0.346,0.345,0.34,0.346,0.316,0.375,0.391,0.34,0.358,0.296,0.352,0.305,0.299,0.308,0.375,0.364,0.352,0.399,0.442,0.367
12:00:00,0.368,0.312,0.352,0.321,0.332,0.333,0.33,0.336,0.307,0.358,0.375,0.334,0.324,0.284,0.335,0.298,0.291,0.298,0.36,0.349,0.336,0.39,0.438,0.364
12:30:00,0.35,0.301,0.34,0.306,0.315,0.316,0.324,0.331,0.3,0.344,0.356,0.332,0.315,0.272,0.319,0.288,0.283,0.292,0.347,0.334,0.323,0.387,0.436,0.355
13:00:00,0.334,0.29,0.327,0.292,0.304,0.305,0.317,0.324,0.294,0.331,0.336,0.355,0.288,0.258,0.302,0.279,0.275,0.285,0.331,0.32,0.309,0.382,0.43,0.371
13:30:00,0.316,0.281,0.313,0.28,0.292,0.293,0.309,0.317,0.285,0.318,0.322,0.358,0.278,0.248,0.29,0.271,0.267,0.278,0.316,0.307,0.294,0.375,0.427,0.357
14:00:00,0.286,0.267,0.3,0.268,0.278,0.28,0.301,0.309,0.279,0.306,0.303,0.343,0.252,0.238,0.275,0.264,0.259,0.271,0.302,0.293,0.282,0.372,0.421,0.358
14:30:00,0.28,0.26,0.285,0.257,0.267,0.268,0.294,0.301,0.273,0.294,0.289,0.321,0.246,0.228,0.261,0.257,0.252,0.264,0.288,0.279,0.268,0.364,0.416,0.357
15:00:00,0.261,0.25,0.272,0.246,0.256,0.258,0.288,0.296,0.265,0.282,0.272,0.31,0.236,0.218,0.25,0.251,0.246,0.257,0.272,0.267,0.254,0.359,0.41,0.375
15:30:00,0.244,0.24,0.258,0.234,0.245,0.247,0.283,0.288,0.259,0.269,0.258,0.282,0.217,0.209,0.236,0.242,0.239,0.251,0.259,0.251,0.24,0.351,0.406,0.394
16:00:00,0.225,0.23,0.246,0.225,0.234,0.237,0.275,0.283,0.254,0.257,0.246,0.264,0.217,0.202,0.226,0.235,0.231,0.245,0.245,0.237,0.228,0.348,0.397,0.378
16:30:00,0.218,0.22,0.235,0.214,0.225,0.226,0.269,0.276,0.247,0.245,0.231,0.251,0.206,0.195,0.217,0.229,0.226,0.24,0.232,0.226,0.215,0.338,0.387,0.371
17:00:00,0.21,0.21,0.224,0.205,0.213,0.215,0.265,0.271,0.242,0.234,0.219,0.237,0.199,0.188,0.207,0.223,0.219,0.233,0.22,0.215,0.206,0.331,0.378,0.368
17:30:00,0.198,0.2,0.213,0.196,0.206,0.205,0.259,0.267,0.238,0.225,0.209,0.226,0.194,0.183,0.199,0.217,0.214,0.226,0.211,0.206,0.195,0.323,0.371,0.383
18:00:00,0.194,0.193,0.201,0.186,0.195,0.195,0.253,0.261,0.233,0.213,0.2,0.215,0.192,0.178,0.191,0.21,0.209,0.22,0.2,0.195,0.187,0.314,0.361,0.377
18:30:00,0.186,0.186,0.191,0.177,0.185,0.186,0.25,0.258,0.229,0.204,0.191,0.211,0.186,0.174,0.185,0.205,0.202,0.215,0.193,0.187,0.179,0.307,0.35,0.371
19:00:00,0.181,0.179,0.186,0.17,0.178,0.177,0.245,0.254,0.225,0.195,0.183,0.203,0.183,0.171,0.181,0.2,0.198,0.21,0.186,0.181,0.173,0.297,0.338,0.366
19:30:00,0.179,0.174,0.178,0.162,0.17,0.169,0.241,0.251,0.22,0.188,0.177,0.194,0.179,0.169,0.175,0.196,0.192,0.205,0.18,0.174,0.168,0.288,0.328,0.369
20:00:00,0.175,0.168,0.172,0.156,0.163,0.162,0.237,0.247,0.216,0.18,0.172,0.193,0.173,0.165,0.171,0.19,0.187,0.2,0.176,0.169,0.163,0.281,0.319,0.366
20:30:00,0.168,0.163,0.167,0.151,0.158,0.156,0.235,0.246,0.213,0.176,0.167,0.188,0.172,0.162,0.168,0.185,0.184,0.195,0.172,0.166,0.159,0.271,0.304,0.362
