OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.048,0.04,0.051,0.032,0.039,0.037,0.04,0.04,0.04
00:30:00,0.238,0.24,0.252,0.244,0.252,0.252,0.249,0.254,0.259
01:00:00,0.323,0.355,0.38,0.379,0.391,0.404,0.395,0.389,0.373
01:30:00,0.411,0.414,0.436,0.427,0.437,0.438,0.417,0.425,0.427
02:00:00,0.548,0.566,0.586,0.528,0.547,0.549,0.479,0.501,0.489
02:30:00,0.587,0.603,0.619,0.584,0.602,0.606,0.517,0.539,0.53
03:00:00,0.597,0.613,0.638,0.591,0.617,0.62,0.533,0.55,0.549
03:30:00,0.584,0.631,0.661,0.603,0.624,0.618,0.545,0.569,0.558
04:00:00,0.583,0.645,0.658,0.595,0.614,0.612,0.529,0.553,0.55
04:30:00,0.597,0.639,0.656,0.584,0.6,0.601,0.524,0.537,0.538
05:00:00,0.604,0.633,0.651,0.573,0.592,0.59,0.511,0.526,0.52
05:30:00,0.622,0.621,0.633,0.558,0.58,0.579,0.504,0.513,0.509
06:00:00,0.638,0.612,0.623,0.542,0.571,0.568,0.495,0.505,0.501
06:30:00,0.628,0.607,0.613,0.52,0.549,0.544,0.483,0.494,0.488
07:00:00,0.625,0.599,0.605,0.503,0.528,0.526,0.471,0.481,0.474
07:30:00,0.619,0.594,0.599,0.489,0.513,0.509,0.459,0.47,0.458
08:00:00,0.615,0.582,0.591,0.476,0.501,0.497,0.444,0.45,0.444
08:30:00,0.623,0.578,0.588,0.469,0.491,0.491,0.43,0.439,0.433
09:00:00,0.629,0.569,0.577,0.452,0.478,0.476,0.413,0.421,0.416
09:30:00,0.608,0.568,0.578,0.447,0.47,0.469,0.402,0.406,0.403
10:00:00,0.587,0.558,0.567,0.435,0.461,0.459,0.388,0.397,0.393
10:30:00,0.608,0.548,0.561,0.425,0.448,0.448,0.38,0.382,0.382
11:00:00,0.593,0.545,0.557,0.416,0.442,0.44,0.372,0.37,0.373
11:30:00,0.598,0.54,0.555,0.409,0.434,0.433,0.361,0.362,0.36
12:00:00,0.59,0.531,0.543,0.396,0.423,0.422,0.35,0.351,0.346
12:30:00,0.583,0.522,0.534,0.386,0.413,0.41,0.341,0.34,0.335
13:00:00,0.58,0.51,0.522,0.377,0.406,0.404,0.334,0.334,0.329
13:30:00,0.571,0.498,0.516,0.368,0.395,0.393,0.326,0.327,0.32
14:00:00,0.562,0.489,0.503,0.358,0.387,0.385,0.318,0.317,0.31
14:30:00,0.544,0.479,0.496,0.351,0.378,0.376,0.31,0.311,0.306
15:00:00,0.537,0.465,0.481,0.34,0.368,0.367,0.301,0.301,0.294
15:30:00,0.517,0.451,0.471,0.334,0.36,0.359,0.297,0.296,0.292
16:00:00,0.509,0.437,0.459,0.322,0.35,0.347,0.287,0.289,0.281
16:30:00,0.497,0.425,0.444,0.313,0.341,0.339,0.279,0.28,0.275
17:00:00,0.48,0.413,0.432,0.304,0.331,0.329,0.275,0.276,0.27
17:30:00,0.457,0.4,0.414,0.296,0.322,0.322,0.269,0.271,0.264
18:00:00,0.438,0.385,0.404,0.29,0.316,0.313,0.264,0.264,0.259
18:30:00,0.406,0.368,0.386,0.28,0.305,0.304,0.257,0.257,0.252
19:00:00,0.386,0.355,0.373,0.27,0.298,0.296,0.25,0.252,0.246
19:30:00,0.366,0.339,0.359,0.262,0.287,0.286,0.245,0.245,0.238
,,,,,,,,,
,,,,,,,,,
