OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.147,0.157,0.159,0.155,0.157,0.16,0.167,0.166,0.171,0.166,0.163,0.16,0.154,0.16,0.159,0.16,0.165,0.158,0.157,0.158,0.155,0.158,0.16,0.163
00:30:00,0.214,0.225,0.224,0.222,0.216,0.219,0.214,0.209,0.212,0.225,0.217,0.218,0.217,0.219,0.223,0.229,0.231,0.224,0.226,0.242,0.222,0.213,0.213,0.215
01:00:00,0.316,0.323,0.331,0.324,0.316,0.325,0.293,0.284,0.291,0.331,0.323,0.328,0.307,0.314,0.316,0.332,0.335,0.325,0.307,0.322,0.295,0.313,0.315,0.319
01:30:00,0.429,0.453,0.471,0.462,0.455,0.462,0.408,0.404,0.408,0.463,0.462,0.463,0.421,0.433,0.437,0.461,0.463,0.454,0.415,0.426,0.406,0.436,0.438,0.446
02:00:00,0.466,0.5,0.503,0.501,0.494,0.496,0.472,0.467,0.481,0.51,0.498,0.504,0.468,0.483,0.49,0.51,0.509,0.5,0.482,0.492,0.481,0.469,0.464,0.472
02:30:00,0.471,0.502,0.501,0.504,0.499,0.503,0.485,0.479,0.495,0.512,0.508,0.515,0.48,0.491,0.5,0.52,0.514,0.508,0.497,0.509,0.496,0.473,0.472,0.488
03:00:00,0.479,0.501,0.505,0.501,0.494,0.501,0.484,0.475,0.49,0.51,0.499,0.511,0.47,0.485,0.499,0.517,0.511,0.505,0.498,0.508,0.494,0.48,0.47,0.475
03:30:00,0.479,0.498,0.493,0.496,0.488,0.501,0.473,0.461,0.467,0.5,0.492,0.508,0.471,0.487,0.503,0.524,0.519,0.512,0.512,0.529,0.507,0.489,0.464,0.462
04:00:00,0.478,0.505,0.498,0.488,0.487,0.493,0.457,0.459,0.467,0.506,0.489,0.503,0.462,0.498,0.497,0.516,0.509,0.502,0.502,0.517,0.501,0.492,0.456,0.46
04:30:00,0.49,0.502,0.494,0.486,0.487,0.496,0.466,0.457,0.462,0.499,0.482,0.517,0.457,0.5,0.494,0.516,0.51,0.502,0.5,0.519,0.502,0.49,0.451,0.457
05:00:00,0.485,0.5,0.49,0.49,0.486,0.498,0.46,0.454,0.461,0.505,0.498,0.518,0.46,0.493,0.49,0.512,0.505,0.498,0.5,0.513,0.496,0.489,0.445,0.454
05:30:00,0.482,0.497,0.495,0.486,0.486,0.497,0.46,0.445,0.456,0.507,0.495,0.513,0.464,0.486,0.483,0.505,0.499,0.489,0.494,0.509,0.493,0.489,0.443,0.449
06:00:00,0.482,0.503,0.499,0.493,0.478,0.494,0.455,0.445,0.449,0.496,0.507,0.518,0.458,0.482,0.479,0.498,0.493,0.481,0.493,0.51,0.493,0.484,0.45,0.445
06:30:00,0.482,0.491,0.488,0.48,0.475,0.483,0.459,0.441,0.436,0.492,0.492,0.509,0.464,0.472,0.473,0.492,0.487,0.474,0.491,0.511,0.492,0.482,0.452,0.433
07:00:00,0.492,0.501,0.485,0.489,0.481,0.485,0.456,0.43,0.446,0.497,0.49,0.507,0.461,0.461,0.47,0.486,0.483,0.464,0.487,0.515,0.486,0.475,0.457,0.425
07:30:00,0.49,0.496,0.478,0.474,0.482,0.481,0.455,0.436,0.451,0.495,0.484,0.512,0.471,0.454,0.462,0.479,0.471,0.458,0.482,0.504,0.482,0.475,0.458,0.426
