OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.185,0.184,0.188,0.186,0.193,0.198,0.199,0.199,0.19,0.196,0.198,0.198,0.189,0.189,0.185,0.194,0.189,0.188,0.186,0.188,0.192,0.192,0.194,0.199
00:30:00,0.211,0.213,0.219,0.217,0.222,0.227,0.212,0.214,0.205,0.22,0.22,0.219,0.219,0.218,0.217,0.224,0.224,0.225,0.215,0.218,0.222,0.216,0.213,0.221
01:00:00,0.292,0.293,0.301,0.3,0.31,0.313,0.283,0.288,0.274,0.303,0.306,0.303,0.288,0.294,0.295,0.31,0.309,0.313,0.277,0.281,0.289,0.297,0.303,0.303
01:30:00,0.392,0.4,0.409,0.409,0.415,0.429,0.375,0.378,0.366,0.408,0.405,0.4,0.387,0.394,0.389,0.412,0.414,0.418,0.35,0.354,0.358,0.403,0.398,0.4
02:00:00,0.468,0.493,0.501,0.509,0.518,0.535,0.475,0.484,0.469,0.501,0.503,0.488,0.47,0.485,0.486,0.51,0.51,0.515,0.422,0.434,0.435,0.496,0.488,0.497
02:30:00,0.5,0.512,0.528,0.534,0.547,0.559,0.512,0.518,0.504,0.528,0.526,0.505,0.492,0.513,0.514,0.538,0.529,0.525,0.478,0.493,0.505,0.512,0.511,0.513
03:00:00,0.505,0.536,0.551,0.552,0.564,0.582,0.536,0.541,0.521,0.549,0.528,0.509,0.489,0.526,0.534,0.554,0.529,0.549,0.504,0.523,0.52,0.524,0.522,0.523
03:30:00,0.48,0.531,0.563,0.55,0.565,0.57,0.544,0.555,0.533,0.562,0.526,0.507,0.495,0.532,0.533,0.559,0.544,0.541,0.502,0.514,0.523,0.513,0.523,0.526
04:00:00,0.469,0.52,0.561,0.55,0.567,0.582,0.537,0.546,0.529,0.572,0.521,0.496,0.487,0.528,0.537,0.572,0.555,0.548,0.498,0.52,0.527,0.508,0.524,0.526
04:30:00,0.48,0.51,0.564,0.546,0.564,0.578,0.531,0.539,0.52,0.575,0.51,0.487,0.478,0.518,0.552,0.564,0.54,0.543,0.512,0.531,0.512,0.511,0.522,0.523
05:00:00,0.476,0.512,0.56,0.539,0.562,0.578,0.53,0.54,0.508,0.564,0.51,0.486,0.481,0.522,0.552,0.566,0.548,0.545,0.521,0.54,0.53,0.522,0.529,0.536
05:30:00,0.467,0.538,0.559,0.534,0.558,0.579,0.532,0.537,0.509,0.564,0.498,0.478,0.471,0.526,0.547,0.561,0.549,0.541,0.518,0.517,0.518,0.53,0.53,0.532
06:00:00,0.464,0.542,0.556,0.529,0.552,0.573,0.521,0.53,0.496,0.551,0.488,0.468,0.48,0.561,0.547,0.558,0.54,0.537,0.509,0.512,0.515,0.525,0.535,0.541
06:30:00,0.482,0.537,0.558,0.526,0.549,0.579,0.525,0.531,0.499,0.56,0.488,0.456,0.491,0.559,0.54,0.553,0.535,0.528,0.504,0.504,0.514,0.526,0.534,0.541
07:00:00,0.484,0.528,0.556,0.524,0.55,0.577,0.525,0.534,0.496,0.558,0.508,0.466,0.489,0.559,0.539,0.553,0.529,0.525,0.5,0.497,0.503,0.526,0.551,0.538
07:30:00,0.493,0.523,0.559,0.519,0.546,0.577,0.521,0.53,0.493,0.559,0.509,0.459,0.494,0.545,0.537,0.548,0.518,0.519,0.499,0.491,0.493,0.522,0.537,0.541
08:00:00,0.497,0.522,0.555,0.513,0.543,0.576,0.516,0.528,0.489,0.56,0.526,0.468,0.519,0.54,0.534,0.551,0.512,0.519,0.495,0.492,0.498,0.522,0.527,0.538
08:30:00,0.494,0.515,0.555,0.51,0.541,0.575,0.514,0.524,0.483,0.556,0.534,0.457,0.519,0.545,0.53,0.541,0.507,0.512,0.493,0.484,0.489,0.515,0.529,0.542
09:00:00,0.507,0.513,0.553,0.507,0.538,0.575,0.511,0.523,0.483,0.555,0.539,0.468,0.502,0.551,0.532,0.534,0.499,0.505,0.483,0.481,0.483,0.509,0.536,0.536
09:30:00,0.501,0.509,0.551,0.503,0.535,0.57,0.503,0.516,0.473,0.544,0.538,0.477,0.538,0.54,0.53,0.521,0.491,0.505,0.48,0.475,0.476,0.518,0.525,0.541
10:00:00,0.508,0.504,0.549,0.495,0.53,0.569,0.5,0.51,0.468,0.545,0.525,0.494,0.529,0.539,0.521,0.514,0.48,0.5,0.469,0.469,0.472,0.519,0.525,0.544
10:30:00,0.503,0.504,0.548,0.494,0.527,0.566,0.497,0.508,0.461,0.539,0.524,0.49,0.49,0.54,0.522,0.5,0.48,0.5,0.478,0.473,0.472,0.513,0.524,0.525
11:00:00,0.506,0.498,0.545,0.49,0.524,0.564,0.487,0.501,0.456,0.54,0.515,0.465,0.521,0.536,0.515,0.496,0.478,0.496,0.473,0.458,0.464,0.509,0.53,0.535
11:30:00,0.5,0.493,0.541,0.486,0.52,0.559,0.485,0.498,0.452,0.532,0.533,0.478,0.502,0.535,0.516,0.48,0.473,0.487,0.467,0.457,0.466,0.507,0.52,0.534
12:00:00,0.502,0.488,0.537,0.48,0.518,0.558,0.483,0.493,0.451,0.531,0.532,0.487,0.517,0.531,0.509,0.478,0.459,0.482,0.462,0.454,0.457,0.511,0.515,0.522
12:30:00,0.5,0.491,0.532,0.474,0.511,0.551,0.474,0.487,0.439,0.521,0.54,0.492,0.533,0.524,0.505,0.472,0.456,0.481,0.454,0.449,0.46,0.511,0.526,0.529
13:00:00,0.497,0.484,0.529,0.47,0.504,0.548,0.47,0.483,0.438,0.52,0.533,0.504,0.532,0.518,0.498,0.462,0.448,0.473,0.456,0.441,0.443,0.504,0.506,0.535
13:30:00,0.502,0.478,0.524,0.462,0.499,0.544,0.466,0.481,0.433,0.517,0.527,0.512,0.536,0.515,0.49,0.456,0.443,0.474,0.449,0.439,0.447,0.501,0.511,0.528
14:00:00,0.502,0.471,0.517,0.456,0.497,0.541,0.462,0.479,0.429,0.516,0.531,0.498,0.541,0.509,0.488,0.45,0.438,0.465,0.44,0.434,0.438,0.505,0.521,0.539
14:30:00,0.5,0.465,0.512,0.45,0.487,0.532,0.452,0.465,0.421,0.501,0.523,0.481,0.516,0.512,0.48,0.438,0.431,0.457,0.434,0.428,0.431,0.499,0.514,0.544
15:00:00,0.512,0.454,0.506,0.443,0.479,0.525,0.451,0.462,0.417,0.498,0.518,0.5,0.525,0.506,0.466,0.43,0.421,0.449,0.425,0.415,0.423,0.497,0.509,0.534
15:30:00,0.507,0.442,0.499,0.436,0.474,0.519,0.447,0.461,0.416,0.496,0.509,0.518,0.541,0.499,0.464,0.424,0.416,0.442,0.421,0.412,0.418,0.495,0.498,0.538
16:00:00,0.508,0.435,0.493,0.431,0.467,0.511,0.44,0.454,0.41,0.485,0.501,0.519,0.532,0.491,0.463,0.416,0.408,0.434,0.414,0.403,0.409,0.497,0.51,0.529
16:30:00,0.507,0.422,0.488,0.423,0.459,0.504,0.438,0.455,0.404,0.479,0.499,0.518,0.53,0.489,0.451,0.41,0.398,0.421,0.398,0.396,0.4,0.492,0.495,0.511
17:00:00,0.521,0.416,0.478,0.413,0.45,0.495,0.431,0.444,0.4,0.472,0.496,0.518,0.537,0.484,0.439,0.398,0.39,0.411,0.391,0.385,0.385,0.492,0.505,0.536
17:30:00,0.513,0.404,0.469,0.404,0.44,0.489,0.426,0.439,0.394,0.46,0.482,0.512,0.521,0.476,0.431,0.391,0.381,0.402,0.382,0.376,0.379,0.487,0.499,0.531
18:00:00,0.506,0.395,0.458,0.393,0.429,0.477,0.42,0.434,0.39,0.45,0.473,0.519,0.525,0.464,0.421,0.381,0.37,0.392,0.373,0.365,0.363,0.49,0.493,0.523
18:30:00,0.504,0.382,0.446,0.383,0.421,0.465,0.416,0.432,0.385,0.44,0.46,0.526,0.536,0.453,0.41,0.371,0.359,0.379,0.357,0.356,0.354,0.48,0.488,0.519
19:00:00,0.507,0.373,0.438,0.374,0.409,0.454,0.411,0.427,0.381,0.432,0.448,0.523,0.532,0.445,0.398,0.361,0.347,0.366,0.348,0.341,0.345,0.474,0.487,0.514
19:30:00,0.492,0.361,0.426,0.363,0.396,0.442,0.408,0.425,0.375,0.422,0.437,0.522,0.527,0.436,0.385,0.35,0.335,0.356,0.338,0.332,0.331,0.477,0.486,0.514
20:00:00,0.499,0.348,0.414,0.349,0.384,0.428,0.399,0.416,0.371,0.409,0.43,0.508,0.518,0.423,0.373,0.337,0.324,0.344,0.323,0.319,0.317,0.471,0.478,0.507
20:30:00,0.493,0.335,0.4,0.338,0.372,0.414,0.4,0.415,0.368,0.396,0.415,0.51,0.516,0.413,0.363,0.325,0.315,0.332,0.31,0.306,0.31,0.466,0.472,0.491
