OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.125,0.13,0.135,0.13,0.134,0.134,0.132,0.135,0.133,0.134,0.137,0.138,0.125,0.127,0.125,0.126,0.122,0.127,0.127,0.126,0.127,0.128,0.124,0.134
00:30:00,0.166,0.171,0.176,0.172,0.175,0.177,0.161,0.16,0.156,0.167,0.173,0.178,0.179,0.176,0.175,0.175,0.17,0.174,0.159,0.16,0.156,0.169,0.164,0.168
01:00:00,0.238,0.255,0.255,0.236,0.245,0.251,0.214,0.214,0.209,0.236,0.24,0.239,0.251,0.253,0.249,0.26,0.255,0.258,0.216,0.22,0.213,0.241,0.225,0.235
01:30:00,0.336,0.346,0.347,0.341,0.336,0.343,0.311,0.302,0.295,0.336,0.339,0.346,0.289,0.348,0.334,0.359,0.348,0.357,0.304,0.302,0.298,0.338,0.319,0.335
02:00:00,0.408,0.443,0.458,0.437,0.441,0.457,0.403,0.404,0.384,0.45,0.443,0.453,0.421,0.453,0.442,0.452,0.441,0.45,0.402,0.391,0.402,0.435,0.412,0.426
02:30:00,0.504,0.521,0.536,0.536,0.519,0.542,0.495,0.5,0.482,0.537,0.535,0.538,0.515,0.506,0.525,0.494,0.471,0.492,0.479,0.485,0.497,0.511,0.482,0.489
03:00:00,0.501,0.537,0.577,0.561,0.566,0.59,0.539,0.539,0.522,0.577,0.557,0.556,0.542,0.556,0.555,0.547,0.527,0.544,0.541,0.544,0.558,0.533,0.499,0.503
03:30:00,0.512,0.54,0.57,0.54,0.552,0.575,0.547,0.548,0.526,0.567,0.552,0.537,0.523,0.567,0.566,0.553,0.539,0.551,0.576,0.576,0.585,0.531,0.498,0.481
04:00:00,0.504,0.547,0.576,0.556,0.559,0.57,0.547,0.541,0.523,0.546,0.519,0.502,0.505,0.557,0.566,0.529,0.509,0.514,0.546,0.541,0.538,0.528,0.476,0.46
04:30:00,0.496,0.546,0.574,0.545,0.555,0.567,0.542,0.54,0.53,0.549,0.523,0.505,0.502,0.564,0.557,0.52,0.5,0.51,0.546,0.541,0.54,0.526,0.462,0.458
05:00:00,0.478,0.549,0.568,0.539,0.55,0.563,0.539,0.533,0.525,0.555,0.524,0.501,0.498,0.559,0.552,0.511,0.501,0.517,0.566,0.563,0.557,0.532,0.454,0.455
05:30:00,0.478,0.545,0.561,0.532,0.542,0.56,0.535,0.534,0.52,0.546,0.525,0.487,0.489,0.55,0.542,0.498,0.481,0.491,0.54,0.536,0.532,0.519,0.449,0.442
06:00:00,0.468,0.53,0.551,0.52,0.534,0.552,0.533,0.531,0.516,0.546,0.535,0.491,0.476,0.539,0.532,0.483,0.469,0.488,0.549,0.543,0.538,0.52,0.45,0.437
06:30:00,0.449,0.515,0.539,0.506,0.524,0.542,0.522,0.524,0.5,0.528,0.522,0.487,0.475,0.528,0.519,0.463,0.451,0.467,0.538,0.532,0.529,0.519,0.468,0.43
07:00:00,0.461,0.503,0.53,0.49,0.507,0.532,0.517,0.518,0.492,0.522,0.514,0.48,0.472,0.512,0.506,0.445,0.436,0.452,0.53,0.527,0.519,0.511,0.481,0.423
07:30:00,0.452,0.49,0.52,0.477,0.495,0.522,0.513,0.516,0.489,0.513,0.501,0.48,0.459,0.499,0.49,0.424,0.414,0.433,0.519,0.514,0.508,0.504,0.488,0.424
08:00:00,0.445,0.474,0.507,0.46,0.479,0.505,0.495,0.498,0.473,0.495,0.48,0.468,0.467,0.483,0.478,0.405,0.393,0.412,0.501,0.493,0.486,0.493,0.481,0.429
08:30:00,0.447,0.461,0.494,0.446,0.466,0.495,0.492,0.498,0.467,0.481,0.469,0.461,0.455,0.471,0.464,0.387,0.375,0.396,0.493,0.483,0.476,0.486,0.481,0.419
09:00:00,0.444,0.444,0.481,0.43,0.451,0.479,0.481,0.489,0.455,0.465,0.455,0.453,0.453,0.459,0.449,0.364,0.355,0.374,0.471,0.463,0.454,0.475,0.487,0.417
09:30:00,0.448,0.437,0.464,0.415,0.437,0.465,0.477,0.484,0.452,0.453,0.447,0.458,0.442,0.436,0.432,0.351,0.34,0.359,0.462,0.451,0.447,0.473,0.489,0.432
10:00:00,0.432,0.417,0.45,0.402,0.422,0.453,0.469,0.476,0.444,0.44,0.423,0.46,0.449,0.429,0.419,0.335,0.325,0.344,0.445,0.44,0.431,0.465,0.483,0.421
10:30:00,0.405,0.403,0.435,0.387,0.405,0.437,0.457,0.467,0.433,0.424,0.392,0.456,0.425,0.403,0.399,0.318,0.307,0.324,0.427,0.416,0.41,0.452,0.468,0.406
11:00:00,0.39,0.383,0.419,0.373,0.392,0.422,0.451,0.46,0.425,0.409,0.376,0.46,0.41,0.385,0.385,0.305,0.296,0.315,0.416,0.404,0.4,0.448,0.46,0.402
11:30:00,0.364,0.363,0.4,0.357,0.378,0.405,0.442,0.449,0.417,0.393,0.353,0.446,0.369,0.37,0.372,0.291,0.284,0.303,0.397,0.389,0.384,0.441,0.446,0.392
12:00:00,0.349,0.343,0.383,0.342,0.361,0.387,0.427,0.438,0.404,0.376,0.334,0.415,0.366,0.355,0.354,0.28,0.273,0.292,0.378,0.371,0.368,0.428,0.426,0.386
12:30:00,0.329,0.326,0.366,0.327,0.344,0.371,0.421,0.431,0.398,0.361,0.321,0.401,0.346,0.341,0.337,0.268,0.261,0.28,0.362,0.355,0.35,0.42,0.412,0.397
13:00:00,0.311,0.311,0.349,0.312,0.328,0.353,0.41,0.419,0.385,0.342,0.308,0.378,0.329,0.326,0.322,0.26,0.252,0.269,0.344,0.339,0.336,0.411,0.403,0.382
13:30:00,0.298,0.298,0.331,0.296,0.31,0.334,0.398,0.412,0.377,0.325,0.291,0.362,0.307,0.31,0.306,0.249,0.242,0.261,0.328,0.324,0.321,0.402,0.399,0.383
14:00:00,0.284,0.284,0.314,0.28,0.296,0.319,0.389,0.401,0.369,0.309,0.282,0.343,0.297,0.299,0.292,0.24,0.233,0.25,0.314,0.308,0.306,0.394,0.387,0.402
14:30:00,0.272,0.271,0.297,0.266,0.279,0.301,0.379,0.389,0.358,0.29,0.268,0.325,0.274,0.285,0.277,0.233,0.227,0.242,0.297,0.293,0.289,0.386,0.366,0.395
