OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.137,0.171,0.188,0.195,0.226,0.179,0.237,0.208,0.217,0.201,0.161,0.171,0.178,0.2,0.197,0.198,0.229,0.22,0.21,0.231,0.217,0.219,0.206,0.234
00:30:00,0.083,0.092,0.094,0.095,0.095,0.09,0.117,0.114,0.114,0.093,0.095,0.096,0.092,0.093,0.096,0.096,0.097,0.095,0.093,0.094,0.093,0.094,0.093,0.095
01:00:00,0.094,0.103,0.104,0.108,0.109,0.102,0.124,0.122,0.121,0.104,0.105,0.103,0.103,0.105,0.105,0.106,0.107,0.105,0.103,0.101,0.101,0.109,0.103,0.106
01:30:00,0.109,0.12,0.123,0.125,0.128,0.123,0.14,0.137,0.138,0.124,0.125,0.122,0.113,0.121,0.12,0.117,0.116,0.115,0.116,0.116,0.117,0.124,0.12,0.123
02:00:00,0.121,0.143,0.148,0.155,0.156,0.15,0.156,0.156,0.157,0.147,0.148,0.148,0.134,0.139,0.139,0.123,0.12,0.116,0.141,0.137,0.138,0.148,0.151,0.15
02:30:00,0.159,0.178,0.184,0.198,0.195,0.186,0.178,0.18,0.181,0.186,0.179,0.18,0.155,0.163,0.161,0.12,0.115,0.111,0.171,0.169,0.167,0.187,0.19,0.19
03:00:00,0.206,0.223,0.241,0.252,0.257,0.241,0.215,0.217,0.218,0.238,0.232,0.223,0.182,0.193,0.193,0.116,0.11,0.106,0.212,0.208,0.207,0.237,0.245,0.237
03:30:00,0.258,0.297,0.316,0.326,0.332,0.314,0.259,0.258,0.276,0.317,0.298,0.282,0.219,0.239,0.236,0.112,0.108,0.104,0.264,0.258,0.265,0.298,0.307,0.299
04:00:00,0.316,0.36,0.373,0.382,0.383,0.364,0.312,0.329,0.34,0.383,0.373,0.348,0.265,0.29,0.292,0.111,0.104,0.103,0.326,0.32,0.32,0.35,0.365,0.363
04:30:00,0.319,0.362,0.379,0.397,0.394,0.375,0.36,0.363,0.364,0.387,0.367,0.346,0.317,0.329,0.348,0.107,0.101,0.099,0.352,0.347,0.347,0.361,0.37,0.366
