OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.092,0.1,0.099,0.1,0.101,0.1,0.116,0.115,0.132,0.097,0.104,0.096,0.1,0.099,0.099,0.097,0.099,0.095,0.096,0.095,0.095,0.092,0.102,0.096
00:30:00,0.113,0.121,0.122,0.122,0.125,0.125,0.135,0.136,0.163,0.122,0.121,0.123,0.12,0.119,0.118,0.118,0.12,0.118,0.12,0.116,0.116,0.113,0.114,0.119
01:00:00,0.156,0.164,0.157,0.17,0.166,0.168,0.165,0.168,0.188,0.157,0.158,0.162,0.163,0.165,0.162,0.161,0.164,0.161,0.156,0.155,0.15,0.156,0.159,0.157
01:30:00,0.222,0.236,0.237,0.247,0.257,0.254,0.23,0.223,0.234,0.232,0.224,0.23,0.224,0.234,0.231,0.22,0.223,0.215,0.206,0.203,0.196,0.219,0.22,0.225
02:00:00,0.334,0.367,0.368,0.379,0.38,0.397,0.321,0.32,0.305,0.373,0.331,0.352,0.344,0.347,0.347,0.287,0.271,0.258,0.287,0.285,0.278,0.329,0.32,0.328
02:30:00,0.403,0.448,0.452,0.444,0.461,0.461,0.422,0.415,0.389,0.453,0.4,0.419,0.422,0.423,0.422,0.294,0.249,0.227,0.387,0.385,0.367,0.382,0.387,0.392
03:00:00,0.427,0.468,0.464,0.457,0.479,0.476,0.437,0.436,0.401,0.459,0.422,0.449,0.443,0.447,0.448,0.275,0.217,0.189,0.41,0.406,0.395,0.405,0.401,0.399
03:30:00,0.432,0.471,0.462,0.458,0.479,0.483,0.44,0.441,0.412,0.476,0.42,0.461,0.445,0.46,0.459,0.262,0.192,0.163,0.425,0.418,0.41,0.413,0.404,0.405
04:00:00,0.434,0.479,0.464,0.467,0.484,0.479,0.453,0.454,0.422,0.487,0.423,0.464,0.463,0.48,0.461,0.252,0.177,0.148,0.422,0.417,0.406,0.425,0.397,0.404
04:30:00,0.458,0.487,0.48,0.477,0.487,0.494,0.46,0.464,0.443,0.493,0.428,0.491,0.495,0.477,0.462,0.24,0.171,0.14,0.424,0.417,0.408,0.432,0.399,0.402
05:00:00,0.467,0.492,0.507,0.489,0.491,0.495,0.463,0.464,0.457,0.506,0.454,0.497,0.498,0.473,0.462,0.231,0.16,0.131,0.426,0.421,0.409,0.435,0.402,0.403
05:30:00,0.473,0.511,0.512,0.511,0.504,0.507,0.479,0.466,0.46,0.514,0.482,0.497,0.51,0.476,0.465,0.224,0.153,0.127,0.432,0.429,0.417,0.442,0.443,0.407
06:00:00,0.479,0.523,0.512,0.512,0.513,0.516,0.481,0.476,0.475,0.512,0.494,0.507,0.508,0.476,0.466,0.216,0.148,0.123,0.435,0.428,0.42,0.444,0.473,0.411
06:30:00,0.479,0.532,0.507,0.518,0.514,0.518,0.486,0.481,0.47,0.511,0.495,0.499,0.517,0.478,0.465,0.212,0.141,0.115,0.435,0.432,0.421,0.447,0.48,0.432
07:00:00,0.484,0.53,0.512,0.522,0.522,0.531,0.487,0.479,0.478,0.522,0.493,0.516,0.516,0.481,0.469,0.206,0.138,0.113,0.442,0.439,0.426,0.454,0.493,0.437
07:30:00,0.484,0.529,0.512,0.526,0.513,0.53,0.488,0.482,0.476,0.514,0.497,0.52,0.519,0.479,0.466,0.199,0.131,0.109,0.442,0.439,0.428,0.456,0.492,0.435
08:00:00,0.477,0.525,0.509,0.522,0.511,0.531,0.485,0.475,0.478,0.514,0.498,0.517,0.52,0.474,0.467,0.192,0.124,0.105,0.445,0.438,0.427,0.455,0.493,0.423
08:30:00,0.474,0.529,0.52,0.526,0.514,0.522,0.486,0.473,0.483,0.521,0.475,0.521,0.522,0.476,0.467,0.185,0.121,0.103,0.449,0.442,0.432,0.455,0.493,0.413
09:00:00,0.485,0.526,0.515,0.518,0.51,0.533,0.49,0.484,0.475,0.513,0.466,0.512,0.514,0.473,0.467,0.176,0.113,0.095,0.448,0.442,0.429,0.45,0.491,0.406
09:30:00,0.48,0.527,0.521,0.51,0.515,0.517,0.485,0.474,0.473,0.521,0.471,0.519,0.525,0.471,0.465,0.166,0.106,0.091,0.446,0.441,0.429,0.45,0.489,0.404
10:00:00,0.486,0.529,0.517,0.523,0.515,0.53,0.497,0.489,0.466,0.523,0.478,0.526,0.524,0.467,0.463,0.157,0.101,0.087,0.447,0.439,0.427,0.452,0.491,0.407
