OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.158,0.16,0.154,0.159,0.159,0.151,0.163,0.166,0.17,0.146,0.154,0.155,0.15,0.158,0.157,0.155,0.16,0.158,0.169,0.165,0.159,0.16,0.158,0.156
00:30:00,0.182,0.185,0.178,0.183,0.183,0.175,0.186,0.187,0.176,0.18,0.181,0.182,0.171,0.182,0.182,0.184,0.19,0.183,0.19,0.188,0.176,0.181,0.179,0.179
01:00:00,0.214,0.229,0.227,0.244,0.242,0.228,0.224,0.228,0.22,0.233,0.237,0.235,0.213,0.23,0.229,0.232,0.24,0.232,0.236,0.232,0.219,0.23,0.23,0.227
01:30:00,0.322,0.326,0.322,0.336,0.332,0.319,0.294,0.292,0.291,0.323,0.329,0.332,0.302,0.317,0.311,0.321,0.335,0.33,0.311,0.304,0.292,0.319,0.316,0.314
02:00:00,0.382,0.388,0.386,0.394,0.391,0.38,0.358,0.371,0.369,0.393,0.396,0.397,0.358,0.387,0.391,0.387,0.398,0.391,0.395,0.384,0.373,0.367,0.375,0.381
02:30:00,0.391,0.412,0.407,0.416,0.412,0.398,0.382,0.394,0.388,0.405,0.407,0.404,0.383,0.399,0.398,0.393,0.405,0.395,0.404,0.394,0.388,0.388,0.386,0.4
03:00:00,0.379,0.427,0.425,0.424,0.431,0.406,0.395,0.411,0.379,0.409,0.401,0.4,0.376,0.398,0.396,0.391,0.402,0.394,0.401,0.393,0.385,0.386,0.386,0.42
03:30:00,0.383,0.444,0.429,0.434,0.436,0.416,0.398,0.412,0.39,0.43,0.401,0.401,0.374,0.397,0.399,0.386,0.402,0.399,0.405,0.395,0.387,0.393,0.391,0.435
04:00:00,0.39,0.47,0.432,0.447,0.435,0.42,0.403,0.409,0.416,0.452,0.405,0.4,0.396,0.425,0.431,0.401,0.429,0.412,0.43,0.419,0.405,0.405,0.39,0.441
04:30:00,0.401,0.464,0.436,0.45,0.437,0.422,0.409,0.413,0.437,0.457,0.419,0.397,0.407,0.464,0.466,0.427,0.458,0.435,0.45,0.434,0.423,0.419,0.404,0.44
05:00:00,0.432,0.453,0.444,0.451,0.443,0.424,0.41,0.418,0.436,0.449,0.456,0.399,0.423,0.493,0.496,0.462,0.478,0.456,0.471,0.458,0.446,0.446,0.415,0.455
05:30:00,0.463,0.452,0.449,0.46,0.448,0.427,0.42,0.423,0.431,0.449,0.468,0.402,0.435,0.502,0.522,0.497,0.491,0.468,0.478,0.466,0.45,0.463,0.429,0.458
