OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.148,0.167,0.154,0.156,0.154,0.153,0.164,0.151,0.158,0.155,0.175,0.156,0.15,0.155,0.156,0.153,0.153,0.15,0.148,0.148,0.146,0.151,0.162,0.154
00:30:00,0.177,0.183,0.179,0.181,0.179,0.179,0.171,0.175,0.172,0.185,0.181,0.188,0.181,0.182,0.184,0.185,0.182,0.179,0.179,0.179,0.178,0.179,0.178,0.181
01:00:00,0.233,0.251,0.242,0.244,0.244,0.243,0.225,0.229,0.224,0.25,0.238,0.249,0.227,0.241,0.242,0.246,0.247,0.242,0.235,0.233,0.23,0.242,0.241,0.244
01:30:00,0.324,0.336,0.326,0.333,0.325,0.321,0.297,0.307,0.295,0.33,0.323,0.328,0.312,0.325,0.329,0.323,0.322,0.317,0.298,0.299,0.289,0.326,0.319,0.319
02:00:00,0.379,0.403,0.392,0.393,0.392,0.387,0.372,0.371,0.371,0.392,0.386,0.392,0.386,0.39,0.396,0.354,0.364,0.351,0.368,0.374,0.358,0.375,0.36,0.368
02:30:00,0.384,0.413,0.415,0.413,0.41,0.406,0.39,0.389,0.387,0.41,0.402,0.404,0.391,0.405,0.412,0.354,0.365,0.354,0.389,0.394,0.38,0.396,0.384,0.381
03:00:00,0.398,0.43,0.424,0.421,0.418,0.412,0.399,0.4,0.394,0.419,0.397,0.399,0.387,0.41,0.412,0.331,0.342,0.327,0.38,0.382,0.375,0.396,0.381,0.381
03:30:00,0.398,0.44,0.428,0.424,0.421,0.416,0.405,0.406,0.398,0.424,0.398,0.395,0.371,0.428,0.418,0.325,0.338,0.321,0.384,0.389,0.381,0.401,0.386,0.376
04:00:00,0.406,0.439,0.431,0.426,0.423,0.416,0.407,0.407,0.403,0.427,0.397,0.393,0.375,0.424,0.423,0.321,0.334,0.32,0.391,0.395,0.387,0.41,0.391,0.373
04:30:00,0.415,0.444,0.433,0.431,0.428,0.423,0.412,0.413,0.405,0.432,0.406,0.389,0.384,0.417,0.421,0.308,0.323,0.311,0.391,0.395,0.389,0.408,0.399,0.369
05:00:00,0.436,0.447,0.438,0.436,0.433,0.426,0.416,0.417,0.406,0.44,0.421,0.379,0.411,0.42,0.42,0.299,0.314,0.297,0.386,0.391,0.387,0.413,0.412,0.361
05:30:00,0.453,0.447,0.44,0.44,0.436,0.428,0.419,0.419,0.408,0.443,0.447,0.375,0.42,0.413,0.419,0.29,0.308,0.292,0.39,0.392,0.385,0.415,0.422,0.358
06:00:00,0.469,0.451,0.442,0.442,0.441,0.431,0.417,0.429,0.409,0.454,0.459,0.375,0.429,0.411,0.415,0.281,0.297,0.283,0.39,0.392,0.386,0.419,0.432,0.354
06:30:00,0.467,0.459,0.454,0.453,0.452,0.442,0.426,0.434,0.419,0.458,0.469,0.372,0.43,0.413,0.418,0.275,0.29,0.276,0.388,0.393,0.389,0.423,0.437,0.353
07:00:00,0.467,0.461,0.457,0.458,0.457,0.447,0.429,0.436,0.416,0.464,0.47,0.376,0.435,0.41,0.417,0.265,0.285,0.268,0.391,0.396,0.392,0.429,0.427,0.361
07:30:00,0.463,0.463,0.46,0.463,0.458,0.446,0.428,0.44,0.416,0.469,0.47,0.375,0.431,0.409,0.412,0.256,0.273,0.259,0.388,0.393,0.392,0.424,0.427,0.367
08:00:00,0.459,0.467,0.463,0.463,0.463,0.45,0.432,0.443,0.419,0.467,0.47,0.368,0.434,0.404,0.408,0.245,0.263,0.249,0.387,0.391,0.392,0.426,0.441,0.365
08:30:00,0.463,0.468,0.465,0.466,0.464,0.45,0.431,0.443,0.421,0.464,0.473,0.368,0.43,0.394,0.407,0.236,0.254,0.239,0.389,0.389,0.392,0.426,0.443,0.358
09:00:00,0.466,0.467,0.463,0.463,0.462,0.444,0.429,0.444,0.419,0.466,0.47,0.361,0.427,0.388,0.403,0.226,0.243,0.229,0.386,0.39,0.393,0.427,0.444,0.35
09:30:00,0.465,0.469,0.461,0.463,0.462,0.444,0.431,0.442,0.419,0.462,0.469,0.357,0.433,0.379,0.396,0.213,0.23,0.218,0.382,0.383,0.386,0.419,0.442,0.345
10:00:00,0.452,0.467,0.46,0.461,0.459,0.442,0.426,0.444,0.419,0.465,0.466,0.354,0.434,0.37,0.393,0.203,0.219,0.206,0.377,0.38,0.382,0.417,0.441,0.343
10:30:00,0.452,0.464,0.463,0.463,0.461,0.44,0.433,0.442,0.416,0.461,0.465,0.35,0.426,0.369,0.388,0.193,0.209,0.197,0.373,0.376,0.381,0.419,0.441,0.334
11:00:00,0.457,0.461,0.458,0.46,0.461,0.443,0.431,0.446,0.417,0.46,0.464,0.34,0.425,0.363,0.381,0.184,0.199,0.186,0.367,0.371,0.375,0.419,0.437,0.335
11:30:00,0.459,0.458,0.458,0.461,0.462,0.441,0.43,0.446,0.418,0.461,0.466,0.36,0.411,0.355,0.376,0.175,0.189,0.178,0.363,0.366,0.374,0.417,0.442,0.343
12:00:00,0.454,0.454,0.454,0.457,0.458,0.44,0.431,0.445,0.417,0.457,0.459,0.36,0.412,0.347,0.369,0.165,0.181,0.169,0.356,0.362,0.369,0.414,0.438,0.34
12:30:00,0.449,0.45,0.45,0.456,0.456,0.437,0.428,0.445,0.416,0.461,0.46,0.367,0.404,0.339,0.358,0.159,0.173,0.162,0.352,0.359,0.365,0.413,0.434,0.348
13:00:00,0.452,0.447,0.446,0.453,0.456,0.435,0.422,0.444,0.414,0.455,0.456,0.363,0.395,0.332,0.351,0.152,0.164,0.155,0.346,0.351,0.36,0.412,0.43,0.331
13:30:00,0.445,0.444,0.441,0.451,0.45,0.432,0.423,0.441,0.411,0.45,0.452,0.358,0.389,0.322,0.341,0.145,0.158,0.149,0.339,0.344,0.354,0.407,0.426,0.328
14:00:00,0.446,0.439,0.437,0.448,0.448,0.429,0.426,0.438,0.409,0.447,0.448,0.362,0.385,0.313,0.332,0.14,0.153,0.143,0.329,0.335,0.347,0.402,0.424,0.339
14:30:00,0.442,0.434,0.433,0.444,0.448,0.424,0.422,0.44,0.409,0.443,0.446,0.359,0.384,0.305,0.324,0.134,0.145,0.135,0.322,0.327,0.34,0.397,0.417,0.341
15:00:00,0.438,0.431,0.428,0.44,0.442,0.421,0.417,0.439,0.407,0.439,0.448,0.367,0.371,0.293,0.312,0.13,0.141,0.131,0.316,0.322,0.334,0.393,0.409,0.331
15:30:00,0.439,0.425,0.421,0.436,0.438,0.417,0.417,0.434,0.406,0.435,0.444,0.368,0.362,0.287,0.305,0.124,0.134,0.125,0.306,0.31,0.324,0.385,0.4,0.321
16:00:00,0.435,0.417,0.415,0.429,0.432,0.412,0.416,0.431,0.403,0.43,0.437,0.366,0.357,0.281,0.295,0.119,0.129,0.121,0.299,0.302,0.318,0.379,0.401,0.323
16:30:00,0.434,0.407,0.407,0.424,0.426,0.404,0.409,0.429,0.399,0.423,0.432,0.373,0.361,0.27,0.282,0.118,0.126,0.118,0.29,0.296,0.31,0.374,0.4,0.321
17:00:00,0.418,0.401,0.401,0.417,0.419,0.399,0.409,0.424,0.398,0.418,0.426,0.39,0.343,0.258,0.276,0.113,0.124,0.115,0.28,0.287,0.302,0.364,0.398,0.311
17:30:00,0.394,0.395,0.392,0.409,0.411,0.39,0.398,0.422,0.387,0.413,0.414,0.385,0.346,0.252,0.266,0.11,0.12,0.111,0.271,0.277,0.291,0.355,0.392,0.294
