OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.129,0.133,0.129,0.127,0.13,0.13,0.143,0.142,0.138,0.125,0.124,0.122,0.131,0.129,0.129,0.132,0.131,0.126,0.124,0.125,0.123,0.125,0.124,0.125
00:30:00,0.151,0.154,0.151,0.149,0.152,0.151,0.16,0.161,0.161,0.154,0.151,0.153,0.151,0.149,0.149,0.158,0.154,0.151,0.152,0.154,0.15,0.148,0.15,0.151
01:00:00,0.18,0.186,0.182,0.185,0.19,0.189,0.187,0.187,0.188,0.186,0.19,0.189,0.178,0.179,0.178,0.185,0.182,0.176,0.177,0.177,0.176,0.176,0.178,0.183
01:30:00,0.249,0.253,0.252,0.257,0.263,0.265,0.239,0.234,0.234,0.257,0.254,0.255,0.241,0.254,0.255,0.25,0.253,0.248,0.231,0.229,0.225,0.232,0.234,0.238
02:00:00,0.353,0.367,0.362,0.371,0.375,0.386,0.32,0.319,0.315,0.37,0.354,0.36,0.349,0.354,0.344,0.348,0.352,0.34,0.31,0.306,0.311,0.325,0.32,0.321
02:30:00,0.427,0.435,0.434,0.436,0.432,0.449,0.408,0.41,0.396,0.436,0.428,0.428,0.41,0.418,0.41,0.414,0.41,0.409,0.398,0.398,0.407,0.381,0.379,0.381
03:00:00,0.443,0.452,0.443,0.453,0.442,0.456,0.424,0.421,0.411,0.447,0.438,0.439,0.425,0.435,0.432,0.436,0.44,0.426,0.415,0.42,0.42,0.4,0.39,0.387
03:30:00,0.449,0.449,0.449,0.451,0.451,0.454,0.435,0.427,0.413,0.442,0.449,0.454,0.43,0.443,0.443,0.451,0.451,0.443,0.428,0.429,0.425,0.409,0.396,0.393
04:00:00,0.464,0.468,0.469,0.46,0.461,0.467,0.433,0.435,0.416,0.457,0.467,0.46,0.432,0.453,0.447,0.452,0.448,0.442,0.422,0.422,0.425,0.422,0.397,0.393
04:30:00,0.478,0.486,0.481,0.479,0.475,0.476,0.454,0.444,0.428,0.461,0.474,0.487,0.468,0.45,0.454,0.46,0.456,0.451,0.427,0.428,0.429,0.426,0.402,0.398
05:00:00,0.475,0.493,0.482,0.482,0.49,0.479,0.452,0.446,0.438,0.468,0.473,0.483,0.471,0.447,0.456,0.464,0.455,0.446,0.43,0.43,0.432,0.428,0.428,0.414
05:30:00,0.485,0.498,0.491,0.493,0.494,0.489,0.465,0.467,0.452,0.48,0.494,0.489,0.479,0.448,0.462,0.47,0.461,0.453,0.439,0.439,0.441,0.438,0.457,0.44
06:00:00,0.486,0.496,0.493,0.496,0.493,0.492,0.475,0.463,0.461,0.488,0.491,0.494,0.478,0.454,0.47,0.485,0.475,0.469,0.449,0.451,0.454,0.447,0.461,0.453
06:30:00,0.493,0.485,0.49,0.487,0.492,0.485,0.48,0.476,0.471,0.479,0.491,0.496,0.478,0.454,0.471,0.482,0.471,0.464,0.453,0.452,0.456,0.452,0.457,0.472
07:00:00,0.491,0.503,0.492,0.488,0.493,0.488,0.488,0.477,0.475,0.486,0.489,0.498,0.491,0.455,0.476,0.483,0.47,0.462,0.452,0.453,0.457,0.455,0.456,0.469
07:30:00,0.502,0.516,0.501,0.497,0.496,0.493,0.48,0.486,0.473,0.487,0.492,0.5,0.49,0.459,0.48,0.491,0.48,0.471,0.46,0.461,0.467,0.46,0.462,0.463
08:00:00,0.499,0.522,0.507,0.5,0.507,0.495,0.486,0.475,0.467,0.49,0.494,0.502,0.5,0.455,0.486,0.49,0.477,0.469,0.462,0.462,0.467,0.461,0.482,0.465
08:30:00,0.512,0.529,0.521,0.494,0.514,0.503,0.484,0.484,0.477,0.484,0.507,0.502,0.499,0.449,0.488,0.485,0.474,0.462,0.46,0.462,0.465,0.459,0.491,0.452
09:00:00,0.506,0.534,0.516,0.506,0.512,0.51,0.482,0.475,0.475,0.48,0.521,0.485,0.502,0.448,0.483,0.487,0.471,0.461,0.459,0.464,0.467,0.456,0.498,0.44
09:30:00,0.508,0.527,0.53,0.502,0.517,0.497,0.48,0.471,0.473,0.482,0.51,0.509,0.502,0.443,0.484,0.484,0.466,0.456,0.459,0.461,0.465,0.452,0.493,0.442
10:00:00,0.52,0.524,0.521,0.5,0.519,0.498,0.477,0.475,0.462,0.469,0.516,0.509,0.504,0.447,0.486,0.485,0.47,0.46,0.458,0.467,0.468,0.458,0.495,0.429
10:30:00,0.513,0.526,0.528,0.513,0.523,0.507,0.49,0.474,0.473,0.468,0.503,0.506,0.494,0.443,0.487,0.483,0.463,0.456,0.457,0.46,0.464,0.456,0.492,0.429
11:00:00,0.515,0.525,0.528,0.512,0.513,0.512,0.493,0.482,0.471,0.458,0.506,0.503,0.491,0.445,0.487,0.48,0.464,0.452,0.458,0.461,0.461,0.455,0.494,0.42
11:30:00,0.512,0.534,0.524,0.509,0.507,0.509,0.491,0.483,0.466,0.472,0.5,0.501,0.499,0.441,0.49,0.479,0.46,0.45,0.456,0.462,0.464,0.459,0.493,0.433
12:00:00,0.513,0.527,0.531,0.496,0.518,0.506,0.502,0.5,0.475,0.464,0.5,0.491,0.496,0.447,0.489,0.474,0.456,0.445,0.456,0.459,0.462,0.458,0.491,0.431
12:30:00,0.513,0.531,0.526,0.506,0.513,0.499,0.507,0.487,0.471,0.456,0.491,0.504,0.489,0.444,0.489,0.476,0.456,0.451,0.458,0.463,0.466,0.462,0.486,0.433
