OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.102,0.111,0.106,0.11,0.104,0.103,0.112,0.117,0.115,0.097,0.103,0.1,0.104,0.098,0.099,0.101,0.099,0.097,0.097,0.096,0.098,0.097,0.099,0.101
00:30:00,0.125,0.128,0.129,0.125,0.13,0.125,0.129,0.14,0.134,0.128,0.128,0.131,0.136,0.13,0.127,0.133,0.13,0.131,0.133,0.129,0.128,0.13,0.131,0.133
01:00:00,0.154,0.154,0.152,0.156,0.156,0.154,0.156,0.163,0.159,0.153,0.152,0.157,0.163,0.16,0.16,0.162,0.159,0.162,0.16,0.158,0.157,0.158,0.157,0.158
01:30:00,0.196,0.199,0.2,0.192,0.197,0.197,0.192,0.196,0.192,0.19,0.189,0.196,0.206,0.205,0.204,0.201,0.205,0.21,0.195,0.192,0.19,0.199,0.199,0.201
02:00:00,0.259,0.26,0.264,0.253,0.255,0.258,0.229,0.246,0.239,0.249,0.245,0.25,0.268,0.262,0.271,0.256,0.256,0.261,0.247,0.244,0.238,0.26,0.261,0.259
02:30:00,0.327,0.336,0.344,0.323,0.329,0.335,0.291,0.32,0.323,0.327,0.332,0.33,0.335,0.339,0.34,0.314,0.311,0.323,0.312,0.314,0.305,0.338,0.341,0.332
03:00:00,0.388,0.392,0.394,0.382,0.389,0.385,0.365,0.38,0.386,0.388,0.38,0.382,0.396,0.4,0.398,0.362,0.369,0.377,0.39,0.387,0.37,0.38,0.375,0.366
03:30:00,0.392,0.403,0.416,0.395,0.407,0.401,0.383,0.393,0.397,0.402,0.389,0.382,0.394,0.41,0.411,0.39,0.379,0.393,0.407,0.402,0.394,0.397,0.383,0.369
04:00:00,0.39,0.42,0.419,0.405,0.415,0.401,0.395,0.397,0.402,0.408,0.393,0.378,0.403,0.43,0.422,0.396,0.389,0.402,0.415,0.408,0.407,0.406,0.394,0.371
04:30:00,0.418,0.431,0.429,0.407,0.426,0.407,0.4,0.409,0.41,0.419,0.401,0.383,0.42,0.432,0.42,0.388,0.381,0.394,0.407,0.404,0.4,0.411,0.406,0.372
05:00:00,0.435,0.438,0.432,0.418,0.429,0.404,0.406,0.414,0.418,0.428,0.402,0.393,0.446,0.432,0.426,0.391,0.389,0.4,0.416,0.413,0.407,0.421,0.427,0.378
05:30:00,0.47,0.438,0.438,0.42,0.436,0.405,0.414,0.423,0.423,0.434,0.422,0.414,0.456,0.431,0.428,0.391,0.388,0.401,0.42,0.415,0.413,0.425,0.449,0.382
06:00:00,0.478,0.446,0.446,0.426,0.446,0.413,0.422,0.433,0.432,0.439,0.447,0.439,0.471,0.428,0.429,0.384,0.38,0.396,0.418,0.416,0.41,0.422,0.444,0.397
06:30:00,0.469,0.45,0.451,0.428,0.452,0.416,0.432,0.441,0.442,0.445,0.469,0.472,0.475,0.432,0.432,0.391,0.386,0.402,0.428,0.425,0.419,0.432,0.444,0.424
