OD600,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD
00:00:00,0.092,0.1,0.102,0.092,0.102,0.103,0.099,0.105,0.1,0.107,0.104,0.108,0.129,0.128,0.133,0.131,0.129,0.134,0.13,0.136,0.131,0.134,0.13,0.134
00:30:00,0.119,0.139,0.126,0.114,0.122,0.127,0.124,0.123,0.123,0.127,0.122,0.126,0.161,0.162,0.166,0.163,0.157,0.164,0.164,0.168,0.165,0.168,0.164,0.171
01:00:00,0.162,0.183,0.168,0.149,0.161,0.167,0.168,0.165,0.167,0.164,0.162,0.166,0.218,0.22,0.229,0.209,0.206,0.215,0.215,0.219,0.22,0.215,0.208,0.214
01:30:00,0.232,0.253,0.239,0.203,0.22,0.223,0.238,0.238,0.232,0.217,0.217,0.226,0.299,0.31,0.318,0.271,0.263,0.274,0.315,0.311,0.311,0.269,0.261,0.27
02:00:00,0.321,0.354,0.338,0.253,0.276,0.283,0.346,0.341,0.342,0.272,0.265,0.259,0.389,0.415,0.419,0.32,0.329,0.333,0.419,0.408,0.423,0.326,0.316,0.324
02:30:00,0.386,0.424,0.413,0.296,0.313,0.33,0.418,0.415,0.422,0.311,0.3,0.298,0.404,0.418,0.424,0.326,0.321,0.332,0.415,0.414,0.418,0.323,0.309,0.317
03:00:00,0.408,0.445,0.427,0.311,0.331,0.332,0.429,0.429,0.431,0.331,0.324,0.328,0.411,0.42,0.421,0.319,0.311,0.316,0.42,0.424,0.428,0.319,0.301,0.31
03:30:00,0.417,0.446,0.43,0.302,0.321,0.321,0.434,0.431,0.429,0.317,0.313,0.319,0.413,0.42,0.429,0.301,0.297,0.312,0.423,0.42,0.427,0.306,0.289,0.31
04:00:00,0.413,0.441,0.43,0.294,0.317,0.318,0.424,0.428,0.435,0.31,0.31,0.31,0.419,0.428,0.43,0.305,0.289,0.304,0.427,0.42,0.433,0.305,0.288,0.308
04:30:00,0.428,0.453,0.432,0.291,0.31,0.313,0.431,0.431,0.439,0.309,0.319,0.316,0.426,0.423,0.437,0.296,0.283,0.3,0.428,0.421,0.424,0.298,0.278,0.291
05:00:00,0.434,0.453,0.438,0.293,0.313,0.305,0.439,0.431,0.44,0.308,0.301,0.304,0.431,0.421,0.434,0.287,0.274,0.295,0.427,0.419,0.429,0.295,0.276,0.289
05:30:00,0.438,0.461,0.445,0.278,0.304,0.314,0.445,0.44,0.44,0.306,0.295,0.303,0.436,0.423,0.435,0.278,0.27,0.294,0.432,0.419,0.429,0.288,0.264,0.277
06:00:00,0.437,0.46,0.446,0.287,0.309,0.309,0.45,0.44,0.448,0.31,0.29,0.297,0.439,0.427,0.442,0.275,0.269,0.287,0.431,0.423,0.43,0.284,0.266,0.286
06:30:00,0.447,0.466,0.449,0.282,0.302,0.31,0.452,0.442,0.456,0.301,0.282,0.295,0.44,0.418,0.431,0.271,0.263,0.284,0.431,0.432,0.428,0.285,0.265,0.279
07:00:00,0.436,0.46,0.453,0.278,0.302,0.31,0.455,0.449,0.448,0.304,0.279,0.298,0.44,0.433,0.443,0.274,0.269,0.282,0.438,0.423,0.427,0.281,0.256,0.275
07:30:00,0.453,0.46,0.449,0.279,0.306,0.303,0.451,0.44,0.445,0.302,0.271,0.293,0.435,0.423,0.44,0.275,0.269,0.286,0.438,0.428,0.417,0.284,0.254,0.271
08:00:00,0.452,0.465,0.45,0.283,0.3,0.307,0.449,0.447,0.453,0.305,0.279,0.286,0.437,0.425,0.435,0.276,0.27,0.287,0.43,0.425,0.422,0.283,0.258,0.273
08:30:00,0.447,0.457,0.45,0.281,0.302,0.308,0.443,0.454,0.463,0.304,0.27,0.285,0.438,0.423,0.434,0.277,0.272,0.278,0.428,0.421,0.421,0.277,0.256,0.275
09:00:00,0.445,0.468,0.453,0.29,0.3,0.31,0.458,0.45,0.461,0.297,0.268,0.29,0.434,0.426,0.433,0.268,0.268,0.274,0.423,0.42,0.427,0.27,0.26,0.267
09:30:00,0.447,0.46,0.446,0.29,0.3,0.309,0.451,0.445,0.452,0.288,0.268,0.286,0.433,0.425,0.434,0.275,0.271,0.273,0.416,0.422,0.425,0.268,0.255,0.27
10:00:00,0.445,0.461,0.451,0.288,0.297,0.306,0.445,0.436,0.448,0.288,0.273,0.288,0.429,0.423,0.435,0.266,0.267,0.269,0.418,0.415,0.426,0.27,0.249,0.27
10:30:00,0.445,0.464,0.447,0.282,0.289,0.295,0.443,0.435,0.45,0.281,0.266,0.284,0.431,0.425,0.428,0.267,0.26,0.267,0.418,0.409,0.424,0.263,0.261,0.267
11:00:00,0.44,0.46,0.446,0.272,0.276,0.287,0.442,0.435,0.453,0.274,0.263,0.288,0.426,0.417,0.426,0.261,0.255,0.26,0.415,0.406,0.421,0.255,0.255,0.263
11:30:00,0.438,0.449,0.445,0.271,0.275,0.282,0.445,0.438,0.455,0.269,0.267,0.284,0.425,0.419,0.421,0.256,0.248,0.255,0.415,0.406,0.422,0.25,0.25,0.265
12:00:00,0.443,0.454,0.442,0.266,0.267,0.274,0.449,0.429,0.447,0.266,0.274,0.284,0.425,0.41,0.43,0.248,0.246,0.253,0.427,0.409,0.424,0.241,0.25,0.259
12:30:00,0.445,0.453,0.441,0.261,0.26,0.267,0.442,0.424,0.447,0.255,0.266,0.276,0.422,0.412,0.431,0.244,0.241,0.251,0.417,0.409,0.416,0.244,0.248,0.263
13:00:00,0.44,0.447,0.445,0.258,0.256,0.269,0.446,0.438,0.444,0.254,0.266,0.28,0.414,0.398,0.428,0.242,0.235,0.247,0.413,0.405,0.417,0.243,0.249,0.261
13:30:00,0.432,0.452,0.428,0.25,0.25,0.264,0.445,0.423,0.443,0.254,0.269,0.281,0.41,0.4,0.419,0.237,0.228,0.243,0.414,0.401,0.408,0.237,0.245,0.253
14:00:00,0.427,0.448,0.434,0.246,0.246,0.258,0.435,0.426,0.438,0.248,0.266,0.279,0.395,0.38,0.403,0.233,0.227,0.236,0.409,0.402,0.408,0.233,0.246,0.254
14:30:00,0.426,0.434,0.432,0.24,0.243,0.251,0.439,0.428,0.43,0.243,0.26,0.279,0.394,0.376,0.4,0.227,0.219,0.232,0.399,0.399,0.405,0.226,0.241,0.253
15:00:00,0.42,0.433,0.426,0.236,0.236,0.25,0.433,0.424,0.43,0.239,0.258,0.277,0.378,0.367,0.394,0.225,0.219,0.23,0.398,0.387,0.393,0.226,0.241,0.25
