OD600,control,control,control,1mM_IPTG,1mM_IPTG,1mM_IPTG,3mM_IPTG,3mM_IPTG,3mM_IPTG,6mM_IPTG,6mM_IPTG,6mM_IPTG
00:00:00,0.147,0.139,0.14,0.14,0.137,0.142,0.135,0.142,0.143,0.139,0.139,0.142
00:30:00,0.171,0.168,0.171,0.169,0.168,0.172,0.165,0.168,0.171,0.166,0.165,0.172
01:00:00,0.218,0.221,0.222,0.217,0.219,0.222,0.214,0.221,0.221,0.216,0.216,0.226
01:30:00,0.285,0.283,0.292,0.287,0.286,0.287,0.283,0.29,0.292,0.282,0.279,0.297
02:00:00,0.362,0.365,0.373,0.366,0.366,0.373,0.364,0.367,0.377,0.363,0.351,0.361
02:30:00,0.383,0.385,0.386,0.381,0.387,0.387,0.378,0.382,0.385,0.382,0.371,0.381
03:00:00,0.382,0.398,0.406,0.404,0.405,0.409,0.4,0.403,0.405,0.397,0.378,0.382
03:30:00,0.386,0.403,0.405,0.401,0.398,0.405,0.399,0.406,0.409,0.404,0.38,0.383
04:00:00,0.379,0.417,0.414,0.406,0.407,0.412,0.406,0.413,0.415,0.412,0.385,0.38
04:30:00,0.378,0.408,0.406,0.405,0.403,0.409,0.401,0.408,0.409,0.405,0.385,0.373
05:00:00,0.389,0.41,0.411,0.408,0.405,0.41,0.401,0.406,0.409,0.402,0.393,0.361
05:30:00,0.405,0.406,0.407,0.405,0.399,0.407,0.401,0.406,0.41,0.406,0.407,0.358
06:00:00,0.426,0.407,0.412,0.409,0.403,0.412,0.401,0.408,0.412,0.402,0.415,0.353
06:30:00,0.447,0.406,0.413,0.409,0.4,0.407,0.401,0.402,0.407,0.399,0.425,0.352
07:00:00,0.451,0.403,0.41,0.405,0.395,0.406,0.397,0.402,0.407,0.406,0.431,0.35
07:30:00,0.453,0.408,0.415,0.407,0.4,0.407,0.396,0.401,0.408,0.403,0.431,0.345
08:00:00,0.458,0.404,0.412,0.403,0.395,0.404,0.394,0.398,0.408,0.401,0.433,0.345
08:30:00,0.448,0.401,0.406,0.398,0.387,0.396,0.388,0.391,0.403,0.399,0.426,0.346
09:00:00,0.435,0.406,0.407,0.397,0.387,0.397,0.386,0.388,0.399,0.397,0.431,0.342
09:30:00,0.435,0.403,0.402,0.393,0.384,0.394,0.383,0.387,0.398,0.396,0.434,0.331
10:00:00,0.442,0.401,0.404,0.392,0.381,0.391,0.381,0.383,0.396,0.391,0.43,0.331
10:30:00,0.434,0.395,0.397,0.386,0.374,0.385,0.373,0.372,0.386,0.388,0.429,0.34
11:00:00,0.421,0.392,0.389,0.378,0.368,0.377,0.367,0.368,0.383,0.384,0.431,0.336
11:30:00,0.423,0.386,0.382,0.369,0.356,0.368,0.36,0.36,0.376,0.381,0.432,0.332
12:00:00,0.409,0.384,0.382,0.369,0.358,0.368,0.358,0.359,0.376,0.378,0.426,0.325
12:30:00,0.415,0.378,0.376,0.362,0.351,0.36,0.349,0.351,0.366,0.369,0.424,0.325
13:00:00,0.408,0.368,0.369,0.355,0.343,0.353,0.344,0.344,0.36,0.368,0.423,0.329
13:30:00,0.411,0.362,0.367,0.35,0.338,0.349,0.339,0.341,0.358,0.367,0.421,0.339
14:00:00,0.401,0.356,0.359,0.34,0.328,0.34,0.33,0.33,0.351,0.358,0.417,0.33
14:30:00,0.401,0.349,0.352,0.334,0.321,0.332,0.324,0.326,0.346,0.357,0.414,0.326
15:00:00,0.399,0.345,0.348,0.327,0.313,0.326,0.316,0.318,0.338,0.351,0.413,0.311
15:30:00,0.397,0.341,0.342,0.317,0.305,0.319,0.309,0.312,0.331,0.346,0.41,0.302
16:00:00,0.397,0.334,0.332,0.309,0.296,0.306,0.299,0.302,0.324,0.338,0.406,0.295
16:30:00,0.379,0.329,0.326,0.297,0.288,0.298,0.288,0.293,0.314,0.33,0.401,0.286
17:00:00,0.373,0.322,0.317,0.288,0.277,0.289,0.279,0.284,0.303,0.323,0.398,0.281
17:30:00,0.372,0.315,0.306,0.277,0.265,0.275,0.268,0.273,0.293,0.317,0.394,0.279
18:00:00,0.383,0.311,0.3,0.266,0.259,0.267,0.259,0.265,0.285,0.308,0.387,0.274
18:30:00,0.373,0.303,0.29,0.259,0.247,0.257,0.25,0.255,0.274,0.3,0.381,0.276
19:00:00,0.379,0.298,0.282,0.248,0.241,0.249,0.242,0.247,0.267,0.293,0.376,0.278
19:30:00,0.375,0.292,0.275,0.242,0.231,0.241,0.233,0.239,0.257,0.284,0.367,0.284
