OD600,control,control,control,1mM_IPTG,1mM_IPTG,1mM_IPTG,3mM_IPTG,3mM_IPTG,3mM_IPTG,6mM_IPTG,6mM_IPTG,6mM_IPTG
00:00:00,0.127,0.138,0.133,0.132,0.139,0.127,0.13,0.13,0.124,0.133,0.128,0.13
00:30:00,0.156,0.164,0.162,0.158,0.163,0.153,0.157,0.159,0.152,0.162,0.16,0.162
01:00:00,0.21,0.226,0.223,0.219,0.227,0.215,0.216,0.217,0.204,0.223,0.218,0.223
01:30:00,0.287,0.309,0.31,0.306,0.311,0.3,0.297,0.303,0.28,0.308,0.296,0.31
02:00:00,0.386,0.396,0.39,0.376,0.381,0.366,0.363,0.368,0.347,0.372,0.356,0.373
02:30:00,0.371,0.393,0.397,0.373,0.378,0.364,0.361,0.366,0.346,0.368,0.351,0.361
03:00:00,0.377,0.397,0.399,0.377,0.381,0.365,0.366,0.367,0.354,0.376,0.352,0.357
03:30:00,0.38,0.41,0.401,0.371,0.378,0.365,0.367,0.369,0.353,0.375,0.354,0.355
04:00:00,0.378,0.412,0.399,0.366,0.373,0.359,0.363,0.365,0.35,0.37,0.347,0.354
04:30:00,0.391,0.406,0.397,0.362,0.368,0.35,0.36,0.356,0.35,0.368,0.342,0.343
05:00:00,0.409,0.409,0.399,0.358,0.366,0.351,0.354,0.356,0.348,0.359,0.341,0.331
05:30:00,0.415,0.407,0.4,0.357,0.362,0.347,0.353,0.353,0.344,0.359,0.357,0.326
06:00:00,0.425,0.408,0.402,0.351,0.359,0.34,0.347,0.349,0.338,0.354,0.367,0.318
06:30:00,0.426,0.408,0.399,0.345,0.351,0.333,0.344,0.343,0.333,0.35,0.374,0.321
07:00:00,0.424,0.407,0.396,0.339,0.347,0.329,0.34,0.339,0.332,0.347,0.375,0.312
07:30:00,0.418,0.407,0.397,0.333,0.342,0.325,0.331,0.334,0.33,0.341,0.373,0.312
08:00:00,0.421,0.406,0.391,0.325,0.333,0.314,0.325,0.325,0.322,0.337,0.369,0.316
08:30:00,0.413,0.399,0.389,0.32,0.327,0.309,0.321,0.321,0.319,0.332,0.364,0.304
09:00:00,0.411,0.4,0.385,0.311,0.318,0.301,0.314,0.315,0.314,0.325,0.363,0.292
09:30:00,0.416,0.396,0.381,0.307,0.313,0.295,0.304,0.309,0.306,0.317,0.36,0.291
10:00:00,0.414,0.39,0.377,0.297,0.302,0.287,0.298,0.299,0.3,0.312,0.357,0.291
10:30:00,0.412,0.382,0.371,0.288,0.293,0.278,0.289,0.292,0.292,0.303,0.352,0.279
11:00:00,0.406,0.372,0.364,0.282,0.284,0.268,0.282,0.286,0.286,0.3,0.348,0.264
11:30:00,0.403,0.364,0.357,0.271,0.278,0.261,0.273,0.276,0.278,0.292,0.34,0.251
12:00:00,0.4,0.358,0.349,0.261,0.268,0.253,0.265,0.267,0.268,0.284,0.329,0.24
12:30:00,0.398,0.353,0.342,0.254,0.258,0.243,0.256,0.259,0.261,0.275,0.331,0.235
13:00:00,0.393,0.345,0.335,0.245,0.247,0.235,0.247,0.25,0.257,0.266,0.328,0.231
13:30:00,0.382,0.337,0.328,0.236,0.24,0.227,0.24,0.242,0.248,0.262,0.323,0.225
14:00:00,0.387,0.332,0.321,0.229,0.232,0.217,0.232,0.235,0.241,0.255,0.315,0.216
14:30:00,0.379,0.321,0.31,0.219,0.221,0.207,0.223,0.224,0.234,0.247,0.313,0.215
15:00:00,0.365,0.311,0.302,0.21,0.215,0.201,0.216,0.217,0.223,0.237,0.306,0.208
15:30:00,0.361,0.306,0.291,0.202,0.207,0.193,0.208,0.207,0.216,0.23,0.295,0.2
16:00:00,0.353,0.298,0.284,0.196,0.199,0.186,0.2,0.2,0.209,0.222,0.282,0.197
16:30:00,0.346,0.287,0.274,0.186,0.191,0.179,0.191,0.192,0.203,0.214,0.268,0.19
17:00:00,0.332,0.278,0.266,0.179,0.183,0.172,0.185,0.184,0.196,0.205,0.254,0.185
17:30:00,0.333,0.267,0.255,0.173,0.175,0.165,0.179,0.177,0.188,0.199,0.243,0.183
18:00:00,0.32,0.258,0.247,0.168,0.171,0.16,0.171,0.171,0.181,0.19,0.23,0.178
18:30:00,0.307,0.247,0.236,0.161,0.165,0.156,0.166,0.166,0.174,0.184,0.222,0.173
19:00:00,0.299,0.24,0.229,0.158,0.161,0.151,0.161,0.159,0.172,0.178,0.218,0.171
19:30:00,0.293,0.23,0.22,0.155,0.157,0.148,0.156,0.156,0.166,0.17,0.213,0.166
