OD600,half_MMC,half_MMC,half_MMC,half_MMC_1mM_IPTG,half_MMC_1mM_IPTG,half_MMC_1mM_IPTG,half_MMC_2mM_IPTG,half_MMC_2mM_IPTG,half_MMC_2mM_IPTG
00:00:00,0.096,0.101,0.103,0.106,0.103,0.113,0.11,0.121,0.095
00:30:00,0.104,0.114,0.117,0.117,0.116,0.119,0.123,0.118,0.105
01:00:00,0.126,0.138,0.145,0.144,0.143,0.148,0.147,0.148,0.133
01:30:00,0.168,0.184,0.189,0.192,0.192,0.194,0.197,0.188,0.18
02:00:00,0.218,0.24,0.247,0.253,0.256,0.259,0.262,0.261,0.243
02:30:00,0.283,0.312,0.311,0.329,0.332,0.338,0.344,0.34,0.322
03:00:00,0.361,0.382,0.394,0.42,0.417,0.426,0.436,0.431,0.413
03:30:00,0.385,0.398,0.419,0.431,0.423,0.434,0.437,0.434,0.419
04:00:00,0.379,0.405,0.428,0.431,0.428,0.432,0.44,0.433,0.421
04:30:00,0.366,0.409,0.433,0.437,0.439,0.43,0.451,0.438,0.432
05:00:00,0.347,0.408,0.425,0.44,0.438,0.447,0.457,0.454,0.428
05:30:00,0.406,0.396,0.413,0.426,0.442,0.456,0.473,0.468,0.435
06:00:00,0.41,0.385,0.408,0.417,0.436,0.449,0.463,0.459,0.42
06:30:00,0.406,0.377,0.405,0.415,0.437,0.452,0.467,0.454,0.432
07:00:00,0.396,0.367,0.398,0.413,0.433,0.448,0.464,0.459,0.425
07:30:00,0.401,0.362,0.398,0.404,0.424,0.441,0.465,0.455,0.42
08:00:00,0.389,0.356,0.391,0.399,0.425,0.444,0.465,0.453,0.422
08:30:00,0.384,0.35,0.385,0.391,0.423,0.441,0.46,0.452,0.421
09:00:00,0.387,0.348,0.379,0.387,0.425,0.436,0.461,0.446,0.423
09:30:00,0.388,0.348,0.374,0.38,0.421,0.44,0.457,0.443,0.419
10:00:00,0.387,0.352,0.374,0.38,0.425,0.435,0.456,0.447,0.418
10:30:00,0.379,0.353,0.366,0.379,0.419,0.432,0.452,0.439,0.413
11:00:00,0.391,0.356,0.364,0.377,0.42,0.428,0.452,0.439,0.411
11:30:00,0.381,0.351,0.359,0.375,0.41,0.426,0.448,0.439,0.406
12:00:00,0.385,0.351,0.356,0.372,0.407,0.423,0.445,0.429,0.404
12:30:00,0.383,0.349,0.35,0.37,0.402,0.416,0.437,0.429,0.399
13:00:00,0.376,0.347,0.344,0.369,0.394,0.411,0.434,0.42,0.396
13:30:00,0.378,0.341,0.342,0.364,0.389,0.405,0.435,0.424,0.389
14:00:00,0.368,0.338,0.337,0.361,0.382,0.397,0.43,0.42,0.385
14:30:00,0.37,0.336,0.333,0.354,0.378,0.393,0.422,0.416,0.374
15:00:00,0.356,0.329,0.328,0.348,0.375,0.385,0.417,0.402,0.365
15:30:00,0.354,0.327,0.322,0.34,0.364,0.372,0.406,0.394,0.357
16:00:00,0.353,0.318,0.319,0.336,0.353,0.362,0.397,0.378,0.343
16:30:00,0.343,0.314,0.309,0.323,0.34,0.353,0.39,0.364,0.335
17:00:00,0.329,0.307,0.301,0.313,0.33,0.339,0.377,0.355,0.325
17:30:00,0.328,0.299,0.295,0.302,0.319,0.328,0.362,0.346,0.315
18:00:00,0.321,0.292,0.288,0.293,0.31,0.317,0.352,0.337,0.3
18:30:00,0.32,0.288,0.282,0.282,0.3,0.307,0.337,0.323,0.293
19:00:00,0.314,0.283,0.274,0.272,0.288,0.295,0.325,0.312,0.284
19:30:00,0.306,0.277,0.265,0.263,0.279,0.281,0.312,0.301,0.277
20:00:00,0.306,0.272,0.259,0.257,0.268,0.275,0.301,0.293,0.269
20:30:00,0.298,0.267,0.25,0.249,0.263,0.266,0.291,0.282,0.262
