mutants,gene,fold_change
recA_T0,rpoA,1.007720148
recA_T0,rpoA,1.023914864
recA_T0,rpoA,0.969160346
recA_T0,comEA,1.027959537
recA_T0,comEA,1.019706789
recA_T0,comEA,0.954003169
recA_T0,lytA,0.874664013
recA_T0,lytA,1.128611616
recA_T0,lytA,1.013008472
recA_T0,dnaC,1.205068744
recA_T0,dnaC,0.946459275
recA_T0,dnaC,0.876768822
recA_T0,int,1.036257156
recA_T0,int,1.022547197
recA_T0,int,0.943734146
recA_T0,reg,1.000101805
recA_T0,reg,0.914408452
recA_T0,reg,1.093493312
recA_T20,rpoA,0.973686185
recA_T20,rpoA,0.998563938
recA_T20,rpoA,1.028501936
recA_T20,comEA,1.079519804
recA_T20,comEA,1.186322453
recA_T20,comEA,1.222657218
recA_T20,lytA,1.108158887
recA_T20,lytA,1.378838314
recA_T20,lytA,1.376989286
recA_T20,dnaC,1.470066583
recA_T20,dnaC,1.486113853
recA_T20,dnaC,1.355023857
recA_T20,int,1.11306156
recA_T20,int,1.063827264
recA_T20,int,1.17987507
recA_T20,reg,1.508382502
recA_T20,reg,1.531580027
recA_T20,reg,1.644870162
recA_T60,rpoA,1.006519148
recA_T60,rpoA,0.99006538
recA_T60,rpoA,1.003489738
recA_T60,comEA,0.609570029
recA_T60,comEA,0.857957654
recA_T60,comEA,0.87939475
recA_T60,lytA,4.114676799
recA_T60,lytA,5.685548054
recA_T60,lytA,5.399747123
recA_T60,dnaC,1.899898563
recA_T60,dnaC,1.560330263
recA_T60,dnaC,1.817538797
recA_T60,int,0.894874901
recA_T60,int,0.864439489
recA_T60,int,0.862882043
recA_T60,reg,1.046544584
recA_T60,reg,1.258456634
recA_T60,reg,1.317969822
recA_T120,rpoA,0.68377853
recA_T120,rpoA,0.728820943
recA_T120,rpoA,0.718060218
recA_T120,comEA,4.038455051
recA_T120,comEA,4.253216761
recA_T120,comEA,4.478374916
recA_T120,lytA,206.699486
recA_T120,lytA,201.6764821
recA_T120,lytA,194.2268361
recA_T120,dnaC,38.45752302
recA_T120,dnaC,36.83299064
recA_T120,dnaC,35.28837057
recA_T120,int,3.245006137
recA_T120,int,3.148504874
recA_T120,int,3.079080244
recA_T120,reg,7.074611424
recA_T120,reg,6.649913133
recA_T120,reg,6.931919268
recA_T20_CSP,rpoA,0.963005384
recA_T20_CSP,rpoA,1.004944841
recA_T20_CSP,rpoA,1.033303526
recA_T20_CSP,comEA,52.3664641
recA_T20_CSP,comEA,53.28799898
recA_T20_CSP,comEA,51.02748085
recA_T20_CSP,lytA,1.955631029
recA_T20_CSP,lytA,2.416515482
recA_T20_CSP,lytA,1.531189279
recA_T20_CSP,dnaC,11.27706215
recA_T20_CSP,dnaC,10.67074041
recA_T20_CSP,dnaC,11.05321706
recA_T20_CSP,int,1.85240374
recA_T20_CSP,int,1.896520679
recA_T20_CSP,int,1.784065816
recA_T20_CSP,reg,1.641311957
recA_T20_CSP,reg,1.654470832
recA_T20_CSP,reg,1.770538521
recA_T60_CSP,rpoA,0.987534514
recA_T60_CSP,rpoA,1.004680482
recA_T60_CSP,rpoA,1.00790402
recA_T60_CSP,comEA,12.76852961
recA_T60_CSP,comEA,12.01106578
recA_T60_CSP,comEA,12.99992886
recA_T60_CSP,lytA,1.99707243
recA_T60_CSP,lytA,2.006159751
recA_T60_CSP,lytA,1.643928813
recA_T60_CSP,dnaC,17.83457296
recA_T60_CSP,dnaC,18.84633093
recA_T60_CSP,dnaC,16.64774413
recA_T60_CSP,int,1.535139814
recA_T60_CSP,int,1.536890298
recA_T60_CSP,int,1.571158541
recA_T60_CSP,reg,1.220838458
recA_T60_CSP,reg,1.222282261
recA_T60_CSP,reg,1.079262937
recA_T120_CSP,rpoA,1.359590753
recA_T120_CSP,rpoA,1.391613864
recA_T120_CSP,rpoA,1.476980399
recA_T120_CSP,comEA,10.27490726
recA_T120_CSP,comEA,10.79511187
recA_T120_CSP,comEA,10.07343134
recA_T120_CSP,lytA,1.556940527
recA_T120_CSP,lytA,1.290746802
recA_T120_CSP,lytA,1.140605791
recA_T120_CSP,dnaC,18.71577569
recA_T120_CSP,dnaC,17.33937688
recA_T120_CSP,dnaC,18.04573364
recA_T120_CSP,int,2.625044016
recA_T120_CSP,int,2.684706976
recA_T120_CSP,int,2.451338242
recA_T120_CSP,reg,2.268993714
recA_T120_CSP,reg,2.443252725
recA_T120_CSP,reg,2.258763611
recA_T20_MMC,rpoA,1.039587506
recA_T20_MMC,rpoA,0.916566491
recA_T20_MMC,rpoA,1.049481949
recA_T20_MMC,comEA,1.037648648
recA_T20_MMC,comEA,1.100118607
recA_T20_MMC,comEA,1.141124649
recA_T20_MMC,lytA,9.41146211
recA_T20_MMC,lytA,8.752041617
recA_T20_MMC,lytA,9.793900021
recA_T20_MMC,dnaC,2.244997307
recA_T20_MMC,dnaC,2.29118589
recA_T20_MMC,dnaC,2.201840587
recA_T20_MMC,int,1.121128251
recA_T20_MMC,int,1.26719669
recA_T20_MMC,int,1.117208734
recA_T20_MMC,reg,1.466938879
recA_T20_MMC,reg,1.530327151
recA_T20_MMC,reg,1.504035456
recA_T60_MMC,rpoA,0.967983545
recA_T60_MMC,rpoA,0.985954706
recA_T60_MMC,rpoA,1.047791959
recA_T60_MMC,comEA,2.058287882
recA_T60_MMC,comEA,1.559585744
recA_T60_MMC,comEA,1.78221758
recA_T60_MMC,lytA,98.07595413
recA_T60_MMC,lytA,93.48378295
recA_T60_MMC,lytA,97.47989391
recA_T60_MMC,dnaC,17.7398742
recA_T60_MMC,dnaC,14.36046321
recA_T60_MMC,dnaC,16.92689467
recA_T60_MMC,int,2.235262491
recA_T60_MMC,int,2.200333208
recA_T60_MMC,int,2.172258716
recA_T60_MMC,reg,3.371706607
recA_T60_MMC,reg,3.414127177
recA_T60_MMC,reg,3.315277862
recA_T120_MMC,rpoA,1.082388006
recA_T120_MMC,rpoA,0.912647552
recA_T120_MMC,rpoA,1.012312291
recA_T120_MMC,comEA,0.837573377
recA_T120_MMC,comEA,1.174030679
recA_T120_MMC,comEA,1.097316571
recA_T120_MMC,lytA,87.3887192
recA_T120_MMC,lytA,88.47251095
recA_T120_MMC,lytA,81.86565732
recA_T120_MMC,dnaC,15.62770406
recA_T120_MMC,dnaC,14.65727183
recA_T120_MMC,dnaC,16.03803624
recA_T120_MMC,int,2.168562875
recA_T120_MMC,int,1.986709922
recA_T120_MMC,int,2.080893735
recA_T120_MMC,reg,2.883449572
recA_T120_MMC,reg,2.241308086
recA_T120_MMC,reg,1.919863578
