mutants,ADbyAB
RMV4_20hr,0.015387636
RMV4_20hr,0.015007742
RMV4_20hr,0.014296007
RMV4_20hr_CSP,0.016743306
RMV4_20hr_CSP,0.018640949
RMV4_20hr_CSP,0.017596609
RMV4_20hr_MMC,0.117457238
RMV4_20hr_MMC,0.144553902
RMV4_20hr_MMC,0.156327778
SpaL_20hr,0.003440464
SpaL_20hr,0.003089983
SpaL_20hr,0.003504571
SpaL_20hr_CSP,0.017131898
SpaL_20hr_CSP,0.017225179
SpaL_20hr_CSP,0.016999338
SpaL_20hr_MMC,0.073999412
SpaL_20hr_MMC,0.065691989
SpaL_20hr_MMC,0.069566722
DprA_20hr,0.019986078
DprA_20hr,0.019960765
DprA_20hr,0.019621017
DprA_20hr_CSP,0.021911226
DprA_20hr_CSP,0.024708425
DprA_20hr_CSP,0.023476574
DprA_20hr_MMC,0.133013423
DprA_20hr_MMC,0.129115963
DprA_20hr_MMC,0.102451656
