mutants,ratio
2743,0.004420242
2743,0.004489998
2743,0.004425032
2743 intcat,8.81E-05
2743 intcat,8.83E-05
2743 intcat,0.000117946
2743 recA,0.013867041
2743 recA,0.018164395
2743 recA,0.018137593
2743_zncat,0.007081492
2743_zncat,0.007291069
2743_zncat,0.007239232
2743_zncat_recA,0.039826211
2743_zncat_recA,0.038643797
2743_zncat_recA,0.039954144
2743_zncat_recA,0.014193377
2743_zncat_recA,0.015102539
2743_zncat_recA,0.014408145
2743_zncat,0.007081492
2743_zncat,0.007291069
2743_zncat,0.007239232
2743_zncat_recA,0.039826211
2743_zncat_recA,0.038643797
2743_zncat_recA,0.039954144
2743_lytA_cat,0.031897663
2743_lytA_cat,0.03198939
2743_lytA_cat,0.028276388
2743_lytA_Jan,0.009857032
2743_lytA_Jan,0.008928116
2743_lytA_Jan,0.007096724
2743_repcat,0.010096552
2743_repcat,0.008781672
2743_repcat,0.008158648
2743_recA_R1,0.047737567
2743_recA_R1,0.047087071
2743_recA_R1,0.046112297
2743_recA_R2,0.21046764
2743_recA_R2,0.217586188
2743_recA_R2,0.211253628
2743_recA_R3,0.031212087
2743_recA_R3,0.034604744
2743_recA_R3,0.032402595
2743_zncat_recA,0.027660379
2743_zncat_recA,0.030176276
2743_zncat_recA,0.027682469
2743_zncat_recA,0.047012041
2743_zncat_recA,0.046775042
2743_zncat_recA,0.044115168
