mutants,ratio
2743_T0,0.031980329
2743_T0,0.032089023
2743_T0,0.03378441
2743_T20,0.044751588
2743_T20,0.041296156
2743_T20,0.041026453
2743_T60,0.046873504
2743_T60,0.046087128
2743_T60,0.04822797
2743_T120,0.055023943
2743_T120,0.053445175
2743_T120,0.054412152
2743_T20_CSP,0.038810938
2743_T20_CSP,0.038113478
2743_T20_CSP,0.039934464
2743_T60_CSP,0.051267802
2743_T60_CSP,0.047864616
2743_T60_CSP,0.046497378
2743_T120_CSP,0.089598003
2743_T120_CSP,0.089711533
2743_T120_CSP,0.088388735
2743_T20_MMC,0.037354885
2743_T20_MMC,0.035886442
2743_T20_MMC,0.037055965
2743_T60_MMC,0.500279074
2743_T60_MMC,0.477584916
2743_T60_MMC,0.472865973
2743_T120_MMC,8.203388662
2743_T120_MMC,7.970211342
2743_T120_MMC,8.529412688
2743_T0,0.194627305
2743_T0,0.195815435
2743_T0,0.197847334
2743_T20,0.173796305
2743_T20,0.160851677
2743_T20,0.166305467
2743_T60,0.113459309
2743_T60,0.120789312
2743_T60,0.12540678
2743_T120,0.272372569
2743_T120,0.123815259
2743_T120,0.134867728
2743_T20_CSP,0.168595362
2743_T20_CSP,0.165839231
2743_T20_CSP,0.167551217
2743_T60_CSP,0.148729172
2743_T60_CSP,0.150757192
2743_T60_CSP,0.154023303
2743_T120_CSP,0.142797753
2743_T120_CSP,0.133731975
2743_T120_CSP,0.140545462
2743_T20_MMC,0.174783711
2743_T20_MMC,0.176034577
2743_T20_MMC,0.165969775
2743_T60_MMC,0.586469327
2743_T60_MMC,0.615632386
2743_T60_MMC,0.549837506
2743_T120_MMC,5.005961022
2743_T120_MMC,4.49197686
2743_T120_MMC,4.881134207
2743_T0,0.202810239
2743_T0,0.228326766
2743_T0,0.217690224
2743_T20,0.150084727
2743_T20,0.162701989
2743_T20,0.157189094
2743_T60,0.170548213
2743_T60,0.177238518
2743_T60,0.178909852
2743_T120,0.14942206
2743_T120,0.14925903
2743_T120,0.150391821
2743_T20_CSP,0.161193385
2743_T20_CSP,0.17061758
2743_T20_CSP,0.161929101
2743_T60_CSP,0.142573668
2743_T60_CSP,0.149283984
2743_T60_CSP,0.147012163
2743_T120_CSP,0.150194146
2743_T120_CSP,0.152212925
2743_T120_CSP,0.156673952
2743_T20_MMC,0.147391
2743_T20_MMC,0.165674416
2743_T20_MMC,0.152385993
2743_T60_MMC,0.665235969
2743_T60_MMC,0.658602129
2743_T60_MMC,0.626785919
2743_T120_MMC,5.640819157
2743_T120_MMC,6.139375688
2743_T120_MMC,5.926616263
