mutants,gene,fold_change
2743_T0,comEA,0.97261061
2743_T0,comEA,0.967171248
2743_T0,comEA,1.063059615
2743_T20,comEA,1.771252604
2743_T20,comEA,1.949443425
2743_T20,comEA,1.862565529
2743_T60,comEA,0.894724661
2743_T60,comEA,0.965779777
2743_T60,comEA,0.987633744
2743_T120,comEA,0.991537721
2743_T120,comEA,0.929504115
2743_T120,comEA,1.411742119
2743_T20_CSP,comEA,3.284247427
2743_T20_CSP,comEA,3.343320146
2743_T20_CSP,comEA,3.400019414
2743_T60_CSP,comEA,4.145417726
2743_T60_CSP,comEA,3.537909042
2743_T120_CSP,comEA,3.872999074
2743_T120_CSP,comEA,3.433210181
2743_T120_CSP,comEA,3.932541417
2743_T20_MMC,comEA,1.737487733
2743_T20_MMC,comEA,1.441356962
2743_T20_MMC,comEA,1.348099775
2743_T60_MMC,comEA,1.459614653
2743_T60_MMC,comEA,1.489546303
2743_T60_MMC,comEA,1.565593251
2743_T120_MMC,comEA,1.364703384
2743_T120_MMC,comEA,1.477369033
2743_T120_MMC,comEA,1.4702765
2743_T0,comEA,1.019993981
2743_T0,comEA,0.936313542
2743_T0,comEA,1.047084331
2743_T20,comEA,2.243498942
2743_T20,comEA,2.280306982
2743_T20,comEA,2.322393455
2743_T60,comEA,0.887513399
2743_T60,comEA,0.966735319
2743_T60,comEA,0.954145702
2743_T120,comEA,0.567843446
2743_T120,comEA,0.606942844
2743_T120,comEA,0.603216643
2743_T20_CSP,comEA,4.084795634
2743_T20_CSP,comEA,4.121700263
2743_T20_CSP,comEA,3.978155754
2743_T60_CSP,comEA,3.905552302
2743_T60_CSP,comEA,3.867120214
2743_T60_CSP,comEA,4.05934218
2743_T120_CSP,comEA,3.546493067
2743_T120_CSP,comEA,3.419480135
2743_T120_CSP,comEA,3.324323626
2743_T20_MMC,comEA,2.817838351
2743_T20_MMC,comEA,2.710588784
2743_T20_MMC,comEA,2.757920911
2743_T60_MMC,comEA,1.279709091
2743_T60_MMC,comEA,1.368215333
2743_T60_MMC,comEA,1.286736035
2743_T120_MMC,comEA,1.011103144
2743_T120_MMC,comEA,1.0818744
2743_T120_MMC,comEA,0.978613463
2743_T0,comEA,1.025222009
2743_T0,comEA,0.983137954
2743_T0,comEA,0.992129107
2743_T20,comEA,1.197382326
2743_T20,comEA,1.270002614
2743_T20,comEA,1.229725259
2743_T60,comEA,1.690978453
2743_T60,comEA,1.945712481
2743_T60,comEA,1.780882102
2743_T120,comEA,0.712882354
2743_T120,comEA,0.714454261
2743_T120,comEA,0.747866418
2743_T20_CSP,comEA,1.457620689
2743_T20_CSP,comEA,1.656841409
2743_T20_CSP,comEA,1.51198032
2743_T60_CSP,comEA,1.659886762
2743_T60_CSP,comEA,1.700461522
2743_T60_CSP,comEA,1.777290473
2743_T120_CSP,comEA,1.412912854
2743_T120_CSP,comEA,1.321345785
2743_T120_CSP,comEA,1.3702301
2743_T20_MMC,comEA,1.120002335
2743_T20_MMC,comEA,1.107502731
2743_T20_MMC,comEA,1.064975553
2743_T60_MMC,comEA,1.063976359
2743_T60_MMC,comEA,0.72976198
2743_T60_MMC,comEA,0.952153432
2743_T120_MMC,comEA,0.834405764
2743_T120_MMC,comEA,0.734663141
2743_T120_MMC,comEA,0.725652936
