mutants,BCbyrpoA
2743_dprA_T0,0.082444153
2743_dprA_T0,0.08441871
2743_dprA_T0,0.084702106
2743_dprA_T20,0.067439095
2743_dprA_T20,0.057343009
2743_dprA_T20,0.061223564
2743_dprA_T20_CSP,0.080388427
2743_dprA_T20_CSP,0.076998257
2743_dprA_T20_CSP,0.074631704
2743_dprA_T120,0.031223936
2743_dprA_T120,0.031122293
2743_dprA_T120,0.03059682
2743_dprA_T120_CSP,0.054946111
2743_dprA_T120_CSP,0.061741454
2743_dprA_T0,0.26000242
2743_dprA_T0,0.189245558
2743_dprA_T0,0.210107433
2743_dprA_T20,0.126640712
2743_dprA_T20,0.148744213
2743_dprA_T20,0.139451742
2743_dprA_T20_CSP,0.088407061
2743_dprA_T20_CSP,0.092176908
2743_dprA_T20_CSP,0.086020699
2743_dprA_T120,0.029850917
2743_dprA_T120,0.029606114
2743_dprA_T120,0.029575869
2743_dprA_T120_CSP,0.162979354
2743_dprA_T120_CSP,0.146724111
2743_dprA_T120_CSP,0.1470362
2743_dprA_T0,0.11943752
2743_dprA_T0,0.119625843
2743_dprA_T0,0.114209413
2743_dprA_T20,0.143096599
2743_dprA_T20,0.151534713
2743_dprA_T20,0.147633788
2743_dprA_T20_CSP,0.11527161
2743_dprA_T20_CSP,0.12799269
2743_dprA_T20_CSP,0.12340512
2743_dprA_T120,0.078732865
2743_dprA_T120,0.05966263
2743_dprA_T120,0.064954714
2743_dprA_T120_CSP,0.09191267
2743_dprA_T120_CSP,0.09173925
2743_dprA_T120_CSP,0.090364578
2743_dprA_T60,0.112040897
2743_dprA_T60,0.109374788
2743_dprA_T60,0.117164121
2743_dprA_T60_CSP,0.119653997
2743_dprA_T60_CSP,0.117000226
2743_dprA_T60_CSP,0.12174485
2743_dprA_T60,0.122077229
2743_dprA_T60,0.123350953
2743_dprA_T60,0.128302913
2743_dprA_T60_CSP,0.126454462
2743_dprA_T60_CSP,0.128797809
2743_dprA_T60_CSP,0.118100952
2743_dprA_T0,0.356275938
2743_dprA_T0,0.348667484
2743_dprA_T0,0.347385899
2743_dprA_T20,0.212731746
2743_dprA_T20,0.207469119
2743_dprA_T20,0.192467976
2743_dprA_T60,0.174112897
2743_dprA_T60,0.193924655
2743_dprA_T60,0.197499496
2743_dprA_T120,0.133876882
2743_dprA_T120,0.128079581
2743_dprA_T120,0.128711942
2743_dprA_T20_CSP,0.20551861
2743_dprA_T20_CSP,0.198640284
2743_dprA_T20_CSP,0.211865321
2743_dprA_T60_CSP,0.193444027
2743_dprA_T60_CSP,0.203480863
2743_dprA_T60_CSP,0.19065098
2743_dprA_T120_CSP,0.119746639
2743_dprA_T120_CSP,0.126356902
2743_dprA_T120_CSP,0.12514491
2743_dprA_T20_MMC,0.269811565
2743_dprA_T20_MMC,0.252578851
2743_dprA_T20_MMC,0.255953939
2743_dprA_T60_MMC,0.585458237
2743_dprA_T60_MMC,0.592850446
2743_dprA_T60_MMC,0.554603822
2743_dprA_T120_MMC,3.783135025
2743_dprA_T120_MMC,3.810923231
2743_dprA_T120_MMC,3.136204096
2743_dprA_T0,0.111000161
2743_dprA_T0,0.126048278
2743_dprA_T0,0.120333043
2743_dprA_T20_MMC,0.103710919
2743_dprA_T20_MMC,0.106124786
2743_dprA_T20_MMC,0.096449554
2743_dprA_T60_MMC,0.529919104
2743_dprA_T60_MMC,0.562188821
2743_dprA_T60_MMC,0.5824266
2743_dprA_T120_MMC,4.086515991
2743_dprA_T120_MMC,5.233869572
2743_dprA_T120_MMC,3.98737527
2743_dprA_T0,0.123212466
2743_dprA_T0,0.124735604
2743_dprA_T0,0.122917612
2743_dprA_T20_MMC,0.102355302
2743_dprA_T20_MMC,0.110615567
2743_dprA_T20_MMC,0.099434127
2743_dprA_T60_MMC,0.34795927
2743_dprA_T60_MMC,0.373747946
2743_dprA_T60_MMC,0.39491201
2743_dprA_T120_MMC,4.811204675
2743_dprA_T120_MMC,4.636833211
2743_dprA_T120_MMC,4.346119566
