mutants,gene,fold_change
2743_T0,dprA,0.962213801
2743_T0,dprA,1.029183399
2743_T0,dprA,1.009796645
2743_T20,dprA,1.957677219
2743_T20,dprA,1.955282019
2743_T20,dprA,2.140058936
2743_T20_CSP,dprA,5.744732376
2743_T20_CSP,dprA,5.960761598
2743_T20_CSP,dprA,5.739775009
2743_T20_MMC,dprA,1.737931127
2743_T20_MMC,dprA,1.884929712
2743_T20_MMC,dprA,1.88217058
2743_T60,dprA,1.245292329
2743_T60,dprA,1.313386447
2743_T60,dprA,1.21766616
2743_T60_CSP,dprA,5.366071478
2743_T60_CSP,dprA,5.192703406
2743_T60_CSP,dprA,5.108431804
2743_T60_MMC,dprA,1.708820331
2743_T60_MMC,dprA,1.841540059
2743_T60_MMC,dprA,1.474857415
2743_T120,dprA,1.398236349
2743_T120,dprA,1.649938339
2743_T120,dprA,2.185813049
2743_T120_CSP,dprA,6.636343862
2743_T120_CSP,dprA,5.451853617
2743_T120_CSP,dprA,6.483828845
2743_T120_MMC,dprA,1.691740963
2743_T120_MMC,dprA,1.611821623
2743_T120_MMC,dprA,1.371406297
2743_T0,dprA,0.999212354652576
2743_T0,dprA,1.017192939552660
2743_T0,dprA,0.983876506276252
2743_T20,dprA,1.643122681102440
2743_T20,dprA,2.011349026484000
2743_T20,dprA,2.341610168038370
2743_T20_CSP,dprA,3.183017077785570
2743_T20_CSP,dprA,3.049946047084100
2743_T20_CSP,dprA,2.524781872924740
2743_T20_MMC,dprA,1.873117346807010
2743_T20_MMC,dprA,1.541886671867490
2743_T20_MMC,dprA,1.661579577715300
2743_T60,dprA,0.795474474545652
2743_T60,dprA,0.804661980208703
2743_T60,dprA,0.919018748507670
2743_T60_CSP,dprA,2.935534474239230
2743_T60_CSP,dprA,3.018432608723920
2743_T60_CSP,dprA,2.729323773828290
2743_T60_MMC,dprA,1.240738590649520
2743_T60_MMC,dprA,1.220367249605080
2743_T60_MMC,dprA,1.150778375011320
2743_T120,dprA,0.639760653479638
2743_T120,dprA,0.638009688815612
2743_T120,dprA,0.697780167078541
2743_T120_CSP,dprA,2.795570741832560
2743_T120_CSP,dprA,2.803176244947740
2743_T120_CSP,dprA,2.970177214052270
2743_T120_MMC,dprA,0.887127447960816
2743_T120_MMC,dprA,0.903727693074656
2743_T120_MMC,dprA,0.991668818244662
