mutants,gene,fold_change
2743_T0,recA,1.006134612
2743_T0,recA,1.010308049
2743_T0,recA,0.983758106
2743_T0,comEA,1.009706979
2743_T0,comEA,1.092939517
2743_T0,comEA,0.906163371
2743_T20,recA,0.932106661
2743_T20,recA,0.95648461
2743_T20,comEA,2.953983198
2743_T20,comEA,2.723598747
2743_T20,comEA,2.832156762
2743_T60,recA,1.463325476
2743_T60,recA,1.249473777
2743_T60,recA,1.39974846
2743_T60,comEA,10.35464736
2743_T60,comEA,10.20694599
2743_T60,comEA,10.32716778
2743_T120,recA,4.749450402
2743_T120,recA,4.776142323
2743_T120,recA,4.830098363
2743_T120,comEA,41.38702505
2743_T120,comEA,30.58958207
2743_T120,comEA,41.73345559
2743_T20_CSP,recA,39.985274
2743_T20_CSP,recA,42.13566053
2743_T20_CSP,recA,42.67232713
2743_T20_CSP,comEA,599.1569707
2743_T20_CSP,comEA,577.5309577
2743_T20_CSP,comEA,574.062733
2743_T60_CSP,recA,3.437854262
2743_T60_CSP,recA,3.60518139
2743_T60_CSP,recA,3.464271345
2743_T60_CSP,comEA,22.27498841
2743_T60_CSP,comEA,24.35159413
2743_T60_CSP,comEA,23.69545553
2743_T120_CSP,recA,5.07569793
2743_T120_CSP,recA,4.892676453
2743_T120_CSP,recA,5.046731384
2743_T120_CSP,comEA,17.43927897
2743_T120_CSP,comEA,18.96900429
2743_T120_CSP,comEA,17.17473249
2743_T0,recA,1.053314245
2743_T0,recA,0.963149262
2743_T0,recA,0.985709678
2743_T0,comEA,1.102456915
2743_T0,comEA,0.957512131
2743_T0,comEA,0.947313039
2743_T20,recA,0.909912705
2743_T20,recA,0.848588962
2743_T20,recA,0.776575767
2743_T20,comEA,0.814556289
2743_T20,comEA,0.913770368
2743_T20,comEA,0.949988215
2743_T20_CSP,recA,12.19580097
2743_T20_CSP,recA,14.67187072
2743_T20_CSP,recA,16.02887896
2743_T20_CSP,comEA,46.10178049
2743_T20_CSP,comEA,45.93368302
2743_T20_CSP,comEA,41.97566859
2743_T60,recA,1.076531101
2743_T60,recA,1.028749441
2743_T60,recA,0.950137685
2743_T60,comEA,1.131964876
2743_T60,comEA,1.072730623
2743_T60,comEA,0.929210461
2743_T60_CSP,recA,16.57487642
2743_T60_CSP,recA,16.47666867
2743_T60_CSP,recA,15.50217898
2743_T60_CSP,comEA,52.11802669
2743_T60_CSP,comEA,55.00941571
2743_T60_CSP,comEA,56.83090342
2743_T120,recA,1.895941572
2743_T120,recA,1.522847493
2743_T120,recA,1.653504314
2743_T120,comEA,2.961394211
2743_T120,comEA,3.095471933
2743_T120,comEA,3.294602056
2743_T120_CSP,recA,10.86485477
2743_T120_CSP,recA,13.81148002
2743_T120_CSP,recA,11.45211284
2743_T120_CSP,comEA,39.73703329
2743_T120_CSP,comEA,39.01289448
2743_T120_CSP,comEA,38.81708203
