mutants,gene,fold_change
T0,recA,1.006134612
T0,recA,1.010308049
T0,recA,0.983758106
T0,comEA,1.009706979
T0,comEA,1.092939517
T0,comEA,0.906163371
T20,recA,0.932106661
T20,recA,0.95648461
T20,comEA,2.953983198
T20,comEA,2.723598747
T20,comEA,2.832156762
T60,recA,1.463325476
T60,recA,1.249473777
T60,recA,1.39974846
T60,comEA,10.35464736
T60,comEA,10.20694599
T60,comEA,10.32716778
T120,recA,4.749450402
T120,recA,4.776142323
T120,recA,4.830098363
T120,comEA,41.38702505
T120,comEA,30.58958207
T120,comEA,41.73345559
T20_CSP,recA,39.985274
T20_CSP,recA,42.13566053
T20_CSP,recA,42.67232713
T20_CSP,comEA,599.1569707
T20_CSP,comEA,577.5309577
T20_CSP,comEA,574.062733
T60_CSP,recA,3.437854262
T60_CSP,recA,3.60518139
T60_CSP,recA,3.464271345
T60_CSP,comEA,22.27498841
T60_CSP,comEA,24.35159413
T60_CSP,comEA,23.69545553
120_CSP,recA,5.07569793
120_CSP,recA,4.892676453
120_CSP,recA,5.046731384
120_CSP,comEA,17.43927897
120_CSP,comEA,18.96900429
120_CSP,comEA,17.17473249
T0,recA,1.053314245
T0,recA,0.963149262
T0,recA,0.985709678
T0,comEA,1.102456915
T0,comEA,0.957512131
T0,comEA,0.947313039
T20,recA,0.909912705
T20,recA,0.848588962
T20,recA,0.776575767
T20,comEA,0.814556289
T20,comEA,0.913770368
T20,comEA,0.949988215
T20_CSP,recA,12.19580097
T20_CSP,recA,14.67187072
T20_CSP,recA,16.02887896
T20_CSP,comEA,46.10178049
T20_CSP,comEA,45.93368302
T20_CSP,comEA,41.97566859
T60,recA,1.076531101
T60,recA,1.028749441
T60,recA,0.950137685
T60,comEA,1.131964876
T60,comEA,1.072730623
T60,comEA,0.929210461
T60_CSP,recA,16.57487642
T60_CSP,recA,16.47666867
T60_CSP,recA,15.50217898
T60_CSP,comEA,52.11802669
T60_CSP,comEA,55.00941571
T60_CSP,comEA,56.83090342
T120,recA,1.895941572
T120,recA,1.522847493
T120,recA,1.653504314
T120,comEA,2.961394211
T120,comEA,3.095471933
T120,comEA,3.294602056
120_CSP,recA,10.86485477
120_CSP,recA,13.81148002
120_CSP,recA,11.45211284
120_CSP,comEA,39.73703329
120_CSP,comEA,39.01289448
120_CSP,comEA,38.81708203
T0,recA,1.041343823
T0,recA,0.986522925
T0,recA,0.973418198
T0,comEA,0.926465204
T0,comEA,1.01419177
T0,comEA,1.064267608
T20,recA,1.140219987
T20,recA,1.100838953
T20,recA,1.13077592
T20,comEA,0.467752992
T20,comEA,0.531646011
T20,comEA,0.42027445
T20_CSP,recA,62.42976854
T20_CSP,recA,56.32255157
T20_CSP,recA,57.91690274
T20_CSP,comEA,102.2844432
T20_CSP,comEA,109.3866123
T20_CSP,comEA,106.1368577
T60,recA,1.309285779
T60,recA,1.418367951
T60,recA,1.336800828
T60,comEA,1.2641194
T60,comEA,1.185936588
T60,comEA,1.201751417
T60_CSP,recA,2.035119262
T60_CSP,recA,1.837657539
T60_CSP,recA,2.476160364
T60_CSP,comEA,8.88066009
T60_CSP,comEA,21.74700668
T60_CSP,comEA,20.78622072
T120,recA,2.221764648
T120,recA,2.25950622
T120,recA,2.373713655
T120,comEA,2.512660493
T120,comEA,1.360108286
T120,comEA,1.317788387
120_CSP,recA,14.56712367
120_CSP,recA,15.09532607
120_CSP,recA,12.52674222
120_CSP,comEA,48.98450549
120_CSP,comEA,48.61302676
120_CSP,comEA,47.36500709
