mutants,gene,Fold_change
T0_2743,rpoA,1.032329954
T0_2743,rpoA,0.913278815
T0_2743,rpoA,1.060664632
T0_2743,recA,0.991929753
T0_2743,recA,1.070037956
T0_2743,recA,0.94215216
T0_2743,rep,0.993739829
T0_2743,rep,1.012972313
T0_2743,rep,0.993411434
T0_2743,int,0.984370918
T0_2743,int,0.948576317
T0_2743,int,1.070952222
T0_2743,immA,0.974635376
T0_2743,immA,0.994362764
T0_2743,immA,1.03184283
T0_2743,lytA,1.068652478
T0_2743,lytA,0.955338518
T0_2743,lytA,0.979505296
T20_2743,rpoA,0.995157112
T20_2743,rpoA,0.97993921
T20_2743,rpoA,1.025436188
T20_2743,recA,1.879972148
T20_2743,recA,1.973046396
T20_2743,recA,1.900576871
T20_2743,rep,1.362073538
T20_2743,rep,1.352609357
T20_2743,rep,1.33016733
T20_2743,int,2.050086219
T20_2743,int,2.17040427
T20_2743,int,2.016037247
T20_2743,immA,1.77949822
T20_2743,immA,1.720435698
T20_2743,immA,1.789560517
T20_2743,lytA,2.849825918
T20_2743,lytA,2.784074172
T20_2743,lytA,2.754564829
T60_2743,rpoA,0.981983128
T60_2743,rpoA,1.003938259
T60_2743,rpoA,1.014352653
T60_2743,recA,1.048634534
T60_2743,recA,1.016746563
T60_2743,recA,1.002161278
T60_2743,rep,1.306490298
T60_2743,rep,1.254232766
T60_2743,rep,1.27186435
T60_2743,int,1.374208582
T60_2743,int,1.361267036
T60_2743,int,1.528968161
T60_2743,immA,1.085187788
T60_2743,immA,0.985015327
T60_2743,immA,1.06812562
T60_2743,lytA,1.099660554
T60_2743,lytA,1.112987985
T60_2743,lytA,1.163617167
T120_2743,rpoA,1.00058585
T120_2743,rpoA,0.985105187
T120_2743,rpoA,1.014527004
T120_2743,recA,0.940974564
T120_2743,recA,0.967782646
T120_2743,recA,1.001982428
T120_2743,rep,0.809622919
T120_2743,rep,0.874138023
T120_2743,rep,0.867436661
T120_2743,int,1.305369777
T120_2743,int,1.333518118
T120_2743,int,1.115793158
T120_2743,immA,0.85028247
T120_2743,immA,0.89576029
T120_2743,immA,0.846283236
T120_2743,lytA,0.433254119
T120_2743,lytA,0.390490712
T120_2743,lytA,0.458429287
T20_2743_CSP,rpoA,0.995692734
T20_2743_CSP,rpoA,1.002271253
T20_2743_CSP,rpoA,1.002044691
T20_2743_CSP,recA,1.089527796
T20_2743_CSP,recA,1.481194417
T20_2743_CSP,recA,1.534715693
T20_2743_CSP,rep,1.306248502
T20_2743_CSP,rep,1.310209224
T20_2743_CSP,rep,1.379649755
T20_2743_CSP,int,1.739917451
T20_2743_CSP,int,1.639817553
T20_2743_CSP,int,1.498153237
T20_2743_CSP,immA,1.22205928
T20_2743_CSP,immA,1.406423515
T20_2743_CSP,immA,1.29659783
T20_2743_CSP,lytA,1.755223862
T20_2743_CSP,lytA,1.832788871
T20_2743_CSP,lytA,2.079043072
T60_2743_CSP,rpoA,1.033706605
T60_2743_CSP,rpoA,0.999734299
T60_2743_CSP,rpoA,0.96764831
T60_2743_CSP,recA,1.878553485
T60_2743_CSP,recA,1.818694969
T60_2743_CSP,recA,1.857536624
T60_2743_CSP,rep,1.211946979
T60_2743_CSP,rep,1.218345703
T60_2743_CSP,rep,1.291381762
T60_2743_CSP,int,1.756006057
T60_2743_CSP,int,1.555039736
T60_2743_CSP,int,1.447854345
T60_2743_CSP,immA,1.099734702
T60_2743_CSP,immA,1.137458495
T60_2743_CSP,immA,0.988907646
T60_2743_CSP,lytA,1.683924248
T60_2743_CSP,lytA,1.577327401
T60_2743_CSP,lytA,1.534823234
T120_2743_CSP,rpoA,1.009729896
T120_2743_CSP,rpoA,1.010814447
T120_2743_CSP,rpoA,0.979768212
T120_2743_CSP,recA,1.577373279
T120_2743_CSP,recA,1.557842363
T120_2743_CSP,recA,1.537231692
T120_2743_CSP,rep,0.594763159
T120_2743_CSP,rep,0.613673704
T120_2743_CSP,rep,0.583705423
T120_2743_CSP,int,0.923039482
T120_2743_CSP,int,0.897538443
T120_2743_CSP,int,0.946432998
T120_2743_CSP,immA,1.075167066
T120_2743_CSP,immA,1.118478226
T120_2743_CSP,immA,1.04165943
T120_2743_CSP,lytA,0.864208664
T120_2743_CSP,lytA,0.892157926
T120_2743_CSP,lytA,0.80574355
T20_2743_MMC,rpoA,1.032856907
T20_2743_MMC,rpoA,1.00164204
T20_2743_MMC,rpoA,0.966601129
T20_2743_MMC,recA,1.433534898
T20_2743_MMC,recA,1.306530026
T20_2743_MMC,recA,1.443756176
T20_2743_MMC,rep,1.116498508
T20_2743_MMC,rep,1.116999016
T20_2743_MMC,rep,1.103943138
T20_2743_MMC,int,1.802129686
T20_2743_MMC,int,1.769228169
T20_2743_MMC,int,1.806308748
T20_2743_MMC,immA,1.497113747
T20_2743_MMC,immA,1.507021083
T20_2743_MMC,immA,1.505591224
T20_2743_MMC,lytA,2.3750552
T20_2743_MMC,lytA,2.313867363
T20_2743_MMC,lytA,2.27477263
T60_2743_MMC,rpoA,0.995771719
T60_2743_MMC,rpoA,0.986617109
T60_2743_MMC,rpoA,1.017868255
T60_2743_MMC,recA,1.160682554
T60_2743_MMC,recA,1.146188321
T60_2743_MMC,recA,1.194218875
T60_2743_MMC,rep,1.694913204
T60_2743_MMC,rep,1.698425931
T60_2743_MMC,rep,1.65873286
T60_2743_MMC,int,1.84180302
T60_2743_MMC,int,1.930301008
T60_2743_MMC,int,1.751836833
T60_2743_MMC,immA,1.52007165
T60_2743_MMC,immA,1.520399258
T60_2743_MMC,immA,1.562753954
T60_2743_MMC,lytA,1.70499079
T60_2743_MMC,lytA,1.617144975
T60_2743_MMC,lytA,1.7168661
T120_2743_MMC,rpoA,1.018867252
T120_2743_MMC,rpoA,0.980838735
T120_2743_MMC,rpoA,1.000655963
T120_2743_MMC,recA,1.135445182
T120_2743_MMC,recA,1.143089092
T120_2743_MMC,recA,1.125620926
T120_2743_MMC,rep,2.874812806
T120_2743_MMC,rep,2.984580155
T120_2743_MMC,rep,2.966507932
T120_2743_MMC,int,2.744996435
T120_2743_MMC,int,2.552072495
T120_2743_MMC,int,2.33580968
T120_2743_MMC,immA,1.55992393
T120_2743_MMC,immA,1.613403561
T120_2743_MMC,immA,1.557111383
T120_2743_MMC,lytA,1.634363387
T120_2743_MMC,lytA,1.547944695
T120_2743_MMC,lytA,1.644402681
T0_2743,rpoA,1.019456068
T0_2743,rpoA,0.955674542
T0_2743,rpoA,1.026411401
T0_2743,recA,0.821189956
T0_2743,recA,0.850379151
T0_2743,recA,1.432000577
T0_2743,rep,0.998145531
T0_2743,rep,0.999323328
T0_2743,rep,1.002534978
T0_2743,int,1.072900824
T0_2743,int,0.894144049
T0_2743,int,1.042397845
T0_2743,immA,0.978641927
T0_2743,immA,1.058563301
T0_2743,immA,0.965294702
T0_2743,lytA,1.045937356
T0_2743,lytA,0.972699338
T0_2743,lytA,0.982913117
T20_2743,rpoA,1.028310229
T20_2743,rpoA,1.003243005
T20_2743,rpoA,0.969328211
T20_2743,recA,1.296445276
T20_2743,recA,1.140099227
T20_2743,recA,1.245710577
T20_2743,rep,1.894473289
T20_2743,rep,1.957182937
T20_2743,rep,1.880553836
T20_2743,int,2.133318827
T20_2743,int,2.06854236
T20_2743,int,2.268408833
T20_2743,immA,1.642627465
T20_2743,immA,1.642434197
T20_2743,immA,1.458268332
T20_2743,lytA,2.796195427
T20_2743,lytA,2.52490538
T20_2743,lytA,2.389394721
T60_2743,rpoA,0.973599941
T60_2743,rpoA,1.01950459
T60_2743,rpoA,1.007467047
T60_2743,recA,0.795664851
T60_2743,recA,0.798095351
T60_2743,recA,0.779118926
T60_2743,rep,1.686348174
T60_2743,rep,1.711370594
T60_2743,rep,1.664789901
T60_2743,int,1.315508296
T60_2743,int,1.331953485
T60_2743,int,1.346188737
T60_2743,immA,0.968719678
T60_2743,immA,0.941865717
T60_2743,immA,0.920840637
T60_2743,lytA,1.9402949
T60_2743,lytA,1.88086464
T60_2743,lytA,1.941744786
T120_2743,rpoA,0.996092993
T120_2743,rpoA,1.007066211
T120_2743,rpoA,0.996880816
T120_2743,recA,0.742051655
T120_2743,recA,0.725140815
T120_2743,recA,0.749032055
T120_2743,rep,1.962061343
T120_2743,rep,2.079614869
T120_2743,rep,1.882180534
T120_2743,int,1.643100958
T120_2743,int,1.469297145
T120_2743,int,1.392237701
T120_2743,immA,0.960849787
T120_2743,immA,0.960656719
T120_2743,immA,0.942304135
T120_2743,lytA,2.295409336
T120_2743,lytA,2.258805419
T120_2743,lytA,2.144763591
T20_2743_CSP,rpoA,1.014426413
T20_2743_CSP,rpoA,0.964417083
T20_2743_CSP,rpoA,1.022151173
T20_2743_CSP,recA,1.029459649
T20_2743_CSP,recA,1.15345613
T20_2743_CSP,recA,1.117940105
T20_2743_CSP,rep,2.869557428
T20_2743_CSP,rep,2.643642062
T20_2743_CSP,rep,2.519909839
T20_2743_CSP,int,3.957393364
T20_2743_CSP,int,3.678578767
T20_2743_CSP,int,3.416488672
T20_2743_CSP,immA,2.473334762
T20_2743_CSP,immA,2.485394138
T20_2743_CSP,immA,2.647895508
T20_2743_CSP,lytA,2.279634796
T20_2743_CSP,lytA,2.308941341
T20_2743_CSP,lytA,2.217680706
T60_2743_CSP,rpoA,0.984900735
T60_2743_CSP,rpoA,0.981580751
T60_2743_CSP,rpoA,1.034381944
T60_2743_CSP,recA,0.984696324
T60_2743_CSP,recA,0.949497264
T60_2743_CSP,recA,1.06245966
T60_2743_CSP,rep,3.122352538
T60_2743_CSP,rep,3.39312647
T60_2743_CSP,rep,2.840655104
T60_2743_CSP,int,4.545811582
T60_2743_CSP,int,4.504674797
T60_2743_CSP,int,4.138266308
T60_2743_CSP,immA,2.677964537
T60_2743_CSP,immA,2.42525628
T60_2743_CSP,immA,2.654404317
T60_2743_CSP,lytA,2.009153767
T60_2743_CSP,lytA,1.909613863
T60_2743_CSP,lytA,1.91909212
T120_2743_CSP,rpoA,0.963164542
T120_2743_CSP,rpoA,1.01202191
T120_2743_CSP,rpoA,1.025908081
T120_2743_CSP,recA,1.170925826
T120_2743_CSP,recA,1.197323755
T120_2743_CSP,recA,1.183552751
T120_2743_CSP,rep,2.955234218
T120_2743_CSP,rep,2.940172038
T120_2743_CSP,rep,2.86759293
T120_2743_CSP,int,4.447428055
T120_2743_CSP,int,4.282370599
T120_2743_CSP,int,4.546436654
