mutants,ADbyAB
2743_recA_T0,0.172621581
2743_recA_T0,0.174691905
2743_recA_T0,0.175189962
2743_recA_T20,0.174840096
2743_recA_T20,0.183687113
2743_recA_T20,0.16339518
2743_recA_T20_CSP,0.183661496
2743_recA_T20_CSP,0.190297522
2743_recA_T20_CSP,0.187649119
2743_recA_T20_MMC,0.188928465
2743_recA_T20_MMC,0.177072519
2743_recA_T20_MMC,0.179961384
2743_recA_T60,0.216824983
2743_recA_T60,0.222226806
2743_recA_T60,0.227404014
2743_recA_T60_CSP,0.22337744
2743_recA_T60_CSP,0.216359825
2743_recA_T60_CSP,0.215954357
2743_recA_T60_MMC,0.435387752
2743_recA_T60_MMC,0.468490183
2743_recA_T60_MMC,0.463247939
2743_recA_T120,0.201441424
2743_recA_T120,0.209188151
2743_recA_T120,0.185193406
2743_recA_T120_CSP,0.227667671
2743_recA_T120_CSP,0.227793431
2743_recA_T120_CSP,0.225446169
2743_recA_T120_MMC,0.800542702
2743_recA_T120_MMC,0.829410669
2743_recA_T120_MMC,0.80974452
2743_recA_T0,0.124152329
2743_recA_T0,0.128538731
2743_recA_T0,0.130941016
2743_recA_T20,0.127916865
2743_recA_T20,0.123489641
2743_recA_T20,0.130151584
2743_recA_T20_CSP,0.121886214
2743_recA_T20_CSP,0.12815451
2743_recA_T20_CSP,0.126976903
2743_recA_T20_MMC,0.12078879
2743_recA_T20_MMC,0.114261467
2743_recA_T20_MMC,0.117856854
2743_recA_T60,0.148223708
2743_recA_T60,0.149985025
2743_recA_T60,0.150710734
2743_recA_T60_CSP,0.119988631
2743_recA_T60_CSP,0.126299405
2743_recA_T60_CSP,0.121695843
2743_recA_T60_MMC,0.342456899
2743_recA_T60_MMC,0.330638236
2743_recA_T60_MMC,0.305787534
2743_recA_T120,0.126728693
2743_recA_T120,0.132770617
2743_recA_T120,0.134456918
2743_recA_T120_CSP,0.138149777
2743_recA_T120_CSP,0.126931279
2743_recA_T120_CSP,0.119264917
2743_recA_T120_MMC,0.622455208
2743_recA_T120_MMC,0.657454636
2743_recA_T120_MMC,0.669626039
