mutants,BCbyRpoA
2743_recA_T0,4.793224717
2743_recA_T0,6.47205342
2743_recA_T0,6.365115161
2743_recA_T20,4.842249066
2743_recA_T20,4.515598883
2743_recA_T20,4.137673307
2743_recA_T20_CSP,5.143003401
2743_recA_T20_CSP,5.024058494
2743_recA_T20_CSP,5.381273911
2743_recA_T20_MMC,4.4033493
2743_recA_T20_MMC,4.342348574
2743_recA_T20_MMC,3.562678914
2743_recA_T60,6.351670516
2743_recA_T60,6.011481016
2743_recA_T60,6.021660987
2743_recA_T60_CSP,5.791193332
2743_recA_T60_CSP,5.986127407
2743_recA_T60_CSP,5.541904421
2743_recA_T60_MMC,7.290370924
2743_recA_T60_MMC,7.222602391
2743_recA_T60_MMC,7.403666446
2743_recA_T120,6.802663885
2743_recA_T120,7.609673581
2743_recA_T120,7.711903106
2743_recA_T120_CSP,7.911612329
2743_recA_T120_CSP,7.375880083
2743_recA_T120_CSP,8.072251589
2743_recA_T120_MMC,52.8598596
2743_recA_T120_MMC,56.08570523
2743_recA_T120_MMC,53.97448222
2743_recA_T0,4.208400475
2743_recA_T0,4.239844707
2743_recA_T0,4.161232631
2743_recA_T20,3.931541367
2743_recA_T20,3.975712147
2743_recA_T20,3.364309659
2743_recA_T60,5.096407623
2743_recA_T60,5.593133758
2743_recA_T60,5.30686343
2743_recA_T120,8.457756502
2743_recA_T120,6.715362761
2743_recA_T120,7.635677952
2743_recA_T20_CSP,4.610842708
2743_recA_T20_CSP,4.94967845
2743_recA_T20_CSP,4.83552525
2743_recA_T60_CSP,4.956826795
2743_recA_T60_CSP,4.618000399
2743_recA_T60_CSP,5.485000512
2743_recA_T120_CSP,6.331545624
2743_recA_T120_CSP,6.486691271
2743_recA_T120_CSP,7.562231108
2743_recA_T20_MMC,3.589054628
2743_recA_T20_MMC,3.936444872
2743_recA_T20_MMC,3.8417452
2743_recA_T60_MMC,7.804716938
2743_recA_T60_MMC,7.954126926
2743_recA_T60_MMC,7.82786539
2743_recA_T120_MMC,25.89261926
2743_recA_T120_MMC,26.95523345
2743_recA_T120_MMC,30.2593716
2743_recA_T0,3.984290338
2743_recA_T0,4.495200428
2743_recA_T0,4.552055246
2743_recA_T20,4.114340021
2743_recA_T20,3.9689077
2743_recA_T20,3.527617501
2743_recA_T60,4.046623686
2743_recA_T60,4.329063521
2743_recA_T60,4.350442487
2743_recA_T120,4.693997159
2743_recA_T120,2.227508681
2743_recA_T120,2.149048176
2743_recA_T20_CSP,3.840854061
2743_recA_T20_CSP,3.445142368
2743_recA_T20_CSP,3.387589615
2743_recA_T60_CSP,3.869517753
2743_recA_T60_CSP,3.840776308
2743_recA_T60_CSP,4.025740884
2743_recA_T120_CSP,4.48427107
2743_recA_T120_CSP,5.365175641
2743_recA_T120_CSP,4.287661567
2743_recA_T20_MMC,3.438321065
2743_recA_T20_MMC,3.380263003
2743_recA_T20_MMC,3.288042013
2743_recA_T60_MMC,4.751162342
2743_recA_T60_MMC,4.89305983
2743_recA_T60_MMC,4.502981131
2743_recA_T120_MMC,15.86078407
2743_recA_T120_MMC,19.2825288
2743_recA_T120_MMC,18.9112045
