mutants,BCbyrpoA
2743_dprA_T0_zncat,0.076073288
2743_dprA_T0_zncat,0.078779969
2743_dprA_T0_zncat,0.081350449
2743_dprA_T20_zncat,0.104747428
2743_dprA_T20_zncat,0.004229238
2743_dprA_T20_zncat,0.1022669
2743_dprA_T20_CSP_zncat,0.108305223
2743_dprA_T20_CSP_zncat,0.108430236
2743_dprA_T20_CSP_zncat,0.106465442
2743_dprA_T120_zncat,0.113888379
2743_dprA_T120_zncat,0.113437685
2743_dprA_T120_zncat,0.078210503
2743_dprA_T120_CSP_zncat,0.101420992
2743_dprA_T120_CSP_zncat,0.107300186
2743_dprA_T120_CSP_zncat,0.105436688
2743_dprA_T0_zncat,0.399604042
2743_dprA_T0_zncat,0.372327162
2743_dprA_T0_zncat,0.392927124
2743_dprA_T20_zncat,0.121168854
2743_dprA_T20_zncat,0.107925305
2743_dprA_T20_zncat,0.103948928
2743_dprA_T20_CSP_zncat,0.077855561
2743_dprA_T20_CSP_zncat,0.079960517
2743_dprA_T20_CSP_zncat,0.079403559
2743_dprA_T120_zncat,0.054160653
2743_dprA_T120_zncat,0.058222134
2743_dprA_T120_zncat,0.035804689
2743_dprA_T120_CSP_zncat,0.037136333
2743_dprA_T120_CSP_zncat,0.039285566
2743_dprA_T120_CSP_zncat,0.038933653
2743_dprA_T0_zncat,0.067999393
2743_dprA_T0_zncat,0.066299825
2743_dprA_T0_zncat,0.067626198
2743_dprA_T20_zncat,0.083041275
2743_dprA_T20_zncat,0.082388591
2743_dprA_T20_zncat,0.081056407
2743_dprA_T20_CSP_zncat,0.078872261
2743_dprA_T20_CSP_zncat,0.079755404
2743_dprA_T20_CSP_zncat,0.079065816
2743_dprA_T120_zncat,0.092534211
2743_dprA_T120_zncat,0.095548059
2743_dprA_T120_zncat,0.090728704
2743_dprA_T120_CSP_zncat,0.092745173
2743_dprA_T120_CSP_zncat,0.093939157
2743_dprA_T120_CSP_zncat,0.091160424
2743_dprA_T60_zncat,0.151001801
2743_dprA_T60_zncat,0.155842862
2743_dprA_T60_zncat,0.159661321
2743_dprA_T60_CSP_zncat,0.171372205
2743_dprA_T60_CSP_zncat,0.162570012
2743_dprA_T60_CSP_zncat,0.162630285
2743_dprA_T60_zncat,0.144826393
2743_dprA_T60_zncat,0.146717415
2743_dprA_T60_zncat,0.149992071
2743_dprA_T60_CSP_zncat,0.128818773
2743_dprA_T60_CSP_zncat,0.110078531
2743_dprA_T60_CSP_zncat,0.122554474
2743_dprA_T0_zncat,0.178996044
2743_dprA_T0_zncat,0.184469143
2743_dprA_T0_zncat,0.188721397
2743_dprA_T20_zncat,0.170027037
2743_dprA_T20_zncat,0.173290943
2743_dprA_T20_zncat,0.168020474
2743_dprA_T60_zncat,0.145670827
2743_dprA_T60_zncat,0.147335009
2743_dprA_T60_zncat,0.149642967
2743_dprA_T120_zncat,0.202117249
2743_dprA_T120_zncat,0.187333563
2743_dprA_T120_zncat,0.19855993
2743_dprA_T20_CSP_zncat,0.174378349
2743_dprA_T20_CSP_zncat,0.163607976
2743_dprA_T20_CSP_zncat,0.17032628
2743_dprA_T60_CSP_zncat,0.100210042
2743_dprA_T60_CSP_zncat,0.12386771
2743_dprA_T60_CSP_zncat,0.119757146
2743_dprA_T120_CSP_zncat,0.165058003
2743_dprA_T120_CSP_zncat,0.158017971
2743_dprA_T120_CSP_zncat,0.16988448
2743_dprA_T20_MMC_zncat,0.19092995
2743_dprA_T20_MMC_zncat,0.192210734
2743_dprA_T20_MMC_zncat,0.185132461
2743_dprA_T60_MMC_zncat,0.233799874
2743_dprA_T60_MMC_zncat,0.222041576
2743_dprA_T60_MMC_zncat,0.236025232
2743_dprA_T120_MMC_zncat,2.531878554
2743_dprA_T120_MMC_zncat,2.564307472
2743_dprA_T120_MMC_zncat,2.592361347
2743_dprA_T0_zncat,0.211300682
2743_dprA_T0_zncat,0.226323097
2743_dprA_T0_zncat,0.205612637
2743_dprA_T20_MMC_zncat,0.159096541
2743_dprA_T20_MMC_zncat,0.17044496
2743_dprA_T20_MMC_zncat,0.168237749
2743_dprA_T60_MMC_zncat,2.006240269
2743_dprA_T60_MMC_zncat,1.983845952
2743_dprA_T60_MMC_zncat,2.049802106
2743_dprA_T120_MMC_zncat,14.42594436
2743_dprA_T120_MMC_zncat,12.93108411
2743_dprA_T120_MMC_zncat,12.87253393
2743_dprA_T0_zncat,0.273991208
2743_dprA_T0_zncat,0.277756202
2743_dprA_T0_zncat,0.267756788
2743_dprA_T20_MMC_zncat,0.209115945
2743_dprA_T20_MMC_zncat,0.214179076
2743_dprA_T20_MMC_zncat,0.211662398
2743_dprA_T60_MMC_zncat,0.193254268
2743_dprA_T60_MMC_zncat,0.189488246
2743_dprA_T60_MMC_zncat,0.194010871
2743_dprA_T120_MMC_zncat,0.380162918
2743_dprA_T120_MMC_zncat,0.424059919
2743_dprA_T120_MMC_zncat,0.385037621
